,MYEOV2 (150678)
ACH-000004,-0.35447596461400005
ACH-000007,-0.38667570602799994
ACH-000009,-0.427952628151
ACH-000011,-0.530531834755
ACH-000012,-0.459728735812
ACH-000013,-0.28490998768000003
ACH-000014,-0.42096831968099996
ACH-000015,-0.45155474045500005
ACH-000017,-0.6925135713930001
ACH-000018,-0.25656529280900003
ACH-000019,-0.251319796603
ACH-000021,-0.374863633524
ACH-000022,-0.541125023225
ACH-000025,-0.218327999989
ACH-000028,-0.11038084409499999
ACH-000030,-0.22637412526
ACH-000035,-0.128791236728
ACH-000036,-0.771826463424
ACH-000037,-0.5378427792029999
ACH-000039,-0.0412790125103
ACH-000040,-0.522899994379
ACH-000041,-0.6390774113759999
ACH-000042,-0.389825095927
ACH-000045,-0.534080926796
ACH-000047,-0.436958272826
ACH-000052,-0.8373679676450001
ACH-000053,-0.38381350041
ACH-000054,-0.365880533298
ACH-000055,-0.5759841592589999
ACH-000060,-0.37346738992
ACH-000067,-0.69130850588
ACH-000070,-0.38652037951800006
ACH-000075,-0.683228773444
ACH-000078,-0.400964488688
ACH-000082,-0.45153560915799995
ACH-000085,-0.334658082934
ACH-000086,-0.47187175601400005
ACH-000087,-0.371915722038
ACH-000092,-0.583925500099
ACH-000095,-0.326096117989
ACH-000097,-0.582730407763
ACH-000098,-0.424968376113
ACH-000099,-0.7060045708310001
ACH-000108,-0.175964553535
ACH-000113,-0.231628946633
ACH-000115,-0.709590562192
ACH-000116,-0.483821647663
ACH-000118,-0.2515507073
ACH-000120,-0.24258970649099998
ACH-000123,-0.29027351146499997
ACH-000127,-0.338847355886
ACH-000128,-0.15701370234200002
ACH-000132,-0.397303209703
ACH-000133,-0.691306428546
ACH-000137,-0.11408578677799999
ACH-000138,-0.383112350017
ACH-000142,-0.5256728182429999
ACH-000143,-0.385875296422
ACH-000146,-0.38375277371399996
ACH-000148,-0.285670283848
ACH-000150,-0.49473817879500004
ACH-000152,-0.34400662757
ACH-000153,-0.429552597236
ACH-000159,-0.486662869205
ACH-000160,-0.40986502378300005
ACH-000163,-0.37916953547700005
ACH-000167,-0.734386136032
ACH-000168,-0.706809045033
ACH-000169,-0.519244632112
ACH-000178,-0.39916328634900006
