,SPC25 (57405)
ACH-000004,-1.01035278489
ACH-000007,-1.4068268131200001
ACH-000009,-1.37086537601
ACH-000011,-1.1724873896799999
ACH-000012,-1.4506345382799999
ACH-000013,-1.33224795728
ACH-000014,-1.06301078558
ACH-000015,-0.98660540596
ACH-000017,-1.56067261155
ACH-000018,-1.13321980855
ACH-000019,-0.9771454537250001
ACH-000021,-1.1977036630700002
ACH-000022,-1.25437815536
ACH-000025,-1.19133548831
ACH-000028,-1.10074194877
ACH-000030,-1.34654163721
ACH-000035,-0.9489621084200001
ACH-000036,-1.0038794461799998
ACH-000037,-1.09472091364
ACH-000039,-1.24831034607
ACH-000040,-1.40997106325
ACH-000041,-1.06320018411
ACH-000042,-1.22469971742
ACH-000045,-1.31084390842
ACH-000047,-1.34336950965
ACH-000052,-1.5959489099200002
ACH-000053,-1.2968518325799998
ACH-000054,-1.29949937215
ACH-000055,-1.1001474637200002
ACH-000060,-1.05203068599
ACH-000067,-1.11970067225
ACH-000070,-1.21682285876
ACH-000075,-1.13396077095
ACH-000078,-1.34123108751
ACH-000082,-1.36068851896
ACH-000085,-1.3261325535200001
ACH-000086,-1.17564240834
ACH-000087,-1.25614106875
ACH-000092,-0.929998501565
ACH-000095,-1.29774027574
ACH-000097,-1.1793210945100001
ACH-000098,-1.10686230998
ACH-000099,-1.1116339479200001
ACH-000108,-1.48253981195
ACH-000113,-1.22343517119
ACH-000115,-2.1822969530700003
ACH-000116,-1.1316171981799998
ACH-000118,-1.1348396429
ACH-000120,-1.29059422255
ACH-000123,-1.32907302684
ACH-000127,-1.04652523544
ACH-000128,-1.04235695199
ACH-000132,-1.00397434346
ACH-000133,-1.2157189023100001
ACH-000137,-1.26780353094
ACH-000138,-1.26772915189
ACH-000142,-1.26952479035
ACH-000143,-1.4626387476700002
ACH-000146,-1.63685474376
ACH-000148,-1.32308143889
ACH-000150,-1.03004417506
ACH-000152,-1.2043381587200002
ACH-000153,-1.48865909815
ACH-000159,-1.40084926542
ACH-000160,-0.805263759553
ACH-000163,-1.24949975797
ACH-000167,-1.6963207434999998
ACH-000168,-1.4003245922799998
ACH-000169,-1.0339436449
ACH-000178,-1.172650385
ACH-000182,-1.31797149919
ACH-000183,-1.38538878727
ACH-000188,-1.2308049373899999
ACH-000189,-1.0164836770799999
ACH-000190,-1.14915854106
ACH-000198,-1.31824879621
ACH-000204,-1.0407695723000001
ACH-000206,-1.15318087098
ACH-000207,-1.94885342607
ACH-000211,-1.1372584105399999
ACH-000215,-1.22623146947
ACH-000221,-1.1867761677500002
ACH-000222,-1.42796930534
ACH-000223,-1.25065442222
ACH-000226,-1.1407070530399999
ACH-000227,-1.71273764988
ACH-000228,-1.12014815657
ACH-000231,-1.1924119693700002
ACH-000232,-1.2874736463
ACH-000233,-1.60398273708
ACH-000234,-1.15893131855
ACH-000235,-1.24494729707
ACH-000237,-1.37445508806
ACH-000238,-1.58599648981
ACH-000243,-1.2859126207
ACH-000244,-1.18755166675
ACH-000246,-1.1235537123700001
ACH-000248,-1.56018247928
ACH-000250,-0.9994818173350001
ACH-000251,-0.951483774559
ACH-000253,-1.3418423748700001
ACH-000255,-1.1111780464399998
ACH-000256,-1.04184774214
ACH-000257,-1.41597100603
ACH-000258,-1.13964050571
ACH-000259,-1.5154380349599998
ACH-000260,-1.2781739484399999
ACH-000261,-1.20500399587
ACH-000262,-1.0607820048799999
ACH-000263,-1.37600263681
ACH-000264,-1.58473377065
ACH-000265,-1.25667989869
ACH-000266,-1.3252926064700001
ACH-000272,-1.14479899387
ACH-000273,-1.0101548557200002
ACH-000274,-1.01299141937
ACH-000277,-1.6609322279499998
ACH-000278,-1.05014641055
ACH-000279,-1.25885828895
ACH-000280,-1.36746142701
ACH-000281,-1.4201338363100002
ACH-000288,-1.1475671779899999
ACH-000291,-1.2087170570799999
ACH-000293,-1.01203546455
ACH-000294,-1.8200157114400002
ACH-000295,-1.0698144854
ACH-000296,-1.4230661409
ACH-000302,-1.3488584735100002
ACH-000304,-1.10265150171
ACH-000307,-1.2970789585
ACH-000308,-1.14029576662
ACH-000310,-1.61383118851
ACH-000311,-1.11689841401
ACH-000312,-1.32707421582
ACH-000315,-1.45111655747
ACH-000316,-0.945283689747
ACH-000317,-1.22038604535
ACH-000318,-1.31063057928
ACH-000319,-1.1228912130600002
ACH-000320,-1.49528156032
ACH-000322,-0.9498570358840001
ACH-000323,-1.43078449461
ACH-000324,-1.2312547544799999
ACH-000329,-0.937035202166
ACH-000330,-1.38504106991
ACH-000331,-1.1013930403
ACH-000332,-1.16379548138
ACH-000334,-1.9691194273500001
ACH-000335,-1.3168427287200002
ACH-000336,-0.80391648702
ACH-000337,-1.03777091792
ACH-000339,-1.0912464402600002
ACH-000341,-1.4040212747
ACH-000348,-1.26321137944
ACH-000350,-1.31175457734
ACH-000352,-1.2975036246
ACH-000356,-1.22200980545
ACH-000361,-1.00951634592
ACH-000362,-1.32724823934
ACH-000363,-1.32832706645
ACH-000364,-1.35918316854
ACH-000365,-1.41928976838
ACH-000366,-1.20044526155
ACH-000368,-0.9659937250630001
ACH-000374,-1.4085008591
ACH-000375,-1.2908839886499999
ACH-000376,-1.1653046623899999
ACH-000381,-1.40910905371
ACH-000383,-1.66784427699
ACH-000387,-1.3331599726899999
ACH-000389,-1.14893209785
ACH-000390,-1.71736438255
ACH-000393,-1.31681125768
ACH-000395,-1.21635472595
ACH-000397,-1.3873844340700001
ACH-000401,-1.09200668122
ACH-000402,-1.37851880016
ACH-000403,-1.43117784584
ACH-000404,-1.7272633774200001
ACH-000406,-1.23719639099
ACH-000407,-1.24797615382
ACH-000408,-0.975251966
ACH-000410,-1.24673519951
ACH-000411,-1.15253258774
ACH-000414,-1.5746647406999998
ACH-000415,-1.27574995674
ACH-000416,-1.0930423607100002
ACH-000420,-1.34711085127
ACH-000421,-1.18260020472
ACH-000424,-1.03528682958
ACH-000425,-1.2111059562
ACH-000426,-0.69429540016
ACH-000427,-1.2110557156200001
ACH-000433,-1.04467191409
ACH-000436,-1.16154591839
ACH-000444,-1.2356029461799998
ACH-000445,-0.9827357832520001
ACH-000448,-1.26508303955
ACH-000450,-1.4346757640099999
ACH-000452,-1.53736681545
ACH-000454,-1.1141430985
ACH-000458,-1.2866761915
ACH-000459,-0.8873460534379999
ACH-000460,-1.28122918885
ACH-000461,-1.4095975561
ACH-000463,-1.3954709798299998
ACH-000464,-1.5609877346899999
ACH-000466,-1.01719217499
ACH-000467,-1.20193125553
ACH-000468,-1.62206727623
ACH-000469,-1.2210970937299999
ACH-000470,-1.60065717869
ACH-000471,-1.2125797904
ACH-000472,-1.60762299073
ACH-000473,-0.957596477951
ACH-000475,-1.3110785946899999
ACH-000476,-1.27881641189
ACH-000477,-1.26725356111
ACH-000480,-1.21613350578
ACH-000481,-1.68319127612
ACH-000483,-1.06459235914
ACH-000484,-1.62674218458
ACH-000485,-1.40008324954
ACH-000486,-1.16471630999
ACH-000487,-1.20514945672
ACH-000488,-1.1088946386799998
ACH-000490,-1.2541792258600002
ACH-000491,-1.21456902129
ACH-000495,-1.0165541763600001
ACH-000496,-1.31829949601
ACH-000499,-1.0944998508600001
ACH-000500,-1.08900044723
ACH-000502,-1.2473127658399998
ACH-000503,-1.1584983604299999
ACH-000505,-1.10809429745
ACH-000507,-1.29357657009
ACH-000510,-1.1452124381
ACH-000511,-1.02209325214
ACH-000512,-1.5147834467399999
ACH-000516,-1.2862252814700001
ACH-000517,-1.1533899941399999
ACH-000518,-1.21357896956
ACH-000520,-1.12721119034
ACH-000521,-1.2922873268700001
ACH-000522,-1.40940899789
ACH-000524,-1.09934398666
ACH-000527,-0.9804771190880001
ACH-000528,-1.2500979001799999
ACH-000537,-1.30929352228
ACH-000541,-1.3863977659
ACH-000542,-1.07421127273
ACH-000544,-1.29888396528
ACH-000545,-1.18755627794
ACH-000547,-1.23964313078
ACH-000548,-1.39844340196
ACH-000549,-0.94603323146
ACH-000550,-1.16233005662
ACH-000552,-1.2516880951
ACH-000556,-1.3052847053299999
ACH-000557,-1.60624764227
ACH-000570,-1.20523860137
ACH-000571,-2.10854008008
ACH-000573,-1.30680424172
ACH-000576,-1.0423761397600002
ACH-000580,-1.25767131012
ACH-000584,-1.2000571904100001
ACH-000585,-1.38136001572
ACH-000588,-1.2277990785200001
ACH-000589,-1.35855738926
ACH-000591,-1.11845735751
ACH-000593,-1.09495228458
ACH-000600,-1.34049914499
ACH-000601,-1.10939747905
ACH-000604,-1.25479850197
ACH-000605,-1.26667639276
ACH-000606,-1.18132904365
ACH-000608,-1.46219007915
ACH-000614,-1.3976033910299999
ACH-000616,-0.886568285521
ACH-000618,-1.27269383829
ACH-000619,-1.25896111744
ACH-000620,-1.20343940699
ACH-000621,-1.20787735892
ACH-000622,-1.34227378515
ACH-000623,-1.3997683218599999
ACH-000624,-1.15036106807
ACH-000627,-1.2805592962
ACH-000630,-1.21262040999
ACH-000632,-1.20520242489
ACH-000633,-1.6643413338
ACH-000637,-0.9515674739229999
ACH-000638,-1.4608082758899998
ACH-000646,-0.851219770545
ACH-000647,-1.3814091284799999
ACH-000648,-1.1461338455399999
ACH-000649,-0.997130121767
ACH-000651,-1.35787331829
ACH-000652,-1.19606429073
ACH-000653,-1.1914454965
ACH-000657,-1.29563214518
ACH-000658,-1.2113390308299998
ACH-000661,-1.4845836392299998
ACH-000662,-0.9154572326829999
ACH-000663,-1.1201268523
ACH-000665,-1.2045554524200002
ACH-000671,-1.52014974293
ACH-000673,-1.26190042081
ACH-000676,-0.955713636145
ACH-000677,-1.23612597499
ACH-000681,-1.2676715831299998
ACH-000682,-1.2478452762
ACH-000683,-1.4256989410699998
ACH-000684,-0.841651514885
ACH-000688,-1.01308981108
ACH-000693,-1.19283910785
ACH-000694,-0.782020285296
ACH-000695,-1.66345421321
ACH-000696,-1.1951391625299999
ACH-000697,-1.21151659021
