,FRG2B (441581)
ACH-000004,0.19673853107900002
ACH-000007,0.09687481660219999
ACH-000009,-0.0790794756134
ACH-000011,-0.274459332481
ACH-000012,-0.0613797006874
ACH-000013,0.00743136394722
ACH-000014,0.0362997013025
ACH-000015,-0.0231655658792
ACH-000017,0.0795619002036
ACH-000018,-0.13496984069700002
ACH-000019,-0.107437218118
ACH-000021,-0.036384109077900004
ACH-000022,-0.13909312387199999
ACH-000025,-0.11658812475199999
ACH-000028,-0.054659785726800005
ACH-000030,-0.08535384313139999
ACH-000035,-0.049481167190199994
ACH-000036,0.044502324846900004
ACH-000037,-0.107193955423
ACH-000039,-0.223800309954
ACH-000040,-0.135158699
ACH-000041,-0.06722254336080001
ACH-000042,-0.251571375231
ACH-000045,0.069411055762
ACH-000047,-0.120957874206
ACH-000052,0.116858666723
ACH-000053,-0.020163071513099998
ACH-000054,-0.23023917868000002
ACH-000055,0.00516329116416
ACH-000060,-0.0703075917653
ACH-000067,-0.113635745331
ACH-000070,-0.0194786936607
ACH-000075,-0.113782547563
ACH-000078,0.244137355284
ACH-000082,-0.234627771194
ACH-000085,0.139577376615
ACH-000086,0.0504573756221
ACH-000087,-0.0267670946717
ACH-000092,-0.014320100543
ACH-000095,-0.00791647002085
ACH-000097,-0.138706315872
ACH-000098,-0.144654821531
ACH-000099,0.009494698283139999
ACH-000108,-0.12472496339099999
ACH-000113,-0.07026328203860001
ACH-000115,0.0387294077983
ACH-000116,-0.067225894302
ACH-000118,-0.09772000580060002
ACH-000120,-0.0632715046012
ACH-000123,0.00932524472468
ACH-000127,-0.0983806314912
ACH-000128,0.00969745889206
ACH-000132,0.0677570314722
ACH-000133,-0.128598948264
ACH-000137,0.138653011702
ACH-000138,-0.113289896573
ACH-000142,0.033451801069900006
ACH-000143,0.147233273664
ACH-000146,-0.0741604678175
ACH-000148,-0.158332178276
ACH-000150,0.09076910792089998
ACH-000152,-0.112078518304
ACH-000153,-0.016132979837700002
ACH-000159,-0.0359282359488
ACH-000160,-0.09512893390480001
ACH-000163,0.00272131079347
ACH-000167,-0.305416006709
ACH-000168,-0.0235740025544
ACH-000169,-0.235628815292
ACH-000178,-0.13022367612299998
ACH-000182,-0.00491577573063
ACH-000183,-0.0437592846143
ACH-000188,-0.19007310523499998
ACH-000189,-0.046511068466400005
ACH-000190,0.0302979325765
ACH-000198,0.019645610920900003
ACH-000204,-0.032931319071400005
ACH-000206,0.047061220933400004
ACH-000207,-0.194300146589
ACH-000211,-0.191062727138
ACH-000215,-0.09519517884430001
ACH-000221,0.0173991372802
ACH-000222,0.00886398778282
ACH-000223,-0.265822888327
ACH-000226,0.13112060783600002
ACH-000227,0.0409735011419
ACH-000228,0.042095226964400004
ACH-000231,-0.099516357611
ACH-000232,0.0556738979172
ACH-000233,-0.0160765102139
ACH-000234,-0.203448646994
ACH-000235,-0.118808149356
ACH-000237,-0.273086542885
