,NPDC1 (56654)
ACH-000004,-0.0640275008968
ACH-000007,-0.114736340821
ACH-000009,-0.193436382014
ACH-000011,-0.123498859368
ACH-000012,-0.200992139293
ACH-000013,-0.34546451236000003
ACH-000014,-0.13364291628
ACH-000015,-0.229649662778
ACH-000017,-0.030471222826299996
ACH-000018,-0.158171639107
ACH-000019,-0.236308970971
ACH-000021,-0.05936343621730001
ACH-000022,-0.0988329510742
ACH-000025,0.0209714224318
ACH-000028,0.0161790832216
ACH-000030,-0.124715784876
ACH-000035,0.08389466386389999
ACH-000036,-0.144755227884
ACH-000037,-0.399849565175
ACH-000039,-0.30883342688
ACH-000040,-0.190673487184
ACH-000041,-0.160865684741
ACH-000042,-0.360681438935
ACH-000045,-0.107919479945
ACH-000047,-0.08376351207560001
ACH-000052,-0.348448945417
ACH-000053,-0.1458156944
ACH-000054,-0.045120878157699995
ACH-000055,-0.17610374935400003
ACH-000060,-0.25600414952100004
ACH-000067,-0.118580403857
ACH-000070,-0.197963856085
ACH-000075,0.016656284919399997
ACH-000078,-0.251128213103
ACH-000082,0.138858637586
ACH-000085,0.227796476178
ACH-000086,0.010216325130299998
ACH-000087,-0.413350800022
ACH-000092,-0.14487735456599998
ACH-000095,-0.20507796013799998
ACH-000097,-0.07277383384
ACH-000098,-0.0638234019155
ACH-000099,-0.183025272815
ACH-000108,-0.229164295845
ACH-000113,-0.129366143759
ACH-000115,-0.338986699598
ACH-000116,-0.255134360292
ACH-000118,-0.0790690698848
ACH-000120,-0.126864417291
ACH-000123,-0.23953853885499998
ACH-000127,-0.05715993047830001
ACH-000128,-0.2075356848
ACH-000132,-0.135184290625
ACH-000133,0.07623070208300001
ACH-000137,-0.290773562051
ACH-000138,-0.16059295034
ACH-000142,-0.21059540262499998
ACH-000143,-0.0396850348885
ACH-000146,-0.0065298686314399996
ACH-000148,-0.045963612755199994
ACH-000150,-0.210427702675
ACH-000152,-0.0203981050755
ACH-000153,-0.303475743774
ACH-000159,-0.09567301648039998
ACH-000160,-0.084692378313
ACH-000163,-0.24034743411999998
ACH-000167,-0.25429106915800004
ACH-000168,-0.147629170407
ACH-000169,-0.111278783438
ACH-000178,-0.056636864548199994
ACH-000182,-0.393716280184
ACH-000183,-0.09581493588130001
ACH-000188,-0.272357801571
ACH-000189,0.102707934802
ACH-000190,0.005075240559
ACH-000198,-0.17014433583299998
ACH-000204,-0.15088530249
ACH-000206,-0.011323263212899998
ACH-000207,-0.158849762774
ACH-000211,-0.0663983729701
ACH-000215,-0.252973525863
ACH-000221,-0.123051734027
ACH-000222,-0.324996322791
ACH-000223,-0.12631534533
ACH-000226,-0.08540153826249999
ACH-000227,0.14294612807
ACH-000228,-0.300647559351
ACH-000231,-0.115688268061
ACH-000232,-0.12242042507
ACH-000233,-0.0706426085154
ACH-000234,-0.151901599616
ACH-000235,-0.0977053885629
ACH-000237,-0.035663573979300006
ACH-000238,-0.220144152583
ACH-000243,-0.134857424784
ACH-000244,-0.15614702990499998
ACH-000246,-0.33993034387800003
ACH-000248,-0.000184611782069
ACH-000250,-0.208808434939
ACH-000251,-0.606676046747
ACH-000253,-0.028851283854400004
ACH-000255,-0.106417454917
ACH-000256,-0.19986725771299998
ACH-000257,0.36893412626999994
ACH-000258,-0.0170421235308
ACH-000259,-0.144417220128
ACH-000260,-0.191251343809
ACH-000261,-0.05734676820719999
ACH-000262,-0.546239100111
ACH-000263,-0.195483313066
ACH-000264,-0.150979287262
ACH-000265,-0.129393442872
ACH-000266,-0.19760118315699998
ACH-000272,-0.207595058578
ACH-000273,-0.114924036318
ACH-000274,0.0321421068657
ACH-000277,-0.263591181092
ACH-000278,-0.26927627653499997
ACH-000279,-0.09038284482310001
ACH-000280,-0.36670922903399994
ACH-000281,-0.0312975593933
ACH-000288,0.0437542660647
ACH-000291,-0.301654447258
ACH-000293,-0.13175839342
ACH-000294,-0.0236521960072
ACH-000295,-0.17830275292999997
ACH-000296,0.161189064554
ACH-000302,-0.0572689864513
ACH-000304,-0.32420663817699996
ACH-000307,-0.08701280537900001
