,HIST1H2AJ (8331)
ACH-000004,-0.484821922232
ACH-000007,-0.0968088079291
ACH-000009,-0.29043183985800003
ACH-000011,-0.28046976009
ACH-000012,-0.378283481817
ACH-000013,-0.606008529788
ACH-000014,-0.572900853111
ACH-000015,-0.249118258243
ACH-000017,-0.749078470494
ACH-000018,-0.0547863377778
ACH-000019,-0.339055007345
ACH-000021,-0.168980112389
ACH-000022,-0.405941160137
ACH-000025,-0.439773848174
ACH-000028,-0.45979558843400004
ACH-000030,-0.328350346807
ACH-000035,-0.436156310959
ACH-000036,-0.270781895519
ACH-000037,-0.0578705360455
ACH-000039,-0.34432567111400003
ACH-000040,-0.533771722272
ACH-000041,-0.497663569863
ACH-000042,-0.34774277550899996
ACH-000045,-0.478485074167
ACH-000047,-0.42053150475999995
ACH-000052,-0.284706428581
ACH-000053,-0.33475739014600003
ACH-000054,-0.11383962888100001
ACH-000055,-0.40681503795
ACH-000060,-0.43056439917800005
ACH-000067,-0.294009022007
ACH-000070,-0.489354433921
ACH-000075,-0.23007622518100002
ACH-000078,-0.39106862901600004
ACH-000082,-0.5069269908190001
ACH-000085,-0.445539093915
ACH-000086,-0.222395673013
ACH-000087,-0.12303830660000001
ACH-000092,-0.490309264515
ACH-000095,-0.521587196854
ACH-000097,-0.381844582752
ACH-000098,-0.459887198755
ACH-000099,-0.370151468829
ACH-000108,-0.218769267637
ACH-000113,-0.545793860404
ACH-000115,-1.14242689751
ACH-000116,-0.49399455601400005
ACH-000118,-0.400418173665
ACH-000120,-0.245608891802
ACH-000123,-0.567448644331
ACH-000127,-0.42247140494
ACH-000128,-0.132507352467
ACH-000132,-0.35053110849
ACH-000133,-0.44619694430600004
ACH-000137,-0.27151165163
ACH-000138,-0.591792987103
ACH-000142,-0.601096989421
ACH-000143,-0.387533493329
ACH-000146,-0.647192298874
ACH-000148,-0.357311858312
ACH-000150,-0.421055056175
ACH-000152,-0.011117856726500001
ACH-000153,-0.500992453161
ACH-000159,-0.701128041251
ACH-000160,-0.373045452785
ACH-000163,-0.391087494535
ACH-000167,-0.339964870484
ACH-000168,-0.49300134354900005
ACH-000169,-0.500161303365
ACH-000178,-0.5231591504199999
ACH-000182,-0.50959096694
ACH-000183,-0.393817238573
ACH-000188,-0.3983139673800001
ACH-000189,-0.180866861789
ACH-000190,-0.0761864486301
ACH-000198,-0.544966500513
ACH-000204,-0.624580044928
ACH-000206,-1.40620611756
ACH-000207,-0.77593872884
ACH-000211,-0.359793549518
ACH-000215,-0.530472212879
ACH-000221,-0.360460094255
ACH-000222,-0.278287124751
ACH-000223,-0.317684188741
ACH-000226,-0.251751333191
ACH-000227,-0.398463780304
ACH-000228,-0.311430777714
ACH-000231,-0.468531661805
ACH-000232,-0.43701807261799996
ACH-000233,-0.51408528724
ACH-000234,-0.25467057540800003
ACH-000235,-0.568450982792
ACH-000237,-0.454520112427
ACH-000238,-0.5364921491929999
ACH-000243,-0.497601871581
ACH-000244,-0.40322833438
ACH-000246,-0.322693557758
ACH-000248,-0.36229145665600004
ACH-000250,-0.458915430827
ACH-000251,-0.528890333718
ACH-000253,-0.629908885595
ACH-000255,-0.44528487374
ACH-000256,-0.400225029924
ACH-000257,-0.419885492657
ACH-000258,-0.37266141783
ACH-000259,-0.598498797011
ACH-000260,-0.383263512047
ACH-000261,-0.442527459544
ACH-000262,-0.195798437346
ACH-000263,-0.752683402721
ACH-000264,-0.380749157971
ACH-000265,-0.49451740814999995
ACH-000266,-0.429262254635
ACH-000272,-0.321615147073
ACH-000273,-0.346321649225
ACH-000274,-0.43532654376400004
ACH-000277,-0.319767015906
ACH-000278,-0.48070792263800005
ACH-000279,-0.536231400434
ACH-000280,-0.448615736279
ACH-000281,-0.128985019902
ACH-000288,-0.353261910587
ACH-000291,-0.19051340519999999
ACH-000293,-0.51471571728
ACH-000294,-0.6535901796970001
ACH-000295,-0.36844905553900004
ACH-000296,-0.24510778933000002
ACH-000302,-0.17520650732700002
ACH-000304,-0.705977997765
ACH-000307,-0.38127746554200004
ACH-000308,-0.25118882836399997
ACH-000310,-0.406700589291
ACH-000311,-0.510478702967
ACH-000312,-0.295463289848
ACH-000315,-0.208710073708
ACH-000316,-0.451213360784
ACH-000317,-0.583807309512
ACH-000318,-0.442185693034
ACH-000319,-0.235917647396
ACH-000320,-0.39626798203900004
ACH-000322,-0.24339844935600002
ACH-000323,-0.309353610118
ACH-000324,-0.35756964776600003
ACH-000329,-0.794876329102
ACH-000330,-0.33467704612599997
ACH-000331,-0.446600843326
ACH-000332,-0.377806265688
ACH-000334,-0.9237571064460001
ACH-000335,-0.40420213233999996
ACH-000336,-0.64471746197
ACH-000337,-0.009467889596360001
ACH-000339,-0.324761417461
ACH-000341,-0.402547542717
ACH-000348,-0.35735322627
ACH-000350,-0.47050418976999997
ACH-000352,-0.12473367669000002
ACH-000356,-0.36644599322
ACH-000361,-0.5348422331600001
ACH-000362,-0.687560228036
ACH-000363,-0.46067608148199995
ACH-000364,-0.144597888762
ACH-000365,-0.45040067285700003
ACH-000366,-0.341302610855
ACH-000368,-0.590331998865
ACH-000374,-0.391976614656
ACH-000375,-0.14008031714299998
ACH-000376,-0.418940997309
ACH-000381,-0.436277957266
ACH-000383,-0.490224170278
ACH-000387,-0.610906087914
ACH-000389,-0.216010667154
ACH-000390,-0.611296473923
ACH-000393,-0.570743696592
ACH-000395,-0.287080910898
ACH-000397,-0.370747409132
ACH-000401,-0.706272125025
ACH-000402,-0.667779842723
ACH-000403,-0.5937606956220001
