,SGPP1 (81537)
ACH-000004,-0.452572639056
ACH-000007,-0.500920692431
ACH-000009,-0.32779967077
ACH-000011,-0.655147499161
ACH-000012,-0.43122106947800004
ACH-000013,-0.42086297840000003
ACH-000014,-0.48172310447899996
ACH-000015,-0.326103679547
ACH-000017,-0.373372009961
ACH-000018,-0.559125557794
ACH-000019,-0.544907194714
ACH-000021,-0.295378690572
ACH-000022,-0.40380212786200004
ACH-000025,-0.568241412391
ACH-000028,-0.36352872039300005
ACH-000030,-0.578156974768
ACH-000035,-0.576863989163
ACH-000036,-0.3664060632
ACH-000037,-0.536737708306
ACH-000039,-0.575042792542
ACH-000040,-0.541217603972
ACH-000041,-0.7798914710670001
ACH-000042,-0.449195112773
ACH-000045,-0.7291711297169999
ACH-000047,-0.5889405731899999
ACH-000052,-0.5325268031629999
ACH-000053,-0.43644573355800004
ACH-000054,-0.6776371276880001
ACH-000055,-0.473089952836
ACH-000060,-0.724064396745
ACH-000067,-0.624067954258
ACH-000070,-0.682359693098
ACH-000075,-0.9079157112200001
ACH-000078,-0.480243951008
ACH-000082,-0.535813449775
ACH-000085,-0.367341957995
ACH-000086,-0.40604380998899997
ACH-000087,-0.5479863506379999
ACH-000092,-0.556413638139
ACH-000095,-0.661876613688
ACH-000097,-0.602919656811
ACH-000098,-0.553619897175
ACH-000099,-0.514239727808
ACH-000108,-0.37185907865699996
ACH-000113,-0.487721461237
ACH-000115,-0.18881745577999998
ACH-000116,-0.395052870568
ACH-000118,-0.30732150224300003
ACH-000120,-0.457039882893
ACH-000123,-0.47182501298999996
ACH-000127,-0.46391149901999995
ACH-000128,-0.8676631075929999
ACH-000132,-0.677858270611
ACH-000133,-0.508579498434
ACH-000137,-0.49928067367299994
ACH-000138,-0.548582862752
ACH-000142,-0.40723769069700005
ACH-000143,-0.607220455783
ACH-000146,-0.375914313773
ACH-000148,-0.41413574945799997
ACH-000150,-0.431922788771
ACH-000152,-0.618203728191
ACH-000153,-0.476608164235
ACH-000159,-0.527100034117
ACH-000160,-0.459299411429
ACH-000163,-0.37240747778300004
ACH-000167,-0.661603566391
ACH-000168,-0.762788933076
ACH-000169,-0.458484528746
ACH-000178,-0.523342180625
ACH-000182,-0.613913529086
ACH-000183,-0.46919652621299995
ACH-000188,-0.546022914687
ACH-000189,-0.35378183448600004
ACH-000190,-0.47525654978500004
ACH-000198,-0.605148123154
