,GNRH1 (2796)
ACH-000004,0.13393745355
ACH-000007,0.266450369172
ACH-000009,0.17008536487700002
ACH-000011,0.07506464341310001
ACH-000012,0.07011945658810001
ACH-000013,0.125022464306
ACH-000014,0.15494348099000002
ACH-000015,0.05800786406569999
ACH-000017,0.09211099742329999
ACH-000018,0.23513271406800001
ACH-000019,0.057864698423199995
ACH-000021,0.320782071261
ACH-000022,0.0699103992639
ACH-000025,0.08474478665969999
ACH-000028,0.171509948849
ACH-000030,0.0785974185711
ACH-000035,-0.21279530014000003
ACH-000036,0.24206934584399997
ACH-000037,0.358225799279
ACH-000039,0.388451207324
ACH-000040,0.17186408768800002
ACH-000041,0.112293917843
ACH-000042,0.0873493923748
ACH-000045,0.122864048372
ACH-000047,-0.010219670245200001
ACH-000052,0.0490987538772
ACH-000053,0.212616061861
ACH-000054,0.131625538096
ACH-000055,0.18984944953699998
ACH-000060,0.00227559854939
ACH-000067,0.171396048925
ACH-000070,0.10564290373
ACH-000075,-0.0171688923096
ACH-000078,0.138518155506
ACH-000082,0.0542011029793
ACH-000085,0.296588598827
ACH-000086,0.0946684150684
ACH-000087,0.177278330772
ACH-000092,0.0434439930358
ACH-000095,0.204660575011
ACH-000097,0.0897673809942
ACH-000098,0.202067543824
ACH-000099,0.059708548968
ACH-000108,0.119070828182
ACH-000113,0.176269837566
ACH-000115,0.0908399492251
ACH-000116,0.13837960912299999
ACH-000118,0.045344468434100005
ACH-000120,0.18238633540100002
ACH-000123,0.13096213147299998
ACH-000127,0.0805674456142
ACH-000128,-0.063288589679
ACH-000132,0.251275455975
ACH-000133,0.124808444934
ACH-000137,0.08116618656739999
ACH-000138,0.172319660275
ACH-000142,0.10445232856100001
ACH-000143,0.261181437945
ACH-000146,0.17076077249899999
ACH-000148,0.18017276123599998
ACH-000150,0.0657451781795
ACH-000152,0.247336125421
ACH-000153,0.101702365577
ACH-000159,0.149612938729
ACH-000160,0.0688051752132
ACH-000163,0.189603544582
ACH-000167,0.206299001466
ACH-000168,0.133305887123
ACH-000169,0.160784097018
ACH-000178,0.140888136395
ACH-000182,0.0656061763461
