,DTWD2 (285605)
ACH-000004,0.0563816789725
ACH-000007,-0.140689174476
ACH-000009,-0.0761381987917
ACH-000011,-0.0748078957466
ACH-000012,0.0111105379865
ACH-000013,-0.0849896945204
ACH-000014,-0.0155966476976
ACH-000015,-0.17847532990899997
ACH-000017,-0.07872420540149999
ACH-000018,-0.188852487849
ACH-000019,-0.12363586429000001
ACH-000021,-0.24770726618799999
ACH-000022,-0.21426936008699998
ACH-000025,-0.00827356195124
ACH-000028,-0.146404094273
ACH-000030,-0.028555049947799997
ACH-000035,0.00272450387584
ACH-000036,-0.0148141131488
ACH-000037,-0.342946819387
ACH-000039,-0.0635790850504
ACH-000040,-0.11559019022099999
ACH-000041,0.00841941098833
ACH-000042,-0.205084677238
ACH-000045,-0.051825316136499995
ACH-000047,-0.11213005230999999
ACH-000052,-0.280362485213
ACH-000053,-0.185455926414
ACH-000054,-0.23414886234299997
ACH-000055,-0.338372187227
ACH-000060,-0.100426723331
ACH-000067,0.0602451313454
ACH-000070,-0.08277287217849999
ACH-000075,-0.0819287944373
ACH-000078,-0.04820814466569999
ACH-000082,-0.20074498987599998
ACH-000085,-0.31575942209
ACH-000086,-0.177400850051
ACH-000087,-0.154804647036
ACH-000092,-0.10115427072899999
ACH-000095,-0.190002524509
ACH-000097,-0.0330328861807
ACH-000098,-0.047237124498100004
ACH-000099,-0.11271504545399999
ACH-000108,-0.08838916431399998
ACH-000113,-0.134986370811
ACH-000115,-0.226862187366
ACH-000116,0.00126966949791
ACH-000118,-0.0928472141606
ACH-000120,0.0210993331048
ACH-000123,-0.025780627934799998
ACH-000127,-0.0629326005798
ACH-000128,-0.21576995471299998
ACH-000132,-0.09298365483280001
ACH-000133,-0.052422864199599996
ACH-000137,-0.266393637927
ACH-000138,-0.0655747039332
ACH-000142,0.0125738652583
ACH-000143,-0.050229600248999993
ACH-000146,-0.07464763098560001
ACH-000148,-0.172223280151
ACH-000150,0.0205027304333
ACH-000152,-0.21817504651
ACH-000153,-0.254835213825
ACH-000159,-0.154538023006
ACH-000160,0.011330678427200001
ACH-000163,0.042713206503800005
ACH-000167,-0.424740195084
ACH-000168,-0.00445853269783
ACH-000169,-0.16348178108300002
ACH-000178,-0.08723920510949999
ACH-000182,-0.18296598607500003
ACH-000183,-0.215542981303
ACH-000188,-0.149493741219
ACH-000189,-0.11009408491900001
ACH-000190,-0.0512594037502
ACH-000198,-0.10501419806399999
ACH-000204,-0.138944058224
ACH-000206,-0.386231563971
ACH-000207,0.110535534683
ACH-000211,-0.20888613387200003
ACH-000215,-0.0223881024434
ACH-000221,-0.024855167848
ACH-000222,-0.21567881191399998
ACH-000223,-0.0590658146444
ACH-000226,-0.20844978813
ACH-000227,-0.21405454310199998
ACH-000228,-0.173988521527
ACH-000231,-0.15344189814
ACH-000232,-0.299167789885
ACH-000233,-0.211088181139
ACH-000234,-0.0347298805447
ACH-000235,-0.159051243514
ACH-000237,-0.215622964309
