,EEF1A1 (1915)
ACH-000004,-1.27970265561
ACH-000007,-1.17733420508
ACH-000009,-1.1990586589
ACH-000011,-1.18768305387
ACH-000012,-1.33853395692
ACH-000013,-1.2803179542899998
ACH-000014,-1.62012845395
ACH-000015,-1.16254344883
ACH-000017,-1.06547433425
ACH-000018,-1.18339391137
ACH-000019,-0.636361658177
ACH-000021,-1.28883164578
ACH-000022,-1.02857515989
ACH-000025,-1.04959900431
ACH-000028,-0.9473189978829999
ACH-000030,-1.1375934514700001
ACH-000035,-1.07758093681
ACH-000036,-1.18324268344
ACH-000037,-1.5280349413699998
ACH-000039,-1.4439588551700002
ACH-000040,-1.1942960684000001
ACH-000041,-1.15363525779
ACH-000042,-1.17676006509
ACH-000045,-1.4064385620700002
ACH-000047,-1.1902698227200001
ACH-000052,-1.5089633421899997
ACH-000053,-1.44365355646
ACH-000054,-1.42393562727
ACH-000055,-1.33298365484
ACH-000060,-1.28908660247
ACH-000067,-1.11828223884
ACH-000070,-1.6605231585799998
ACH-000075,-1.3079988591
ACH-000078,-1.19870220429
ACH-000082,-1.14054534893
ACH-000085,-1.09722967652
ACH-000086,-1.09405021859
ACH-000087,-1.09867416911
ACH-000092,-1.12353067321
ACH-000095,-1.18011080234
ACH-000097,-0.974289735129
ACH-000098,-1.1657183353799998
ACH-000099,-1.21823261675
ACH-000108,-1.1214430011399998
ACH-000113,-1.15629146378
ACH-000115,-1.07355049335
ACH-000116,-1.08220486154
ACH-000118,-1.10218777791
ACH-000120,-1.25213135215
ACH-000123,-1.0722977489
ACH-000127,-1.25021163069
ACH-000128,-1.16933636208
ACH-000132,-1.43795810795
ACH-000133,-1.31263681844
ACH-000137,-1.28437320078
ACH-000138,-1.36519726393
ACH-000142,-1.41089915604
ACH-000143,-1.5454187123700003
ACH-000146,-1.7347892170099997
ACH-000148,-1.51606545811
ACH-000150,-1.17639188884
ACH-000152,-1.25592677426
ACH-000153,-1.14268367752
ACH-000159,-1.64997599588
ACH-000160,-1.54211919659
ACH-000163,-1.29845954124
ACH-000167,-2.13236974552
ACH-000168,-1.3902953040700001
ACH-000169,-1.37660905796
ACH-000178,-1.3054166217899998
ACH-000182,-1.0979359077700002
ACH-000183,-1.3603256795200003
ACH-000188,-1.1437124788200002
ACH-000189,-1.28630068064
ACH-000190,-1.34257300599
ACH-000198,-1.2778022314
ACH-000204,-1.1770283261799999
ACH-000206,-1.27105580251
ACH-000207,-1.61246037115
ACH-000211,-1.17753559735
ACH-000215,-1.3280029147299999
ACH-000221,-1.2095245428299999
ACH-000222,-1.43186429484
ACH-000223,-1.0257448544299999
ACH-000226,-1.4339409417500002
ACH-000227,-1.2989474511
ACH-000228,-1.37037340231
ACH-000231,-1.2699183775299998
ACH-000232,-1.29800233154
ACH-000233,-1.27161936653
ACH-000234,-1.2981054023
ACH-000235,-1.35712627304
ACH-000237,-1.35365339074
ACH-000238,-1.33356508407
ACH-000243,-1.03227892404
ACH-000244,-0.8258958977349999
ACH-000246,-1.03453351131
ACH-000248,-1.03238641778
ACH-000250,-1.2538945611799999
ACH-000251,-1.0030651678799998
ACH-000253,-1.17406254508
ACH-000255,-1.02157115299
ACH-000256,-1.2341582061399998
ACH-000257,-1.3951320422
ACH-000258,-1.3400679779
ACH-000259,-1.07567808359
ACH-000260,-1.21561366186
ACH-000261,-1.05636627179
ACH-000262,-1.01198287292
ACH-000263,-1.26879673076
ACH-000264,-0.972449847725
ACH-000265,-1.15465578964
ACH-000266,-1.04836913963
ACH-000272,-1.2195479388700001
ACH-000273,-1.2075290685100002
ACH-000274,-1.32287320424
ACH-000277,-0.807447443469
ACH-000278,-1.0151969840100001
ACH-000279,-1.2133071857100002
ACH-000280,-1.3410919431000001
ACH-000281,-1.34608987092
ACH-000288,-1.31786350967
ACH-000291,-1.12411452828
ACH-000293,-1.33706208066
ACH-000294,-1.19860306569
ACH-000295,-1.1429508476299999
ACH-000296,-1.47373872808
ACH-000302,-0.759580420862
ACH-000304,-1.58018362522
ACH-000307,-1.3446732377200001
ACH-000308,-1.29899575958
ACH-000310,-1.03493297119
ACH-000311,-1.08157496699
ACH-000312,-1.19446715921
ACH-000315,-1.4565092552
ACH-000316,-1.14283163908
ACH-000317,-1.2504342207899999
ACH-000318,-1.2247946295799998
ACH-000319,-1.1221657624899999
ACH-000320,-1.1379384075799999
ACH-000322,-1.74280401868
ACH-000323,-0.9783157776189999
ACH-000324,-1.29388404949
ACH-000329,-1.3654534610799998
ACH-000330,-1.00762948081
ACH-000331,-1.02021756404
ACH-000332,-1.2608017597499999
ACH-000334,-1.71942689582
ACH-000335,-1.3152053154799999
ACH-000336,-1.45029579937
ACH-000337,-1.03936033225
ACH-000339,-1.35307634343
ACH-000341,-1.08124408943
ACH-000348,-1.4578124639200003
ACH-000350,-1.4103501569499999
ACH-000352,-1.09173436694
ACH-000356,-0.989365604809
ACH-000361,-1.39676548111
ACH-000362,-1.2248763273999999
ACH-000363,-1.37021933163
ACH-000364,-1.1193150017
ACH-000365,-1.17172432945
ACH-000366,-1.19100359418
ACH-000368,-1.41657322017
ACH-000374,-1.2753483262899998
ACH-000375,-1.20068568347
ACH-000376,-1.1922267479100002
ACH-000381,-1.34299146729
ACH-000383,-1.44327855544
ACH-000387,-1.1121768858499999
ACH-000389,-1.14242822926
ACH-000390,-1.30272710513
ACH-000393,-1.2141859525799998
ACH-000395,-1.37466571735
ACH-000397,-1.11920582314
ACH-000401,-1.0062201225299998
ACH-000402,-1.355074804
ACH-000403,-1.28265145732
ACH-000404,-1.7632993443400002
ACH-000406,-1.68804663511
ACH-000407,-1.1037754637100001
ACH-000408,-1.22376903984
ACH-000410,-1.10173002438
ACH-000411,-1.14919171239
ACH-000414,-1.3039056534
ACH-000415,-1.4362338831400001
ACH-000416,-0.959354752156
ACH-000420,-1.3537885499700002
ACH-000421,-0.9874417098620001
ACH-000424,-1.05042335016
ACH-000425,-1.22310424135
ACH-000426,-1.7576351304299997
ACH-000427,-1.05758331236
ACH-000433,-1.25422262365
ACH-000436,-1.32632959186
ACH-000444,-1.1660806484000001
ACH-000445,-1.10638460294
ACH-000448,-1.3801097451299997
ACH-000450,-1.22982519048
ACH-000452,-1.10208894519
ACH-000454,-0.6729848327240001
ACH-000458,-1.37121273044
ACH-000459,-1.47710667046
ACH-000460,-1.11318753815
ACH-000461,-1.12324324719
ACH-000463,-1.20203272204
ACH-000464,-1.50229845991
ACH-000466,-0.929263060758
ACH-000467,-1.4117956045200002
ACH-000468,-0.908582419424
ACH-000469,-1.12843719129
ACH-000470,-1.5136859367
ACH-000471,-1.27946634407
ACH-000472,-1.45511622664
ACH-000473,-1.46715572185
ACH-000475,-1.4082656021899997
ACH-000476,-1.34581175505
ACH-000477,-2.13150934598
ACH-000480,-1.336817347
ACH-000481,-1.3753538948
ACH-000483,-1.17018358819
ACH-000484,-0.949159265351
ACH-000485,-1.2378327767200001
ACH-000486,-1.21164132307
ACH-000487,-1.2258267571700001
ACH-000488,-1.10636242886
ACH-000490,-1.10512537286
ACH-000491,-1.34494872784
ACH-000495,-1.4917802047
ACH-000496,-1.34233661481
ACH-000499,-1.27285356885
ACH-000500,-1.1931522326000001
ACH-000502,-1.32427142345
ACH-000503,-1.33302410527
ACH-000505,-1.22332818174
ACH-000507,-1.2569317821700001
ACH-000510,-1.12377177928
ACH-000511,-0.812925611722
ACH-000512,-1.2561113327
ACH-000516,-1.20168190875
ACH-000517,-1.2321741857
ACH-000518,-1.70430216738
ACH-000520,-1.06399240282
ACH-000521,-1.09206407033
ACH-000522,-1.35594588371
ACH-000524,-1.31460164949
ACH-000527,-1.33772462767
ACH-000528,-1.12774034145
ACH-000537,-1.17790667677
ACH-000541,-1.38203034649
ACH-000542,-1.0302275429799999
ACH-000544,-1.32492003421
ACH-000545,-1.2897459938299998
ACH-000547,-1.28317668455
ACH-000548,-1.23726497424
ACH-000549,-1.01759923688
ACH-000550,-1.03601502861
ACH-000552,-1.31343094181
ACH-000556,-1.33204799535
ACH-000557,-1.6043731828299999
ACH-000570,-1.2427835868200001
ACH-000571,-1.6193970188299998
ACH-000573,-1.23810705874
ACH-000576,-1.07195489045
ACH-000580,-1.5132199403
ACH-000584,-1.40137081579
ACH-000585,-1.23671448177
ACH-000588,-1.34243391516
ACH-000589,-1.18250417653
ACH-000591,-1.2458599213200001
ACH-000593,-1.32119646941
ACH-000600,-1.4870652542899998
ACH-000601,-1.1018328305299998
ACH-000604,-1.27457146121
ACH-000605,-1.49292808269
ACH-000606,-1.20512045442
ACH-000608,-1.3315522719600001
ACH-000614,-1.47970926576
ACH-000616,-1.15480031965
ACH-000618,-1.39735927347
ACH-000619,-0.895186305456
