,SORT1 (6272)
ACH-000004,0.178005637478
ACH-000007,-0.0119585625799
ACH-000009,-0.185991492387
ACH-000011,-0.0273094200383
ACH-000012,-0.09682052937689999
ACH-000013,-0.15548287484200002
ACH-000014,0.0846200204954
ACH-000015,-0.0689446692239
ACH-000017,0.0121138899908
ACH-000018,-0.13347832146299998
ACH-000019,-0.185210708553
ACH-000021,-0.18473510457000003
ACH-000022,0.053512896663699995
ACH-000025,-0.0478506038117
ACH-000028,-0.46808720022699996
ACH-000030,-0.178912598692
ACH-000035,-0.35635808851800005
ACH-000036,0.168303660143
ACH-000037,0.0582330766211
ACH-000039,-0.040149656209199996
ACH-000040,0.022022653986800002
ACH-000041,0.050491987562999996
ACH-000042,-0.0313954800953
ACH-000045,0.101733171205
ACH-000047,-0.120599401531
ACH-000052,0.056886876271900005
ACH-000053,-0.171311808585
ACH-000054,0.0732107360669
ACH-000055,-0.27377434309500004
ACH-000060,-0.0035086854976700004
ACH-000067,-0.117533247143
ACH-000070,-0.08783716856460001
ACH-000075,-0.314182233477
ACH-000078,-0.210545030407
ACH-000082,-0.163273130564
ACH-000085,0.0906335091225
ACH-000086,-0.228577399628
ACH-000087,-0.19914340006900003
ACH-000092,-0.20327654115899998
ACH-000095,-0.143158448588
ACH-000097,-0.10321933283700001
ACH-000098,-0.168397718715
ACH-000099,-0.0798673055362
ACH-000108,0.023867263987300002
ACH-000113,-0.0770473881315
ACH-000115,0.0642637286253
ACH-000116,-0.0711739272538
ACH-000118,-0.0678926616909
ACH-000120,-0.14770711669000003
ACH-000123,-0.082747206228
ACH-000127,-0.0108434674857
ACH-000128,-0.108448730963
ACH-000132,0.023854506911200002
ACH-000133,-0.0965788518331
ACH-000137,-0.305595862943
ACH-000138,0.06261348790389999
ACH-000142,-0.08414231125150001
ACH-000143,0.170253879459
ACH-000146,-0.055693125254800004
ACH-000148,0.0205468401841
ACH-000150,0.127252986474
ACH-000152,-0.27461908123000006
ACH-000153,-0.156497025304
ACH-000159,-0.124680284911
ACH-000160,0.118596289502
ACH-000163,-0.06970232671339999
ACH-000167,-0.354522382689
ACH-000168,0.152251706917
ACH-000169,-0.0924642344023
ACH-000178,-0.0621252529837
ACH-000182,0.0349934353865
ACH-000183,-0.202535921068
