,IKBKAP (8518)
ACH-000004,-1.4180372646000001
ACH-000007,-0.759238610458
ACH-000009,-1.42639321157
ACH-000011,-1.21409673516
ACH-000012,-1.20947077693
ACH-000013,-1.5369514406799998
ACH-000014,-1.13991156829
ACH-000015,-1.5878077276299998
ACH-000017,-1.2864922288299998
ACH-000018,-1.12166902896
ACH-000019,-1.1004797637600001
ACH-000021,-1.16002099983
ACH-000022,-1.04887279899
ACH-000025,-1.31489903689
ACH-000028,-1.1099640029
ACH-000030,-1.17894003767
ACH-000035,-1.14363767856
ACH-000036,-1.32623506565
ACH-000037,-1.52988020631
ACH-000039,-1.33406811765
ACH-000040,-1.0522447585999999
ACH-000041,-1.38685313946
ACH-000042,-1.0305430652399998
ACH-000045,-1.2033120225
ACH-000047,-0.9539005298440001
ACH-000052,-1.15697104404
ACH-000053,-1.06428366823
ACH-000054,-1.3249555905
ACH-000055,-1.1515056553299998
ACH-000060,-1.00148116316
ACH-000067,-1.0915317974299998
ACH-000070,-1.07522130199
ACH-000075,-1.12907432365
ACH-000078,-1.19099678011
ACH-000082,-0.712102789631
ACH-000085,-1.0923657613200002
ACH-000086,-1.17542989656
ACH-000087,-1.1492743846200002
ACH-000092,-1.06206396111
ACH-000095,-1.29749896441
ACH-000097,-0.798347407541
ACH-000098,-1.01473756552
ACH-000099,-0.953304161192
ACH-000108,-1.2704204539
ACH-000113,-1.14254361145
ACH-000115,-1.20798307702
ACH-000116,-1.11313889222
ACH-000118,-0.93189193343
ACH-000120,-1.10112240373
ACH-000123,-1.38567802947
ACH-000127,-1.26383628207
ACH-000128,-0.8832777617919999
ACH-000132,-1.13816751184
ACH-000133,-1.11633652471
ACH-000137,-1.23153851591
ACH-000138,-1.48750804064
ACH-000142,-1.12739342948
ACH-000143,-1.14351599668
ACH-000146,-0.424008759536
ACH-000148,-1.14852242406
ACH-000150,-1.09093101354
ACH-000152,-1.04066695597
ACH-000153,-1.3386322225700003
ACH-000159,-1.22283327155
ACH-000160,-0.613980317839
ACH-000163,-1.2060128931899998
ACH-000167,-0.669689938971
ACH-000168,-0.78035047305
ACH-000169,-1.0014553997600002
ACH-000178,-1.1154317626299999
ACH-000182,-0.8170227797030001
ACH-000183,-1.1738425535299999
ACH-000188,-0.921095736984
ACH-000189,-1.21979160285
ACH-000190,-0.738122220676
ACH-000198,-1.12103149282
ACH-000204,-0.763991078821
ACH-000206,-1.08213702916
ACH-000207,-1.1120501657100001
ACH-000211,-0.972408020918
ACH-000215,-1.1205208621
ACH-000221,-1.27538139263
ACH-000222,-1.2025583413299998
ACH-000223,-0.6796999603049999
ACH-000226,-0.991354799009
ACH-000227,-1.0449845001
ACH-000228,-1.1422925370299999
ACH-000231,-1.10657363397
ACH-000232,-1.14336027736
ACH-000233,-1.12765565997
ACH-000234,-1.2693130206
ACH-000235,-1.0805697109299999
ACH-000237,-1.2934601305600002
ACH-000238,-1.23048248126
ACH-000243,-1.22211082755
ACH-000244,-1.06972081126
ACH-000246,-1.00636173517
ACH-000248,-1.32531735087
ACH-000250,-0.9981948163709999
ACH-000251,-1.42043566205
ACH-000253,-1.20470557817
ACH-000255,-1.0890901557500001
ACH-000256,-0.97485334646
ACH-000257,-1.3906272402000002
ACH-000258,-1.14753232953
ACH-000259,-1.24082342464
ACH-000260,-1.21145432975
ACH-000261,-1.10145553888
ACH-000262,-1.07065140722
ACH-000263,-0.9503089054709999
ACH-000264,-1.3581410855399998
ACH-000265,-1.14595614087
ACH-000266,-0.845718460138
ACH-000272,-1.04722204719
ACH-000273,-1.08350535325
ACH-000274,-1.32074032404
ACH-000277,-1.3583770752000002
ACH-000278,-1.09034161757
ACH-000279,-1.13965705157
ACH-000280,-1.34424207299
ACH-000281,-1.2120487636700001
ACH-000288,-1.37684664262
ACH-000291,-1.15192664076
ACH-000293,-1.27519695025
ACH-000294,-1.8561869950799998
ACH-000295,-1.22783415323
ACH-000296,-1.0616204295899998
ACH-000302,-0.7255341368780001
ACH-000304,-1.06939092517
ACH-000307,-1.2246796054
ACH-000308,-1.0953528478
