,CA5A (763)
ACH-000004,-0.48642754409999994
ACH-000007,-0.467622007864
ACH-000009,-0.264530917218
ACH-000011,-0.33844548481299996
ACH-000012,-0.425053783207
ACH-000013,-0.46005075195100004
ACH-000014,-0.436673322184
ACH-000015,-0.317540731129
ACH-000017,-0.33344436068000005
ACH-000018,-0.419582427408
ACH-000019,-0.574007755652
ACH-000021,-0.489076739772
ACH-000022,-0.547041197786
ACH-000025,-0.58665109456
ACH-000028,-0.308975750297
ACH-000030,-0.267320249833
ACH-000035,-0.390158330201
ACH-000036,-0.609960745284
ACH-000037,-0.365411126525
ACH-000039,-0.312640498268
ACH-000040,-0.46859807215099997
ACH-000041,-0.152710890943
ACH-000042,-0.426437874912
ACH-000045,-0.248322709461
ACH-000047,-0.439303799427
ACH-000052,-0.461451618511
ACH-000053,-0.311828996497
ACH-000054,-0.438510455291
ACH-000055,-0.384121626097
ACH-000060,-0.424185814199
ACH-000067,-0.350572595235
ACH-000070,-0.459512773213
ACH-000075,-0.714611138774
ACH-000078,-0.26645257656
ACH-000082,-0.418987178058
ACH-000085,-0.601729161707
ACH-000086,-0.27807682608600004
ACH-000087,-0.418215123604
ACH-000092,-0.25126950637699996
ACH-000095,-0.399366885977
ACH-000097,-0.533983074522
ACH-000098,-0.306026865075
ACH-000099,-0.40582898110699994
ACH-000108,-0.375247565294
ACH-000113,-0.371776708677
ACH-000115,-0.45482567419299996
ACH-000116,-0.36391013401699995
ACH-000118,-0.324474318248
ACH-000120,-0.33732157568899995
ACH-000123,-0.34163975442199995
ACH-000127,-0.737581610575
ACH-000128,-0.47200599831699996
ACH-000132,-0.434069459136
ACH-000133,-0.45927173336800003
ACH-000137,-0.424900657001
ACH-000138,-0.44400808546000003
ACH-000142,-0.436019695211
ACH-000143,-0.416596261989
ACH-000146,-0.26239648852499997
ACH-000148,-0.384630368196
ACH-000150,-0.508223419004
ACH-000152,-0.301251688894
ACH-000153,-0.43621606659999995
ACH-000159,-0.38525680464199996
ACH-000160,-0.291142383412
ACH-000163,-0.437046806554
ACH-000167,-0.264540447638
ACH-000168,-0.41117918944
ACH-000169,-0.430453741636
ACH-000178,-0.46626134048900003
ACH-000182,-0.43405878893399996
ACH-000183,-0.587120900618
ACH-000188,-0.21712876929000002
ACH-000189,-0.254485434133
ACH-000190,-0.423520533433
ACH-000198,-0.445698964137
ACH-000204,-0.356742136463
ACH-000206,-0.20592422677900002
ACH-000207,-0.220557950501
ACH-000211,-0.417522130697
ACH-000215,-0.359717893107
ACH-000221,-0.5464750797919999
ACH-000222,-0.46610140493600005
ACH-000223,-0.226262329372
ACH-000226,-0.359833649276
ACH-000227,-0.6527338078239999
ACH-000228,-0.450191623897
ACH-000231,-0.30192298828200004
ACH-000232,-0.366822383719
ACH-000233,-0.41311986444
ACH-000234,-0.397535909557
ACH-000235,-0.379757563355
ACH-000237,-0.43305397401600004
ACH-000238,-0.147028239285
ACH-000243,-0.406603074251
ACH-000244,-0.241267056479
ACH-000246,-0.466299238662
ACH-000248,-0.404095266256
ACH-000250,-0.439082750787
ACH-000251,-0.246566034084
ACH-000253,-0.327081514372
ACH-000255,-0.186511015504
ACH-000256,-0.125262090266
ACH-000257,-0.295420128609
ACH-000258,-0.501857602204
ACH-000259,-0.333792492037
ACH-000260,-0.44166485228999997
ACH-000261,-0.37515559415399996
ACH-000262,-0.527415169596
ACH-000263,-0.258392505853
ACH-000264,-0.42065784202699996
ACH-000265,-0.318968972042
ACH-000266,-0.35009420507
ACH-000272,-0.390064222038
ACH-000273,-0.230932271336
ACH-000274,-0.327812995663
ACH-000277,-0.518242127133
ACH-000278,-0.33629229615999995
ACH-000279,-0.38920664875
ACH-000280,-0.511762951971
ACH-000281,-0.410981208122
ACH-000288,-0.53310899913
ACH-000291,-0.36252559366099996
ACH-000293,-0.307164956672
ACH-000294,-0.415527455094
ACH-000295,-0.6939000069619999
ACH-000296,-0.17894032275199998
ACH-000302,-0.346615938434
ACH-000304,-0.266877706626
ACH-000307,-0.48017537323200005
ACH-000308,-0.455145852124
ACH-000310,-0.310522611304
ACH-000311,-0.39752362425
ACH-000312,-0.378718414428
ACH-000315,-0.305074760933
ACH-000316,-0.5543939376100001
ACH-000317,-0.376639955325
ACH-000318,-0.164755824496
ACH-000319,-0.345748832326
ACH-000320,-0.278079448543
ACH-000322,-0.584436266231
ACH-000323,-0.42810468580600003
ACH-000324,-0.458228739222
ACH-000329,-0.516446898975
ACH-000330,-0.48245224029399997
ACH-000331,-0.41093522664800003
ACH-000332,-0.342468111553
ACH-000334,-0.46477991801299995
ACH-000335,-0.468881431954
ACH-000336,-0.530840873127
ACH-000337,-0.479282828256
ACH-000339,-0.540389433336
ACH-000341,-0.308383699945
ACH-000348,-0.43279594609600003
ACH-000350,-0.5904519194210001
ACH-000352,-0.36457906318899996
ACH-000356,-0.46156750868199997
ACH-000361,-0.344606770193
ACH-000362,-0.253632208574
ACH-000363,-0.437093287522
ACH-000364,-0.414923889638
ACH-000365,-0.448293304639
ACH-000366,-0.42465279160400005
ACH-000368,-0.37926331273100006
ACH-000374,-0.468465470474
ACH-000375,-0.476999967367
ACH-000376,-0.283184049031
ACH-000381,-0.40393679131099997
ACH-000383,-0.38555162397500004
ACH-000387,-0.47770159290200004
ACH-000389,-0.5219900634800001
ACH-000390,-0.670061621088
ACH-000393,-0.315771069769
ACH-000395,-0.608564529075
ACH-000397,-0.6783962698229999
ACH-000401,-0.397081336605
ACH-000402,-0.311681939362
ACH-000403,-0.346122069279
ACH-000404,-0.0877603892533
ACH-000406,-0.421866734966
ACH-000407,-0.337845557069
ACH-000408,-0.6024042881399999
ACH-000410,-0.253277910297
ACH-000411,-0.38508794231700005
ACH-000414,-0.24727746021699998
ACH-000415,-0.325065047687
ACH-000416,-0.325281786843
ACH-000420,-0.648664593946
ACH-000421,-0.508150224672
ACH-000424,-0.509985354279
ACH-000425,-0.290803042395
ACH-000426,-0.41938105501999995
ACH-000427,-0.323662703236
ACH-000433,-0.43741375606399996
ACH-000436,-0.633931124539
ACH-000444,-0.427447870467
ACH-000445,-0.459716948851
ACH-000448,-0.438242541343
ACH-000450,-0.27631176932100004
ACH-000452,-0.398126720788
ACH-000454,-0.154950962329
ACH-000458,-0.515803156409
ACH-000459,-0.42048771916100003
ACH-000460,-0.491166516113
ACH-000461,-0.373592661293
ACH-000463,-0.42409517023800003
ACH-000464,-0.126838283408
ACH-000466,-0.495890307174
ACH-000467,-0.388544102546
ACH-000468,-0.571099723852
ACH-000469,-0.47872603468099995
ACH-000470,-0.137674711844
ACH-000471,-0.515313910901
ACH-000472,-0.7324780949940001
ACH-000473,-0.27177883335999997
ACH-000475,-0.49259697277
ACH-000476,-0.302965531074
ACH-000477,-0.17107447535599998
ACH-000480,-0.291404024538
ACH-000481,-0.37207290479599997
ACH-000483,-0.45028979898000004
ACH-000484,-0.570729005866
ACH-000485,-0.51809245779
ACH-000486,-0.448689778489
ACH-000487,-0.293091584138
ACH-000488,-0.41924552186399994
ACH-000490,-0.315977321968
ACH-000491,-0.232797403682
ACH-000495,-0.6008449131600001
ACH-000496,-0.456200503829
ACH-000499,-0.719779774269
ACH-000500,-0.10873804267500001
ACH-000502,-0.446678100871
ACH-000503,-0.43159542768299997
ACH-000505,-0.516940899949
ACH-000507,-0.39215229635
ACH-000510,-0.504810690987
ACH-000511,-0.326231806407
ACH-000512,-0.410488870673
ACH-000516,-0.48114793400600003
ACH-000517,-0.363703933798
ACH-000518,-0.47041902748400005
ACH-000520,-0.664506858806
ACH-000521,-0.334421315341
ACH-000522,-0.38053202734700003
ACH-000524,-0.336203616527
ACH-000527,-0.48323243636200003
ACH-000528,-0.459272189964
ACH-000537,-0.5570687839949999
ACH-000541,-0.5425646792000001
ACH-000542,-0.47727471854099995
ACH-000544,-0.521238495215
ACH-000545,-0.349359339911
ACH-000547,-0.497454166346
ACH-000548,-0.456881574616
ACH-000549,-0.537183264138
ACH-000550,-0.380066091577
ACH-000552,-0.40105264732699997
ACH-000556,-0.608084162042
ACH-000557,-0.463965901892
ACH-000570,-0.312375077357
ACH-000571,-0.38686106942500004
ACH-000573,-0.420939870043
ACH-000576,-0.33151121003199996
ACH-000580,-0.237278029547
ACH-000584,-0.49902702657700004
ACH-000585,-0.494061493469
ACH-000588,-0.395424270972
ACH-000589,-0.489024588344
ACH-000591,-0.424912397514
ACH-000593,-0.531888601628
ACH-000600,-0.492911210983
ACH-000601,-0.440986773533
ACH-000604,-0.541899619602
ACH-000605,-0.424944702886
ACH-000606,-0.329893673869
ACH-000608,-0.439460374604
ACH-000614,-0.233812195308
ACH-000616,-0.388516031205
ACH-000618,-0.42146432970799996
ACH-000619,-0.41925111605099996
ACH-000620,-0.5775905897029999
ACH-000621,-0.509956007751
ACH-000622,-0.270281498685
ACH-000623,-0.342989161376
ACH-000624,-0.44894363048299996
ACH-000627,-0.06822731689690001
ACH-000630,-0.356653120115
ACH-000632,-0.48044467237300004
ACH-000633,-0.28561713424
ACH-000637,-0.506397096381
ACH-000638,-0.42734131675
ACH-000646,-0.6801144865109999
ACH-000647,-0.464832090602
ACH-000648,-0.239612912992
ACH-000649,-0.403414404512
ACH-000651,-0.323801077386
ACH-000652,-0.585704366844
ACH-000653,-0.47565588049400004
ACH-000657,-0.34774292037
ACH-000658,-0.559635264854
ACH-000661,-0.581321489309
ACH-000662,-0.254001615915
ACH-000663,-0.501134024578
ACH-000665,-0.435653770147
ACH-000671,-0.539501818982
ACH-000673,-0.321678742813
ACH-000676,-0.418180957762
ACH-000677,-0.34152951653700003
ACH-000681,-0.33008462178000003
ACH-000682,-0.416775543844
ACH-000683,-0.6992664789499999
ACH-000684,-0.232225720921
ACH-000688,-0.372461611501
ACH-000693,-0.37773719296700004
ACH-000694,-0.230231908741
ACH-000695,-0.6203878851169999
ACH-000696,-0.29252224574499996
ACH-000697,-0.47025259128700003
ACH-000699,-0.345776698355
ACH-000701,-0.44118332468099997
ACH-000706,-0.44792074669
ACH-000711,-0.409676781266
ACH-000713,-0.514388067975
ACH-000714,-0.56817824533
ACH-000718,-0.546858486411
ACH-000720,-0.37639029168300003
ACH-000721,-0.349788002622
ACH-000724,-0.694224783732
ACH-000725,-0.630333216578
ACH-000732,-0.399589709493
ACH-000734,-0.36202938402400003
ACH-000735,-0.24555016773899999
ACH-000736,-0.269484618697
ACH-000738,-0.22312473007199998
ACH-000746,-0.496648240055
ACH-000747,-0.475291616154
ACH-000748,-0.523734089355
ACH-000753,-0.555281715987
ACH-000756,-0.366782894925
ACH-000757,-0.5200670649270001
ACH-000758,-0.47268065589100006
