,STT3A (3703)
ACH-000004,0.038552646013
ACH-000007,-0.5791511437210001
ACH-000009,-0.45375791255900005
ACH-000011,-0.09934428157469999
ACH-000012,-0.08969172780519999
ACH-000013,-0.22667673427299997
ACH-000014,-0.193319181837
ACH-000015,-0.486396173679
ACH-000017,-0.0753353267594
ACH-000018,-0.319925503594
ACH-000019,-0.041208456911199995
ACH-000021,-0.0316919874492
ACH-000022,-0.711125186781
ACH-000025,-0.36323412049099996
ACH-000028,-0.0755812783302
ACH-000030,-0.268472793983
ACH-000035,-0.195975908846
ACH-000036,-0.202304880819
ACH-000037,-0.0621107150239
ACH-000039,-0.424427972817
ACH-000040,-0.223513736642
ACH-000041,-0.365117576532
ACH-000042,-0.698414185238
ACH-000045,0.15115898186899998
ACH-000047,-0.257023537013
ACH-000052,-0.5931344514469999
ACH-000053,0.0673056455066
ACH-000054,-0.19887231091600002
ACH-000055,-0.0215103018793
ACH-000060,-0.568628354899
ACH-000067,0.199370602268
ACH-000070,-0.522044016689
ACH-000075,-0.26270276031999995
ACH-000078,-0.295808550218
ACH-000082,-0.116082330063
ACH-000085,-0.20124900695999998
ACH-000086,-0.295219307963
ACH-000087,-0.6345641026359999
ACH-000092,-0.27377100011100003
ACH-000095,-0.4556920657
ACH-000097,-0.15304661528
ACH-000098,0.13883770961300002
ACH-000099,-0.476599193719
ACH-000108,-0.600922606992
ACH-000113,-0.529276536368
ACH-000115,-0.466666452803
ACH-000116,-0.0251900489184
ACH-000118,-0.7205512099570001
ACH-000120,-0.33307581713
ACH-000123,-0.540278949216
ACH-000127,-0.1763679758
ACH-000128,-0.45157780080399995
ACH-000132,-0.16004995822100002
ACH-000133,-0.47236688369999996
ACH-000137,-0.18110895316700001
ACH-000138,-0.392738994775
ACH-000142,-0.464258383402
ACH-000143,-0.19866859097
ACH-000146,0.091507010737
ACH-000148,-0.0735100320803
ACH-000150,-0.44405927604999995
ACH-000152,-0.186961785734
ACH-000153,-0.10135644524599999
ACH-000159,-0.0394686061149
ACH-000160,-0.0923374824588
