,DENR (8562)
ACH-000004,-0.8164126850679999
ACH-000007,-1.16773117168
ACH-000009,-1.18344087742
ACH-000011,-1.1047397811
ACH-000012,-0.8243264188580001
ACH-000013,-0.9775809575390001
ACH-000014,-0.525955810934
ACH-000015,-0.893926949466
ACH-000017,-1.16678564157
ACH-000018,-1.05684695577
ACH-000019,-0.538128938348
ACH-000021,-0.609189501936
ACH-000022,-1.15788702358
ACH-000025,-0.883894650425
ACH-000028,-0.6856521314599999
ACH-000030,-0.817972497852
ACH-000035,-1.07618961378
ACH-000036,-0.8575472773810001
ACH-000037,-1.19609605859
ACH-000039,-0.9924660492370001
ACH-000040,-0.6380252366100001
ACH-000041,-1.15165138058
ACH-000042,-0.799366894467
ACH-000045,0.110714882645
ACH-000047,-0.7572775353579999
ACH-000052,-0.878475397347
ACH-000053,-0.762053935111
ACH-000054,-0.8186472896279999
ACH-000055,-0.851201113113
ACH-000060,-0.8310479508640001
ACH-000067,-0.8620363356499999
ACH-000070,-0.739218127195
ACH-000075,-0.62516050022
ACH-000078,-0.8097545496690001
ACH-000082,-0.6913709920569999
ACH-000085,-0.82435604458
ACH-000086,-0.620340705935
ACH-000087,-1.26424433301
ACH-000092,-0.969873126688
ACH-000095,-0.891559928191
ACH-000097,-1.1752029859
ACH-000098,-0.617803027019
ACH-000099,-0.9989824815189999
ACH-000108,-0.604207303654
ACH-000113,-0.596638293568
ACH-000115,-1.1421176053
ACH-000116,-0.7002501211319999
ACH-000118,-0.715251046934
ACH-000120,-0.784297724957
ACH-000123,-0.9240773103859999
ACH-000127,-0.650366716198
ACH-000128,-0.7435592712540001
ACH-000132,-0.941516288609
ACH-000133,-1.01644597681
ACH-000137,-0.681503770228
ACH-000138,-0.504983980116
ACH-000142,-0.758263056887
ACH-000143,-0.921195619706
ACH-000146,0.0958357340946
ACH-000148,-1.10009756891
ACH-000150,-0.770556483131
ACH-000152,-0.959738805476
ACH-000153,-0.986094109296
ACH-000159,-0.6470384156710001
ACH-000160,-0.7494354642759999
ACH-000163,-0.6842553232520001
ACH-000167,-0.52936041103
ACH-000168,-0.477990632959
ACH-000169,-0.9001746196510001
ACH-000178,-0.7537979036470001
ACH-000182,-0.6708808014109999
ACH-000183,-0.354986280788
ACH-000188,-1.18425426185
ACH-000189,-0.774874067464
ACH-000190,-0.821174365669
ACH-000198,-0.8101516685600001
ACH-000204,-0.8262521548999999
ACH-000206,-0.788940175072
ACH-000207,-0.6721144783319999
ACH-000211,-1.0296620865100001
ACH-000215,-0.673935868706
ACH-000221,-0.635518189623
ACH-000222,-1.01124851016
ACH-000223,-1.0829348835600001
ACH-000226,-0.6955109151719999
ACH-000227,-0.959032639596
ACH-000228,-0.8021160072750001
ACH-000231,-0.741857250119
ACH-000232,-0.8346570035490001
ACH-000233,-0.6464350286289999
ACH-000234,-0.9175545556
ACH-000235,-0.675444731303
ACH-000237,-1.12920605041
ACH-000238,-0.758710367467
ACH-000243,-0.794055680237
ACH-000244,-0.955681724481
ACH-000246,-1.03061637654
ACH-000248,-1.14830196573
ACH-000250,-0.717168859985
ACH-000251,-0.946458635321
ACH-000253,-0.7507388953
ACH-000255,-0.402543128887
ACH-000256,-0.903319386689
ACH-000257,-1.22331728839
ACH-000258,-1.1373149839399999
ACH-000259,-0.872497302114
ACH-000260,-0.909222779157
ACH-000261,-0.943280829532
ACH-000262,-0.688181967397
ACH-000263,-0.811026608242
ACH-000264,-0.895934822173
ACH-000265,-0.932940511787
ACH-000266,-0.725005451784
ACH-000272,-0.836115817784
ACH-000273,-0.901845779955
ACH-000274,-0.818773780346
ACH-000277,-1.12917723504
ACH-000278,-0.77264981852
ACH-000279,-1.04480648368
ACH-000280,-1.13226987886
ACH-000281,-0.8493010396170001
ACH-000288,-1.07982709178
ACH-000291,-0.907152583347
ACH-000293,-0.860433199933
ACH-000294,-0.313067165994
ACH-000295,0.271209491337
ACH-000296,-1.2483699724
ACH-000302,-0.8579581482009999
ACH-000304,-0.8494945571510001
