,GPATCH3 (63906)
ACH-000004,-0.21104987511300002
ACH-000007,0.0233837868444
ACH-000009,-0.361202519274
ACH-000011,-0.161245968453
ACH-000012,-0.382009457316
ACH-000013,-0.37667049069499997
ACH-000014,-0.310052887644
ACH-000015,-0.218455287246
ACH-000017,-0.379965478935
ACH-000018,0.10684627864700001
ACH-000019,-0.197806941684
ACH-000021,-0.260527025976
ACH-000022,-0.0887987465161
ACH-000025,-0.323801763986
ACH-000028,-0.248671911448
ACH-000030,-0.23440556310600003
ACH-000035,-0.37406845969499997
ACH-000036,-0.18589814512000002
ACH-000037,-0.42506348005500005
ACH-000039,-0.10770072563500001
ACH-000040,-0.362639009691
ACH-000041,-0.118782381302
ACH-000042,-0.292822081878
ACH-000045,-0.170958058113
ACH-000047,-0.112812201975
ACH-000052,-0.155998618981
ACH-000053,-0.213038100097
ACH-000054,-0.19372762541900002
ACH-000055,-0.219523482338
ACH-000060,-0.452434247469
ACH-000067,-0.27484054320900003
ACH-000070,-0.63437716909
ACH-000075,-0.392633717484
ACH-000078,-0.326694138546
ACH-000082,-0.394875994278
ACH-000085,-0.357393508494
ACH-000086,-0.547174555014
ACH-000087,-0.277825667357
ACH-000092,-0.47693863511600004
ACH-000095,-0.330588908971
ACH-000097,-0.23836286015900002
ACH-000098,-0.274033624043
ACH-000099,-0.268247016271
ACH-000108,-0.455957931624
ACH-000113,-0.283418664577
ACH-000115,-0.24263894869000002
ACH-000116,-0.27874385239300004
ACH-000118,-0.291953455481
ACH-000120,-0.37967090079099997
ACH-000123,-0.102005887809
ACH-000127,-0.21621742285999998
ACH-000128,-0.31099416674
ACH-000132,-0.301524738919
ACH-000133,-0.530223533585
ACH-000137,-0.461557254823
ACH-000138,-0.221621402117
ACH-000142,-0.452708454344
ACH-000143,-0.043977758135
ACH-000146,-0.251149774498
ACH-000148,-0.333165112256
ACH-000150,-0.461950720461
ACH-000152,-0.44343771026900003
ACH-000153,-0.49666330602700004
ACH-000159,-0.387900730183
ACH-000160,-0.181766988817
ACH-000163,-0.0623770928197
ACH-000167,-0.446636514006
ACH-000168,-0.247628790595
ACH-000169,-0.349206795766
ACH-000178,-0.26852688851100004
ACH-000182,-0.218355633734
ACH-000183,-0.256047833798
ACH-000188,-0.37009357155
ACH-000189,-0.195535964427
ACH-000190,-0.586514950155
ACH-000198,-0.23150253248599997
ACH-000204,-0.6732650621610001
ACH-000206,-0.10443952255000001
ACH-000207,-0.48757160632200003
ACH-000211,-0.23605157328499998
ACH-000215,-0.287524023426
ACH-000221,-0.275832109005
ACH-000222,-0.17557884490800002
ACH-000223,-0.224062275735
ACH-000226,-0.216563559369
ACH-000227,-0.23294746611499997
ACH-000228,-0.12749886545999997
ACH-000231,-0.275113295217
ACH-000232,-0.210823962947
ACH-000233,-0.274680459285
ACH-000234,-0.475765263437
ACH-000235,-0.211086649983
ACH-000237,-0.343685080092
ACH-000238,-0.410588794134
ACH-000243,-0.21320472236699997
ACH-000244,-0.183138147775
ACH-000246,-0.20476005429299998
ACH-000248,-0.049369978837800005
ACH-000250,-0.284895390901
ACH-000251,0.0674788454187
ACH-000253,-0.182148115926
ACH-000255,-0.313537718136
ACH-000256,-0.42489821991
ACH-000257,-0.411367059054
ACH-000258,-0.19868586484499998
ACH-000259,-0.21930228390999998
ACH-000260,-0.299887027894
ACH-000261,-0.24840135989599998
ACH-000262,-0.25568488906
ACH-000263,-0.503972715963
ACH-000264,-0.258962268101
ACH-000265,-0.260314994515
ACH-000266,-0.32784317816999997
ACH-000272,-0.368750239631
ACH-000273,-0.19518475208299998
ACH-000274,-0.330651080399
ACH-000277,-0.285007366687
ACH-000278,-0.27024372313
ACH-000279,-0.188724942737
ACH-000280,-0.26013945282400003
ACH-000281,-0.389721252593
ACH-000288,-0.474914014385
ACH-000291,-0.233222139839
ACH-000293,-0.325762351036
ACH-000294,-0.217398138378
ACH-000295,-0.148446636444
ACH-000296,-0.404474317662
ACH-000302,-0.5336736278190001
ACH-000304,-0.20221267819299998
ACH-000307,-0.26328065466
ACH-000308,-0.268824475973
ACH-000310,-0.11987246427100001
ACH-000311,-0.110023027949
ACH-000312,-0.611328854544
ACH-000315,-0.250062863105
ACH-000316,-0.310874141272
ACH-000317,-0.246516054657
ACH-000318,-0.13508752423599998
ACH-000319,-0.31282156960499996
ACH-000320,-0.46515468427
ACH-000322,-0.21503201817899997
ACH-000323,-0.276638730812
ACH-000324,-0.251164118159
ACH-000329,-0.44546569167800004
ACH-000330,-0.324728678743
ACH-000331,-0.17251000115899998
ACH-000332,-0.283314714916
ACH-000334,-0.400322131167
ACH-000335,-0.275503465326
ACH-000336,-0.509383157817
ACH-000337,-0.33693250141500003
ACH-000339,-0.174113737557
ACH-000341,-0.26776290858199997
ACH-000348,-0.343721195121
ACH-000350,-0.35179091432
ACH-000352,-0.22004020316700001
ACH-000356,-0.12722147945999998
ACH-000361,-0.14315442949
ACH-000362,-0.115077994189
ACH-000363,-0.20112342336199998
ACH-000364,-0.22557691281599998
ACH-000365,-0.300783712102
ACH-000366,-0.291317953823
ACH-000368,-0.367071340626
ACH-000374,-0.361620672756
ACH-000375,-0.23055559980300003
ACH-000376,-0.33903224397200005
ACH-000381,-0.178278855663
ACH-000383,-0.19901761514199998
ACH-000387,-0.263571381038
ACH-000389,-0.18801210161499998
ACH-000390,-0.178394684841
ACH-000393,-0.417564467139
ACH-000395,-0.631684813398
ACH-000397,-0.158625859655
ACH-000401,-0.000854899365914
ACH-000402,-0.270973167248
ACH-000403,-0.274259416191
ACH-000404,0.049210716960800004
ACH-000406,-0.261187793603
ACH-000407,-0.273531513079
ACH-000408,-0.26002978778999997
ACH-000410,-0.169362727525
ACH-000411,-0.173967702903
ACH-000414,-0.317274184856
