,CFB (629)
ACH-000004,-0.350603729248
ACH-000007,-0.0830552822477
ACH-000009,-0.324508645474
ACH-000011,-0.16808371525600002
ACH-000012,-0.157077190592
ACH-000013,-0.265008705969
ACH-000014,-0.481202744237
ACH-000015,-0.14771099057700002
ACH-000017,-0.464288627661
ACH-000018,-0.540502161184
ACH-000019,-0.2692911477
ACH-000021,-0.26376857840100004
ACH-000022,-0.138248938584
ACH-000025,-0.38929497641599997
ACH-000028,-0.055538281547999994
ACH-000030,-0.354756989528
ACH-000035,-0.358276317898
ACH-000036,-0.282834893022
ACH-000037,-0.159237410923
ACH-000039,-0.47020234316299997
ACH-000040,-0.198074709557
ACH-000041,-0.18665352780299999
ACH-000042,-0.17214042348499997
ACH-000045,-0.32065248940499996
ACH-000047,-0.21104383487199999
ACH-000052,-0.305757949914
ACH-000053,-0.354850331528
ACH-000054,-0.343815240985
ACH-000055,-0.305295235401
ACH-000060,-0.553857170142
ACH-000067,-0.394345539102
ACH-000070,-0.286259250329
ACH-000075,-0.295348689325
ACH-000078,-0.421120762782
ACH-000082,-0.44068910712
ACH-000085,-0.5091383060279999
ACH-000086,-0.22321258385499998
ACH-000087,-0.663222394477
ACH-000092,-0.263319182905
ACH-000095,-0.33648587626800003
ACH-000097,-0.325745864476
ACH-000098,-0.300486647811
ACH-000099,-0.149006403689
ACH-000108,-0.200903226435
ACH-000113,-0.40324704038900006
ACH-000115,-0.625385467933
ACH-000116,-0.26326711932700003
ACH-000118,-0.233686649207
ACH-000120,-0.30982394750500003
ACH-000123,-0.220874087091
ACH-000127,-0.314528561109
ACH-000128,-0.489705054426
ACH-000132,-0.287271341286
ACH-000133,-0.366674601984
ACH-000137,-0.0411170604861
ACH-000138,-0.239771358922
ACH-000142,-0.352528254628
ACH-000143,-0.14970803382
ACH-000146,-0.478395440604
ACH-000148,-0.165291244801
ACH-000150,-0.34922549743000003
ACH-000152,-0.35718295975599995
ACH-000153,-0.470689737543
ACH-000159,-0.182761230704
ACH-000160,-0.371794647801
ACH-000163,-0.0800951756492
ACH-000167,-0.295649373544
ACH-000168,-0.266976612475
ACH-000169,-0.34085505514799996
ACH-000178,-0.114017017573
ACH-000182,-0.309472612932
ACH-000183,-0.363031870247
ACH-000188,-0.30914716176999996
ACH-000189,-0.16366034243799998
ACH-000190,-0.493123277018
ACH-000198,-0.37984729363700004
ACH-000204,-0.351914608997
ACH-000206,-0.37750761975999997
ACH-000207,-0.202095039149
ACH-000211,-0.24712751555799997
ACH-000215,-0.299150288251
ACH-000221,-0.262395676964
ACH-000222,-0.246655025409
ACH-000223,-0.39485272201800004
ACH-000226,-0.318855204853
ACH-000227,-0.336230181532
ACH-000228,-0.307301187799
ACH-000231,-0.37969478290799996
ACH-000232,-0.374781405862
ACH-000233,-0.369605202358
ACH-000234,-0.19949827972399997
ACH-000235,-0.254464779556
