,EPT1 (85465)
ACH-000004,-0.121998357448
ACH-000007,-0.270363024955
ACH-000009,-0.157337163299
ACH-000011,-0.010798986041999999
ACH-000012,-0.150825766512
ACH-000013,-0.0507627410544
ACH-000014,-0.045805188042000004
ACH-000015,-0.194754963057
ACH-000017,-0.017528711552
ACH-000018,-0.308913378425
ACH-000019,-0.209327296331
ACH-000021,-0.36300532269100005
ACH-000022,-0.162788904396
ACH-000025,-0.177727265484
ACH-000028,0.131884133552
ACH-000030,-0.284129391919
ACH-000035,-0.0686553701152
ACH-000036,-0.0728236295864
ACH-000037,0.158933426057
ACH-000039,-0.101983209696
ACH-000040,0.183282391664
ACH-000041,0.036376657815400004
ACH-000042,-0.259375118892
ACH-000045,0.45026252946500006
ACH-000047,-0.0771683504644
ACH-000052,-0.09139837954600001
ACH-000053,-0.371581992501
ACH-000054,-0.204811178875
ACH-000055,0.0713992239398
ACH-000060,0.165763430072
ACH-000067,-0.0725570630091
ACH-000070,-0.434842472705
ACH-000075,-0.23712591388700002
ACH-000078,-0.042020922410500004
ACH-000082,0.115335725286
ACH-000085,0.0410538522892
ACH-000086,-0.350737297012
ACH-000087,0.147376397407
ACH-000092,-0.38300158381300003
ACH-000095,0.131213338529
ACH-000097,-0.0650560109756
ACH-000098,0.534788778881
ACH-000099,-0.0313515869201
ACH-000108,-0.10026945075799999
ACH-000113,0.0373884468441
ACH-000115,-0.268794416905
ACH-000116,-0.195380557274
ACH-000118,-0.16972840536699998
ACH-000120,0.11687389609099999
ACH-000123,-0.264359994864
ACH-000127,-0.466839345023
ACH-000128,-0.19266341932199998
ACH-000132,0.12780885710200002
ACH-000133,-0.16845658590999998
ACH-000137,-0.0451828024979
ACH-000138,-0.11211197933900001
ACH-000142,-0.15115997629
ACH-000143,-0.28945989980500003
ACH-000146,-0.378652545128
ACH-000148,-0.045101018092
ACH-000150,-0.0305408061945
ACH-000152,-0.132633047046
ACH-000153,-0.13468744506
ACH-000159,-0.057312463116199995
ACH-000160,-0.132078129184
ACH-000163,-0.21464053349599999
ACH-000167,-0.49406670288099996
ACH-000168,-0.220438240705
ACH-000169,-0.549226555487
ACH-000178,-0.141818155458
ACH-000182,0.09671425393269999
ACH-000183,-0.335607994054
ACH-000188,0.0105442308162
ACH-000189,-0.04970335039419999
ACH-000190,-0.6197672443159999
ACH-000198,0.110371149517
ACH-000204,0.019461798476599998
ACH-000206,-0.129183207494
ACH-000207,-0.015409593237900001
ACH-000211,-0.288041495519
ACH-000215,0.09189352355830001
ACH-000221,-0.190275965564
ACH-000222,-0.32109291583
ACH-000223,0.025189431843099998
ACH-000226,-0.0661855104709
ACH-000227,-0.213584718041
ACH-000228,-0.184492567769
ACH-000231,-0.0572381276951
ACH-000232,0.0182612239034
ACH-000233,-0.263261497564
ACH-000234,-0.0891456183316
ACH-000235,0.024873734152099997
ACH-000237,-0.194399821671
ACH-000238,-0.302613492669
ACH-000243,-0.255566961832
ACH-000244,0.17517335721000002
ACH-000246,0.130078685241
ACH-000248,-0.328010591245
ACH-000250,-0.0076357161493799995
ACH-000251,0.17418375894000002
ACH-000253,-0.0381209803782
ACH-000255,-0.32671792676
ACH-000256,0.075003823339
ACH-000257,-0.144847466794
ACH-000258,-0.524276663926
ACH-000259,-0.0109878520552
ACH-000260,0.344917474931
ACH-000261,-0.10566140260500001
ACH-000262,-0.09150189840189998
ACH-000263,-0.42110242119099994
ACH-000264,-0.130400456554
ACH-000265,-0.216955746364
ACH-000266,-0.136963814013
ACH-000272,-0.325676347324
ACH-000273,-0.314679756996
ACH-000274,0.0112075985517
ACH-000277,-0.327852074215
ACH-000278,-0.106898975007
ACH-000279,-0.270046705464
ACH-000280,-0.0758118989801
ACH-000281,-0.419645908504
ACH-000288,-0.19635621320500002
