,FOXC2 (2303)
ACH-000004,-0.450252632825
ACH-000007,-0.43183872788500005
ACH-000009,-0.356030328055
ACH-000011,-0.559270691779
ACH-000012,-0.43785934041999997
ACH-000013,-0.391858041961
ACH-000014,-0.599790566858
ACH-000015,-0.299573166866
ACH-000017,-0.39663235899099997
ACH-000018,-0.46462749483800003
ACH-000019,-0.24697307847199998
ACH-000021,-0.377757330553
ACH-000022,-0.34021497318099997
ACH-000025,-0.62587736543
ACH-000028,-0.201597601023
ACH-000030,-0.381093499728
ACH-000035,-0.205032628765
ACH-000036,-0.581657901094
ACH-000037,-0.360294139196
ACH-000039,-0.257969246433
ACH-000040,-0.7336713746819999
ACH-000041,-0.329894428434
ACH-000042,-0.42893681596100003
ACH-000045,-0.20216578559300002
ACH-000047,-0.0824362875786
ACH-000052,-0.462735577041
ACH-000053,-0.250081457271
ACH-000054,-0.6973034498810001
ACH-000055,-0.014327598907899999
ACH-000060,-0.463343423117
ACH-000067,-0.158529965495
ACH-000070,-0.605499379429
ACH-000075,-0.181291913894
ACH-000078,-0.300538168727
ACH-000082,-1.20284336384
ACH-000085,-0.431108678662
ACH-000086,-0.22047244528
ACH-000087,-0.00694109871345
ACH-000092,-0.376405615435
ACH-000095,-0.451032471161
ACH-000097,-0.37237879479900005
ACH-000098,-1.08364849674
ACH-000099,-0.295068012081
ACH-000108,-0.200311327716
ACH-000113,-0.38989648983999997
ACH-000115,-0.171960607942
ACH-000116,-0.38015534055399997
ACH-000118,-0.284920445164
ACH-000120,-0.33489299512299997
ACH-000123,-0.38048997014700003
ACH-000127,-0.501567427765
ACH-000128,-0.231414902033
ACH-000132,-0.288615631134
ACH-000133,-0.492346013024
ACH-000137,-0.469954966798
ACH-000138,-0.45087706633900004
ACH-000142,-0.514583515899
ACH-000143,-0.2975663275
ACH-000146,-0.405958604819
ACH-000148,-0.78123251449
ACH-000150,-0.279972754037
ACH-000152,-0.6046788910600001
ACH-000153,-0.320176192619
ACH-000159,-0.288775353183
ACH-000160,-0.239417999553
ACH-000163,-1.0934684564
ACH-000167,-0.325550955658
ACH-000168,-0.34583021037699996
ACH-000169,-0.328511199049
ACH-000178,-0.338586762895
ACH-000182,-0.299162785223
ACH-000183,-0.530330164018
ACH-000188,-0.16825740664
ACH-000189,-0.485773912545
ACH-000190,-0.500616211156
ACH-000198,-0.389116758527
ACH-000204,-0.11386379750600001
ACH-000206,-0.259601380589
ACH-000207,-0.31813127437100003
ACH-000211,-0.394833031783
ACH-000215,-0.262013423485
ACH-000221,-0.254891009437
ACH-000222,-0.2920459944
ACH-000223,-0.296138464582
ACH-000226,-0.223143643937
ACH-000227,-0.5618030835450001
ACH-000228,-0.269080159556
ACH-000231,-0.254758279917
ACH-000232,-0.6219414543289999
ACH-000233,-0.440862909133
ACH-000234,-0.597457270318
ACH-000235,-0.37979446545100004
ACH-000237,-0.45692752702600004
ACH-000238,-0.387329041137
ACH-000243,-0.21171319084399998
ACH-000244,-0.947952014251
ACH-000246,-0.382674517873
ACH-000248,-0.46083475645800004
ACH-000250,-0.473682754049
ACH-000251,-0.643740220158
ACH-000253,-0.32706146414500004
ACH-000255,-0.499118498281
ACH-000256,-0.439257302417
ACH-000257,-0.423315447249
ACH-000258,-0.454847670525
ACH-000259,-0.38241120058399997
ACH-000260,-0.263521817813
ACH-000261,-0.33704866531499994
ACH-000262,-0.10407568189500001
ACH-000263,-0.060432165677300004
ACH-000264,-0.388190728624
ACH-000265,-0.210200921375
ACH-000266,-0.325409294118
ACH-000272,-0.36813957738499997
ACH-000273,-0.5053757961990001
ACH-000274,-1.0053709841299998
ACH-000277,-0.456665164142
ACH-000278,-0.243036818017
ACH-000279,-0.41452182049999997
ACH-000280,-0.30962432313
ACH-000281,-0.533470439586
ACH-000288,-0.42533014753700005
ACH-000291,-0.256434000864
ACH-000293,-0.25043358326299997
ACH-000294,-0.35398999309100004
ACH-000295,-0.39999619941799996
ACH-000296,-0.032370203582900006
ACH-000302,-0.243588447722
ACH-000304,-0.148315429679
ACH-000307,-0.440935536245
ACH-000308,-0.384031291453
ACH-000310,-0.443250430228
ACH-000311,-0.323994408381
ACH-000312,-0.367084491131
ACH-000315,-0.461583778582
ACH-000316,-0.314984244493
ACH-000317,-0.18874520820799998
ACH-000318,-0.244428194419
ACH-000319,-0.516941169284
ACH-000320,-0.37366551472599996
ACH-000322,-0.321689554182
ACH-000323,-0.339669664564
ACH-000324,-0.312166758166
ACH-000329,-0.27595040904
ACH-000330,-0.0433855980557
ACH-000331,-0.428646874503
ACH-000332,-0.320649647843
ACH-000334,-0.311645646539
ACH-000335,-0.259337849364
ACH-000336,-0.226731632993
ACH-000337,-0.369358592245
ACH-000339,-0.33315024238
ACH-000341,-0.5658714111209999
ACH-000348,-0.432992049757
ACH-000350,-0.524691030325
ACH-000352,-0.579590499667
ACH-000356,-0.6865145326629999
ACH-000361,-0.407374203355
ACH-000362,-0.348549629203
ACH-000363,-0.371861040974
ACH-000364,-0.408974615277
ACH-000365,-0.422840953025
ACH-000366,-0.350728241679
ACH-000368,-0.334696178874
ACH-000374,-0.328475590137
ACH-000375,-0.211328288142
ACH-000376,-0.297141987178
ACH-000381,-0.149112774275
ACH-000383,-0.735515820338
ACH-000387,-0.259517501664
ACH-000389,-0.304558360552
ACH-000390,-0.266254120693
ACH-000393,-0.651030300072
ACH-000395,-0.42421363084200003
ACH-000397,-0.394964407895
ACH-000401,-0.41415498733999995
ACH-000402,-0.519942766195
ACH-000403,-0.42373652025499997
ACH-000404,-0.251151556032
ACH-000406,-0.315327938928
ACH-000407,-0.582169496952
ACH-000408,-0.368000191146
ACH-000410,-0.124709468111
ACH-000411,-0.641726293166
ACH-000414,-0.592330893216
ACH-000415,-0.09002936937989998
ACH-000416,-0.559492687767
ACH-000420,-0.644258543665
ACH-000421,-0.40275330579999996
ACH-000424,0.0171788298441
ACH-000425,-0.323837985294
ACH-000426,-0.306421693906
ACH-000427,-0.35360112102700003
ACH-000433,-0.39544015002899996
ACH-000436,-0.349666491857
ACH-000444,-0.506292826722
ACH-000445,-0.36176532897299996
ACH-000448,-0.428023279649
ACH-000450,-0.408247169868
ACH-000452,-0.275085753591
ACH-000454,-0.281004367057
ACH-000458,-0.378042777011
ACH-000459,-0.08359549784300001
ACH-000460,-0.0153564862016
ACH-000461,-0.23882401141399998
ACH-000463,-0.276829729235
ACH-000464,-1.25717807467
ACH-000466,-0.550738842955
ACH-000467,-0.44734697625200004
ACH-000468,-0.356414095351
ACH-000469,-0.703398470917
ACH-000470,-0.453050980173
ACH-000471,-0.35468189561499996
ACH-000472,-0.427788571604
ACH-000473,-0.42495646927299996
ACH-000475,-0.417344239593
ACH-000476,-0.972710175017
ACH-000477,-0.271713813629
ACH-000480,-0.021587630478500004
ACH-000481,-0.341742327924
ACH-000483,-0.265261083036
ACH-000484,-0.73718886579
ACH-000485,-0.445733617887
ACH-000486,-0.344632910042
ACH-000487,-0.345044233789
ACH-000488,-0.279772701147
ACH-000490,-0.415144580965
ACH-000491,-0.347533021294
ACH-000495,0.0152619802654
ACH-000496,-0.359089106163
ACH-000499,0.0445601215422
ACH-000500,-0.456048577417
ACH-000502,-0.5243323551269999
ACH-000503,-0.31193107080800003
ACH-000505,-0.56816489047
ACH-000507,-0.350914219811
ACH-000510,-0.378792394105
ACH-000511,-0.393002779907
ACH-000512,-0.23764556388099997
ACH-000516,-0.109904288258
ACH-000517,-0.28596739902
ACH-000518,-0.470801577407
ACH-000520,-0.348778007791
ACH-000521,-0.30278537773
ACH-000522,-0.568631252721
ACH-000524,-0.260753220604
ACH-000527,-0.283058158018
ACH-000528,-0.263601798077
ACH-000537,-0.320202791423
ACH-000541,-0.087406849721
ACH-000542,-0.488792657141
ACH-000544,-0.43645940158200003
ACH-000545,-0.462908217872
ACH-000547,-0.257301082287
ACH-000548,-0.44430378119900005
ACH-000549,-0.26787182908199997
ACH-000550,-0.060888500330099994
ACH-000552,-0.32972784887
ACH-000556,-0.327523697899
ACH-000557,-0.451627515153
ACH-000570,-0.34623660698
ACH-000571,-0.48412402108499997
ACH-000573,-0.29688936059099996
ACH-000576,-0.293907588933
ACH-000580,-0.305775104026
ACH-000584,-0.401723820406
ACH-000585,-0.0655175800008
ACH-000588,-0.33390580019
ACH-000589,-0.26296934261300003
ACH-000591,-0.261735244468
ACH-000593,-0.666069772971
ACH-000600,-0.09495092117789998
ACH-000601,-0.384183736837
ACH-000604,-0.16480655939000002
ACH-000605,-0.313474989006
ACH-000606,-0.256751394797
ACH-000608,-0.455350562016
ACH-000614,-0.426806996537
ACH-000616,-0.605953671843
ACH-000618,-0.36714649155699997
ACH-000619,-0.454826515554
ACH-000620,-0.21751350333099997
ACH-000621,-0.105998282635
ACH-000622,-0.398910926923
ACH-000623,-0.297270218697
ACH-000624,-0.47010946728
ACH-000627,-0.262125148366
ACH-000630,-0.494987538655
ACH-000632,-0.437453313287
ACH-000633,-0.35318734345799996
ACH-000637,-0.24414510421500002
ACH-000638,-0.342539854291
ACH-000646,-0.0130097184211
ACH-000647,-0.444210821073
ACH-000648,-0.04393841857530001
ACH-000649,-0.31368115525400003
ACH-000651,-0.286670396634
ACH-000652,-0.334351035178
ACH-000653,-0.282819967297
ACH-000657,-0.33749375634400003
ACH-000658,-0.491451835235
ACH-000661,-0.414619902047
ACH-000662,-0.372830342187
ACH-000663,-0.189176149718
ACH-000665,-0.237977718449
ACH-000671,-0.12300055841299999
ACH-000673,-0.33638761497
ACH-000676,-0.199743575083
ACH-000677,-0.127954200854
ACH-000681,-0.166840417908
ACH-000682,-0.233192780548
ACH-000683,-0.438344106731
ACH-000684,-0.137587054245
ACH-000688,-0.5202160700840001
ACH-000693,-0.35025721334
ACH-000694,-0.367402009767
ACH-000695,-0.34444225565700004
ACH-000696,-0.418356400465
ACH-000697,-0.233575412441
ACH-000699,-0.47519358163500003
ACH-000701,-0.578265796649
ACH-000706,-0.205703312143
ACH-000711,-0.38912233670199997
ACH-000713,-0.264021203994
ACH-000714,-0.529715833856
ACH-000718,-0.43429224184500004
ACH-000720,-0.35712870593
ACH-000721,-0.273225550459
ACH-000724,-0.409673310889
ACH-000725,-0.485328277959
ACH-000732,-0.37542605941600005
ACH-000734,-0.272526042965
ACH-000735,-0.40114314818999997
ACH-000736,-0.500678796933
ACH-000738,-0.34301640058300004
ACH-000746,-0.17819711668699997
ACH-000747,-0.30107088434900003
ACH-000748,-0.341932116246
ACH-000753,-0.37815208516599996
ACH-000756,-0.221059788056
ACH-000757,-0.354849634829
ACH-000758,-0.40085087034199995
ACH-000760,-0.395114790954
ACH-000763,-0.43566468684799997
ACH-000764,-0.223059930503
ACH-000765,-0.326846432482
ACH-000766,-0.420388962152
ACH-000767,-0.5117886069259999
ACH-000768,-0.36505496531599996
ACH-000769,-0.154037962547
ACH-000770,-0.33645297017
ACH-000771,-0.314130291374
ACH-000773,-0.260147568101
ACH-000776,-0.8439505981700001
ACH-000777,-0.203876595843
ACH-000778,-0.391426354442
ACH-000781,-0.256632226167
ACH-000782,-0.493332682353
ACH-000783,-0.634169228858
ACH-000784,-0.26400508062100003
ACH-000785,-0.425559533395
ACH-000787,-0.217272517225
ACH-000788,-0.354116786118
ACH-000791,-0.17577856654399998
ACH-000792,-0.441632569484
ACH-000794,-0.160302213849
ACH-000796,-0.31718910450300003
