,MYL3 (4634)
ACH-000004,-0.37824671062200005
ACH-000007,-0.0432530105992
ACH-000009,-0.272267826163
ACH-000011,-0.0762624078956
ACH-000012,-0.397250962005
ACH-000013,-0.17486557752999998
ACH-000014,-0.07620164274060001
ACH-000015,-0.36518677303400005
ACH-000017,-0.18866733388300003
ACH-000018,-0.315921161023
ACH-000019,-0.2061014057
ACH-000021,-0.277732940731
ACH-000022,-0.22970327453699999
ACH-000025,-0.356743044284
ACH-000028,-0.303222552257
ACH-000030,-0.31876397464899997
ACH-000035,-0.236631080407
ACH-000036,-0.214284147666
ACH-000037,-0.155735001843
ACH-000039,-0.170177935405
ACH-000040,-0.117387902777
ACH-000041,-0.16170018000800002
ACH-000042,-0.383400843
ACH-000045,-0.273766202567
ACH-000047,-0.10041386067
ACH-000052,-0.148099174622
ACH-000053,-0.225637771609
ACH-000054,-0.10090805368599999
ACH-000055,-0.280928140688
ACH-000060,-0.20941218202
ACH-000067,-0.24330358336999997
ACH-000070,-0.21444171714699997
ACH-000075,-0.543089144986
ACH-000078,-0.0338453204855
ACH-000082,-0.21527505463899999
ACH-000085,-0.07377707698639999
ACH-000086,-0.222770886358
ACH-000087,-0.11857447774499999
ACH-000092,-0.13948394784499998
ACH-000095,-0.237130802447
ACH-000097,-0.160082994266
ACH-000098,-0.174555820623
ACH-000099,-0.199696872661
ACH-000108,-0.443529842998
ACH-000113,-0.10661888451300001
ACH-000115,-0.229151997565
ACH-000116,-0.319846224954
ACH-000118,-0.39033493347
ACH-000120,-0.0709659901158
ACH-000123,-0.19211341513099997
ACH-000127,-0.300247593873
ACH-000128,-0.275658031513
ACH-000132,-0.0992402917319
ACH-000133,-0.222848461327
ACH-000137,0.018851672397200002
ACH-000138,-0.203816799955
ACH-000142,-0.22070497796100003
ACH-000143,-0.214249786361
ACH-000146,-0.24429645631400002
ACH-000148,-0.153275940199
ACH-000150,-0.34270719509
ACH-000152,-0.269124911481
ACH-000153,-0.508509770959
ACH-000159,-0.24091901371999996
ACH-000160,-0.17684077743
ACH-000163,-0.14919264472000002
ACH-000167,-0.17099047487799998
ACH-000168,-0.147943646037
ACH-000169,-0.182753834479
ACH-000178,-0.164629728742
ACH-000182,-0.0731337270608
ACH-000183,-0.227782182812
ACH-000188,-0.262810078396
ACH-000189,-0.228337223011
ACH-000190,-0.119669005848
ACH-000198,-0.26631400185
ACH-000204,-0.323194119486
ACH-000206,-0.3001764102
ACH-000207,-0.492487818521
ACH-000211,-0.269739458309
ACH-000215,-0.0931737063715
ACH-000221,-0.385377982321
ACH-000222,-0.42564424131300005
ACH-000223,-0.103399281847
ACH-000226,-0.30895551184000003
ACH-000227,-0.364817908361
ACH-000228,-0.108472697194
ACH-000231,-0.268132437141
ACH-000232,-0.158122781365
ACH-000233,-0.407799987803
ACH-000234,-0.36502178646600003
ACH-000235,-0.21748894145599998
ACH-000237,-0.104907753434
ACH-000238,-0.244580483862
ACH-000243,-0.203546094467
ACH-000244,-0.11303858428300001
ACH-000246,-0.322142052909
ACH-000248,-0.225342195947
ACH-000250,-0.285301905965
ACH-000251,0.20354358407099998
ACH-000253,-0.265747765254
ACH-000255,-0.416519418045
ACH-000256,-0.323000058018
ACH-000257,-0.25904087396200004
ACH-000258,-0.198490049576
ACH-000259,-0.29110346742
ACH-000260,-0.190306545921
ACH-000261,-0.057219633378
ACH-000262,-0.213942068872
ACH-000263,-0.449883263922
ACH-000264,-0.145306270618
ACH-000265,-0.294912112053
ACH-000266,-0.21426326024999998
ACH-000272,-0.27287252160500003
ACH-000273,-0.283289738242
ACH-000274,-0.331689480075
ACH-000277,-0.111266461239
ACH-000278,-0.29304477711800003
ACH-000279,-0.287022168394
ACH-000280,-0.315865045791
ACH-000281,-0.529617306562
ACH-000288,-0.131722055097
ACH-000291,-0.0925458691174
ACH-000293,-0.0967740574066
ACH-000294,-0.38384411261600004
ACH-000295,-0.32217308155200003
ACH-000296,-0.220609688058
ACH-000302,-0.177905382599
ACH-000304,-0.204177528147
ACH-000307,-0.43455635567699996
ACH-000308,-0.173179615073
ACH-000310,-0.164625443864
ACH-000311,-0.232286923828
ACH-000312,-0.061136650414
ACH-000315,-0.538247683922
ACH-000316,-0.116702107752
ACH-000317,-0.18349554753400002
ACH-000318,0.0285163968997
ACH-000319,-0.099785621763
ACH-000320,-0.43780457997
ACH-000322,-0.075303847401
ACH-000323,-0.208262609881
ACH-000324,-0.21572950292800003
ACH-000329,-0.24952471491099998
ACH-000330,-0.180776567065
ACH-000331,-0.0040283689305700005
ACH-000332,-0.223568487682
ACH-000334,-0.0154168839316
ACH-000335,-0.256269895768
ACH-000336,-0.0271765536327
ACH-000337,-0.305697019344
ACH-000339,-0.27070813754
ACH-000341,-0.217525592446
ACH-000348,-0.147604989687
ACH-000350,-0.0732921602098
ACH-000352,-0.14572306453199999
ACH-000356,-0.100531940026
ACH-000361,-0.324197217248
ACH-000362,-0.24697607919300002
ACH-000363,-0.225642466451
ACH-000364,-0.163764989536
ACH-000365,-0.33980090214500003
ACH-000366,-0.275183159744
ACH-000368,-0.20067682807999998
ACH-000374,-0.191799589111
ACH-000375,-0.141361365472
ACH-000376,-0.33748926923199996
ACH-000381,-0.233652766832
ACH-000383,-0.18561008403700002
ACH-000387,-0.293292233489
ACH-000389,-0.235778868998
ACH-000390,-0.191348046796
ACH-000393,-0.333204614247
ACH-000395,-0.0905784024462
ACH-000397,-0.195890636843
ACH-000401,-0.313646456234
ACH-000402,-0.485243410699
ACH-000403,-0.0878290976141
ACH-000404,-0.33584997923199994
ACH-000406,-0.250907953244
ACH-000407,-0.326970888963
ACH-000408,-0.407359561478
ACH-000410,-0.152007130536
ACH-000411,-0.151984738604
ACH-000414,-0.221893880297
ACH-000415,-0.252400701939
ACH-000416,-0.256134934381
ACH-000420,-0.306326693066
ACH-000421,-0.197428632557
ACH-000424,0.20117093414700002
ACH-000425,-0.115191791032
ACH-000426,-0.388399361068
ACH-000427,-0.0015984372117
ACH-000433,-0.292164085042
ACH-000436,-0.513905314792
ACH-000444,-0.270096228994
ACH-000445,-0.153430220902
ACH-000448,-0.274980458147
ACH-000450,-0.483426370393
ACH-000452,-0.285387364762
ACH-000454,-0.40427821404700004
ACH-000458,-0.233549411176
ACH-000459,-0.22765237048300002
ACH-000460,-0.165729305212
ACH-000461,-0.0822331115279
ACH-000463,-0.08380286530060001
ACH-000464,-0.0863883159262
ACH-000466,-0.298444000206
ACH-000467,-0.18379748441100002
ACH-000468,-0.304452696923
ACH-000469,-0.282381198274
ACH-000470,-0.0965305201431
ACH-000471,-0.182294799507
ACH-000472,-0.24255663115899997
ACH-000473,-0.297859372864
ACH-000475,-0.30059695001200004
ACH-000476,-0.152768370262
ACH-000477,-0.159489441065
ACH-000480,-0.186884365979
ACH-000481,-0.174869038175
ACH-000483,-0.132594863312
ACH-000484,-0.272663224173
ACH-000485,-0.377485633884
ACH-000486,-0.134706231663
ACH-000487,-0.153090690753
ACH-000488,-0.197152043767
ACH-000490,-0.185309327823
ACH-000491,-0.247489373012
ACH-000495,-0.34713654484800005
ACH-000496,-0.189169452939
ACH-000499,-0.445886254128
ACH-000500,-0.220442973464
ACH-000502,-0.204130684504
ACH-000503,-0.35866056112499994
ACH-000505,-0.22342457206
ACH-000507,-0.200475109548
ACH-000510,-0.28640307406300003
ACH-000511,-0.12553494604499998
ACH-000512,-0.311285168189
ACH-000516,-0.14029767332100002
ACH-000517,-0.198880218954
ACH-000518,-0.19417516984799998
ACH-000520,-0.16709788977099999
ACH-000521,-0.021788044427799996
ACH-000522,-0.188781961226
ACH-000524,-0.268370276673
ACH-000527,-0.232332693277
ACH-000528,-0.304105873197
ACH-000537,-0.200112447113
ACH-000541,-0.42810724583800003
ACH-000542,-0.170447255275
ACH-000544,-0.28908596811
ACH-000545,-0.32652736673599997
ACH-000547,-0.344711422511
ACH-000548,-0.405820243714
ACH-000549,-0.300060677643
ACH-000550,-0.37000919043200003
ACH-000552,-0.18950449904199998
ACH-000556,-0.309862770522
ACH-000557,-0.256757723358
ACH-000570,-0.258734539192
ACH-000571,0.0117936163588
ACH-000573,-0.11305452845200001
ACH-000576,-0.123127313828
ACH-000580,-0.021936579497199998
ACH-000584,-0.333530221801
ACH-000585,-0.121643963713
ACH-000588,-0.277826989164
ACH-000589,-0.302531992949
ACH-000591,0.013646930636200002
ACH-000593,-0.360178843383
ACH-000600,-0.246182011433
ACH-000601,-0.183207695825
ACH-000604,-0.21461886339699998
ACH-000605,-0.351967566733
ACH-000606,-0.073505699257
ACH-000608,-0.344424463674
ACH-000614,-0.251199058009
ACH-000616,-0.144048216479
ACH-000618,-0.08977795700670001
ACH-000619,-0.295774046818
ACH-000620,-0.288012312727
ACH-000621,-0.181254088207
ACH-000622,-0.204084741941
ACH-000623,-0.0524623274097
ACH-000624,-0.366107134484
ACH-000627,-0.488838305893
ACH-000630,-0.16595296462
ACH-000632,-0.171058926241
ACH-000633,-0.32443784075599996
ACH-000637,-0.0371597751455
ACH-000638,-0.128620834943
ACH-000646,0.038423658398
ACH-000647,-0.130739251268
ACH-000648,-0.183808299093
ACH-000649,-0.167345259037
ACH-000651,-0.3164269372
ACH-000652,-0.721851977492
ACH-000653,-0.252744187395
ACH-000657,-0.26764862491700003
ACH-000658,-0.42313269781900004
ACH-000661,-0.029141071007300002
ACH-000662,-0.146805295452
ACH-000663,-0.297363724432
ACH-000665,-0.16890846223499997
ACH-000671,-0.19652703478300002
ACH-000673,-0.166358323786
ACH-000676,-0.233251978288
ACH-000677,-0.289461568297
ACH-000681,-0.211540968365
ACH-000682,-0.224284742061
ACH-000683,-0.259842433942
ACH-000684,-0.127254447804
ACH-000688,-0.019903192481900003
ACH-000693,-0.40032426712200003
ACH-000694,-0.229500515843
ACH-000695,0.00758734528819
ACH-000696,-0.180324703664
ACH-000697,-0.24563234706300002
ACH-000699,-0.221197084998
ACH-000701,-0.184297555909
ACH-000706,-0.362211999288
ACH-000711,-0.237326924747
ACH-000713,-0.338603089463
ACH-000714,-0.0131388395921
ACH-000718,-0.373856309274
ACH-000720,-0.198368768592
ACH-000721,-0.199536443634
ACH-000724,-0.31380070024900003
ACH-000725,-0.0619484413914
ACH-000732,-0.22979651654199998
ACH-000734,-0.244342657461
ACH-000735,-0.202170746594
ACH-000736,-0.280373585443
ACH-000738,-0.363433575145
ACH-000746,-0.117583666703
ACH-000747,-0.047640244603900005
ACH-000748,-0.288777738789
ACH-000753,-0.23025054070999998
ACH-000756,-0.384578195016
ACH-000757,-0.09634145475269999
ACH-000758,-0.112118644223
ACH-000760,-0.214036452824
ACH-000763,-0.37144807685900005
ACH-000764,-0.161812617791
ACH-000765,-0.169350579577
ACH-000766,-0.18419260230700002
ACH-000767,-0.128518056738
ACH-000768,-0.331774170296
ACH-000769,-0.205386006946
ACH-000770,-0.187068288007
ACH-000771,-0.207129088725
ACH-000773,-0.371694237693
ACH-000776,-0.33992178615900004
ACH-000777,-0.150916750586
ACH-000778,-0.44337910345299997
ACH-000781,-0.316675180796
ACH-000782,-0.171798306963
ACH-000783,-0.08255404898219999
ACH-000784,-0.400303178565
ACH-000785,-0.159768811091
ACH-000787,-0.192036462128
ACH-000788,-0.17975516696600002
