,AZGP1 (563)
ACH-000004,-0.227172368534
ACH-000007,0.0920671202247
ACH-000009,-0.18093265139400003
ACH-000011,-0.054585556737599995
ACH-000012,-0.108941632357
ACH-000013,0.00615199538865
ACH-000014,-0.19327392023499998
ACH-000015,-0.141178195902
ACH-000017,0.0162890612405
ACH-000018,0.07961182339180001
ACH-000019,-0.362568967319
ACH-000021,-0.441239691055
ACH-000022,-0.0406535811909
ACH-000025,-0.09104588218630001
ACH-000028,-0.128158736037
ACH-000030,-0.0394362946648
ACH-000035,-0.16808476388799998
ACH-000036,-0.126918401333
ACH-000037,-0.21431806943700002
ACH-000039,0.018061854391299998
ACH-000040,-0.141032092281
ACH-000041,0.0563795165888
ACH-000042,-0.108807716796
ACH-000045,-0.0430442712831
ACH-000047,-0.19542373804000002
ACH-000052,0.0009408623341100001
ACH-000053,-0.110923528892
ACH-000054,-0.153827630143
ACH-000055,-0.07933736796560001
ACH-000060,-0.051626794199500003
ACH-000067,-0.123448363495
ACH-000070,-0.135065337467
ACH-000075,-0.175038823719
ACH-000078,-0.12453618217599999
ACH-000082,-0.195948177167
ACH-000085,-0.0119870388481
ACH-000086,-0.0188130506243
ACH-000087,-0.27021973710999997
ACH-000092,0.0538871745297
ACH-000095,-0.154773145812
ACH-000097,-0.0602889591939
ACH-000098,-0.07398403910710001
ACH-000099,-0.14009015225500002
ACH-000108,-0.27448298271899996
ACH-000113,-0.0809625563353
ACH-000115,-0.07342677880739999
ACH-000116,-0.010478392631200002
ACH-000118,-0.260922085028
ACH-000120,-0.0177581623675
ACH-000123,-0.108940907067
ACH-000127,-0.168660833999
ACH-000128,-0.163145050092
ACH-000132,-0.061574007147900005
ACH-000133,0.019437720717
ACH-000137,-0.172752907293
ACH-000138,-0.156513683484
ACH-000142,-0.20648137636100003
ACH-000143,-0.023482756492499996
ACH-000146,-0.175778747584
ACH-000148,-0.241298940122
ACH-000150,-0.158685662383
ACH-000152,-0.0327529748679
ACH-000153,-0.0333870024394
ACH-000159,-0.232291629227
ACH-000160,-0.290602695611
ACH-000163,-0.12967675966199999
ACH-000167,-0.11773287904200001
ACH-000168,-0.0719293684458
ACH-000169,-0.0806890678877
ACH-000178,-0.153836342454
ACH-000182,-0.0585062815712
ACH-000183,0.0011609361055
ACH-000188,-0.05171451384530001
ACH-000189,-0.0930188179883
ACH-000190,0.08697556171880001
ACH-000198,-0.199426123905
ACH-000204,-0.282536635269
