,RHOG (391)
ACH-000004,-0.194013703446
ACH-000007,-0.279472306454
ACH-000009,-0.458404369743
ACH-000011,0.0924341521246
ACH-000012,0.102305078217
ACH-000013,-0.08765169712339999
ACH-000014,-0.434324791915
ACH-000015,-0.10079735347100001
ACH-000017,8.44416368532e-05
ACH-000018,-0.45596339363999994
ACH-000019,-0.249495550955
ACH-000021,-0.28216612956099996
ACH-000022,-0.0369239565198
ACH-000025,-0.550906179038
ACH-000028,-0.220615651307
ACH-000030,-0.209198614706
ACH-000035,-0.12386190220999999
ACH-000036,-0.309134039578
ACH-000037,-0.21578947151099998
ACH-000039,-0.08248347224870001
ACH-000040,-0.0207510407196
ACH-000041,-0.06735284758690001
ACH-000042,-0.09900861732380001
ACH-000045,-0.0616212124873
ACH-000047,-0.143544097842
ACH-000052,-0.09749828217630001
ACH-000053,-0.131437202752
ACH-000054,-0.180835766625
ACH-000055,-0.0600789933719
ACH-000060,-0.515221657903
ACH-000067,-0.496358837874
ACH-000070,-0.016299274218899998
ACH-000075,-0.102818663125
ACH-000078,0.0203660475657
ACH-000082,-0.14664869383600002
ACH-000085,-0.14566264418299998
ACH-000086,-0.0458091620957
ACH-000087,0.072780733355
ACH-000092,-0.15353713320499998
ACH-000095,-0.183637476582
ACH-000097,-0.1559446267
ACH-000098,-0.279958150093
ACH-000099,-0.194432729641
ACH-000108,-0.43972000366999997
ACH-000113,-0.287877088736
ACH-000115,0.109967146107
ACH-000116,0.08501821033679999
ACH-000118,-0.346925060126
ACH-000120,-0.447827713731
ACH-000123,-0.18009061247000002
ACH-000127,-0.146427953439
ACH-000128,-0.0074804013757
ACH-000132,-0.16995942201900002
ACH-000133,-0.158189164668
ACH-000137,-0.23166858799000004
ACH-000138,-0.290341321563
ACH-000142,-0.19538140937800003
ACH-000143,-0.019846862729799998
ACH-000146,-0.234918572045
ACH-000148,-0.00485776182163
ACH-000150,-0.219118743334
ACH-000152,0.0457433682787
ACH-000153,-0.318271567697
ACH-000159,-0.203182552675
ACH-000160,-0.267101727828
ACH-000163,0.0577548669393
ACH-000167,-0.6679059374490001
ACH-000168,-0.508951759947
ACH-000169,-0.0799473587597
ACH-000178,-0.194493010105
ACH-000182,-0.022932285356799996
ACH-000183,-0.13134861032099998
ACH-000188,-0.0194579580256
ACH-000189,-0.149865296145
ACH-000190,-0.0408964922183
ACH-000198,-0.260036360661
ACH-000204,-0.08155953845769999
ACH-000206,-0.15740929733
ACH-000207,0.154172964234
ACH-000211,-0.1235739192
ACH-000215,-0.057465685278
ACH-000221,0.0666905240463
ACH-000222,-0.162784262577
ACH-000223,-0.0029250915031
ACH-000226,-0.184508835264
ACH-000227,0.161049169901
ACH-000228,-0.034720272309199995
ACH-000231,-0.08934063816160001
ACH-000232,-0.23123891994000004
ACH-000233,-0.0251812994062
ACH-000234,-0.09507155108010001
ACH-000235,-0.101980968246
ACH-000237,-0.177440662533
ACH-000238,-0.0662604791913
ACH-000243,-0.258125940652
ACH-000244,-0.460078532619
ACH-000246,-0.25107756336
ACH-000248,0.024725509083
ACH-000250,-0.18895420407699998
ACH-000251,-0.293734275697
ACH-000253,-0.17296498780900002
ACH-000255,-0.25572626553100003
ACH-000256,-0.278177629793
ACH-000257,-0.00163916322469
ACH-000258,-0.136473534714
ACH-000259,-0.131455180468
ACH-000260,-0.164786487677
ACH-000261,-0.253886710863
ACH-000262,0.244438622558
ACH-000263,0.280858444284
ACH-000264,-0.08887202108999999
ACH-000265,-0.0486986138604
ACH-000266,-0.32811199209499997
ACH-000272,-0.0901097602665
ACH-000273,-0.270422831413
ACH-000274,-0.214823021977
ACH-000277,-0.0411905488519
ACH-000278,-0.159947358786
ACH-000279,-0.106589423699
ACH-000280,-0.253839195791
ACH-000281,-0.624624513838
ACH-000288,-0.152369010975
ACH-000291,-0.140373465485
ACH-000293,-0.125912604363
ACH-000294,-0.115656086634
ACH-000295,-0.00505938117298
ACH-000296,-0.127122908787
ACH-000302,-0.11718973794700001
ACH-000304,0.132093419764
ACH-000307,-0.303552465119
ACH-000308,-0.12449596465
ACH-000310,-0.0021240571459000004
ACH-000311,-0.23426767445500002
ACH-000312,-0.208217309894
ACH-000315,-0.238158687788
ACH-000316,-0.36500002520900005
ACH-000317,-0.090630335957
ACH-000318,-0.29238698115600004
ACH-000319,-0.17440677867499998
ACH-000320,-0.38934973757700003
ACH-000322,-0.44835798115000003
ACH-000323,-0.0992681729696
ACH-000324,-0.163626966469
ACH-000329,-0.35987003069799994
ACH-000330,0.0913098275963
ACH-000331,-0.367158089044
ACH-000332,-0.164622184817
ACH-000334,-0.375993088925
ACH-000335,-0.108038380405
ACH-000336,-0.587159420707
ACH-000337,-0.0027098755906599997
ACH-000339,-0.33474810417399997
ACH-000341,-0.127115699869
ACH-000348,-0.21183035484999999
ACH-000350,-0.143292855149
ACH-000352,-0.0744430394757
ACH-000356,0.12341768335000002
ACH-000361,-0.304921164238
ACH-000362,-0.177763959307
ACH-000363,-0.0048833857532399995
ACH-000364,-0.493513965208
ACH-000365,-0.280411570754
ACH-000366,-0.122275338961
ACH-000368,-0.0820166148583
ACH-000374,-0.019360760866599998
ACH-000375,-0.168223197091
ACH-000376,-0.0589813463507
ACH-000381,-0.300550240533
ACH-000383,-0.17209336321
ACH-000387,-0.012900243707099999
ACH-000389,-0.0846756877409
ACH-000390,-0.106240669687
ACH-000393,-0.668887221981
ACH-000395,-0.33601274719
ACH-000397,-0.17154666852699998
ACH-000401,-0.13469888322899998
ACH-000402,-0.226966206724
ACH-000403,-0.249963358411
ACH-000404,-0.0805873478125
ACH-000406,-0.23089565648000002
