,WBP11 (51729)
ACH-000004,-1.371585076
ACH-000007,-1.20675129616
ACH-000009,-1.43312621766
ACH-000011,-1.4344006884399998
ACH-000012,-1.2385533360299998
ACH-000013,-1.47497440042
ACH-000014,-1.40531546425
ACH-000015,-1.48962648717
ACH-000017,-1.80068120105
ACH-000018,-1.27544290987
ACH-000019,-1.59561792018
ACH-000021,-1.62851099748
ACH-000022,-1.60136855462
ACH-000025,-1.670700997
ACH-000028,-1.5090146705200003
ACH-000030,-1.22921177983
ACH-000035,-1.20758429537
ACH-000036,-1.49396890164
ACH-000037,-2.00635629954
ACH-000039,-1.4748174528799998
ACH-000040,-1.5222620123800001
ACH-000041,-1.3599834141799998
ACH-000042,-1.47890651831
ACH-000045,-1.55073224614
ACH-000047,-1.3643508429799998
ACH-000052,-1.27612714624
ACH-000053,-1.33344081308
ACH-000054,-1.32577013306
ACH-000055,-1.22306632408
ACH-000060,-1.45029312732
ACH-000067,-1.2432436118
ACH-000070,-1.7340250349400002
ACH-000075,-1.45974569176
ACH-000078,-1.6045495593099999
ACH-000082,-1.40326041329
ACH-000085,-1.37470525359
ACH-000086,-1.2015130756399999
ACH-000087,-1.2005568447600001
ACH-000092,-1.3424562714800001
ACH-000095,-1.35624848724
ACH-000097,-1.20018799448
ACH-000098,-1.49461955325
ACH-000099,-1.39516244822
ACH-000108,-1.34232830241
ACH-000113,-1.68586525734
ACH-000115,-1.65975744159
ACH-000116,-1.4696545084600001
ACH-000118,-1.24586194862
ACH-000120,-1.3894866690099998
ACH-000123,-1.39375928352
ACH-000127,-1.4827812894699999
ACH-000128,-1.55558897399
ACH-000132,-1.50539640993
ACH-000133,-1.2793027981899998
ACH-000137,-1.4048838994400001
ACH-000138,-1.6241378777000002
ACH-000142,-1.1334332054
ACH-000143,-1.47622628072
ACH-000146,-1.8283817564099998
ACH-000148,-1.3229387788200002
ACH-000150,-1.4695524933700002
ACH-000152,-1.6960242530200003
ACH-000153,-1.07232801006
ACH-000159,-1.3233523461
ACH-000160,-1.53877529617
ACH-000163,-1.44989216295
ACH-000167,-1.6164522287399998
ACH-000168,-1.65245604123
ACH-000169,-1.16624037615
ACH-000178,-1.51856929006
ACH-000182,-1.02713735778
ACH-000183,-1.3256883027200002
ACH-000188,-1.3925158889899998
ACH-000189,-1.2628054325799998
ACH-000190,-1.49412472236
ACH-000198,-1.74060197097
ACH-000204,-1.19344996079
ACH-000206,-1.57454696873
ACH-000207,-1.60456294467
ACH-000211,-1.0431272235200002
ACH-000215,-1.60332401903
ACH-000221,-1.6338275942899998
ACH-000222,-1.6831206794
ACH-000223,-1.82938761907
ACH-000226,-1.57475360857
ACH-000227,-1.74583691759
ACH-000228,-1.35628573025
ACH-000231,-1.62866582505
ACH-000232,-1.5279500106400001
ACH-000233,-1.50895549842
ACH-000234,-1.5595823604799999
ACH-000235,-1.3966422667299998
ACH-000237,-1.3647123168000002
ACH-000238,-1.63779853977
ACH-000243,-1.4531925213999999
ACH-000244,-1.56342906676
ACH-000246,-1.5165645402399999
ACH-000248,-1.41855430144
ACH-000250,-1.13616380762
ACH-000251,-1.6261848785
ACH-000253,-1.46853274766
ACH-000255,-1.44945251625
ACH-000256,-1.58861175968
ACH-000257,-1.46940832977
ACH-000258,-1.35638041912
ACH-000259,-1.41063311069
ACH-000260,-1.28340209846
ACH-000261,-1.34315725262
ACH-000262,-1.1456637745
ACH-000263,-2.00718409575
ACH-000264,-1.29649495269
ACH-000265,-1.41022163688
ACH-000266,-1.1755660403000001
ACH-000272,-1.2084316209700001
ACH-000273,-1.5735172331600003
ACH-000274,-1.4206589424
ACH-000277,-1.4453443531799999
ACH-000278,-1.2937696825700002
ACH-000279,-1.40669869697
ACH-000280,-1.36610268454
ACH-000281,-1.24130672997
ACH-000288,-1.63160714869
ACH-000291,-1.39073794204
ACH-000293,-1.55100839757
ACH-000294,-1.90979766426
ACH-000295,-1.82898197408
ACH-000296,-1.42232588302
ACH-000302,-1.5319314210600001
ACH-000304,-2.0282483030400003
ACH-000307,-1.08878390502
ACH-000308,-1.3348847779700002
ACH-000310,-1.57120929295
ACH-000311,-1.75683563912
ACH-000312,-1.4428617722600001
ACH-000315,-1.7383743014200002
ACH-000316,-1.07169228537
ACH-000317,-1.38188969848
ACH-000318,-1.23476997063
ACH-000319,-1.31461516032
ACH-000320,-1.74675156227
ACH-000322,-1.4472913830899998
ACH-000323,-1.80730564259
ACH-000324,-1.3656582134900002
ACH-000329,-1.7528553082599998
ACH-000330,-1.31130427921
ACH-000331,-1.42734264993
ACH-000332,-1.56718982634
ACH-000334,-1.9396150131599998
ACH-000335,-1.36701514015
ACH-000336,-1.59234792667
ACH-000337,-1.17922905403
ACH-000339,-1.5993099450900001
ACH-000341,-1.33639999174
ACH-000348,-1.45863788544
ACH-000350,-1.4014528482799997
ACH-000352,-1.1674567806
ACH-000356,-1.22016223801
ACH-000361,-1.3611580102899998
ACH-000362,-1.8168017148700002
ACH-000363,-1.5663777664899998
ACH-000364,-1.38913084005
ACH-000365,-1.68608594641
ACH-000366,-1.3915228912200002
ACH-000368,-1.43118884447
ACH-000374,-1.59035348408
ACH-000375,-1.48277234761
ACH-000376,-1.47530934166
ACH-000381,-1.4151041144499998
ACH-000383,-1.8100665470099997
ACH-000387,-1.48330834053
ACH-000389,-1.1240984065200001
ACH-000390,-1.3558876507700002
ACH-000393,-1.1213452588200001
ACH-000395,-1.9514653700799998
ACH-000397,-1.4870354210699999
ACH-000401,-1.55000109357
ACH-000402,-1.4744680284099998
ACH-000403,-1.4701770522
ACH-000404,-1.4951409516499998
ACH-000406,-1.9837597344799998
ACH-000407,-1.58442547861
ACH-000408,-1.2923994463700001
ACH-000410,-1.4234540123500001
ACH-000411,-1.34411418745
ACH-000414,-1.3437755916999998
ACH-000415,-1.16615068515
