,EIF3CL (728689)
ACH-000004,-1.302650192
ACH-000007,-1.5649730590000002
ACH-000009,-1.419266168
ACH-000011,-1.45439331682
ACH-000012,-1.3548407435699998
ACH-000013,-1.2680255689700002
ACH-000014,-1.46325997831
ACH-000015,-1.3135370255299998
ACH-000017,-1.28506539222
ACH-000018,-1.4073700252
ACH-000019,-1.6370269186500002
ACH-000021,-1.33960061339
ACH-000022,-1.2278199877200002
ACH-000025,-1.51182202373
ACH-000028,-1.4170433006999998
ACH-000030,-1.33545919008
ACH-000035,-1.2841877819499998
ACH-000036,-1.48049282481
ACH-000037,-2.16090736273
ACH-000039,-1.72280185447
ACH-000040,-1.48228872065
ACH-000041,-1.12840415874
ACH-000042,-1.2723230695799999
ACH-000045,-1.56722924287
ACH-000047,-1.4493569253299998
ACH-000052,-1.34171579042
ACH-000053,-1.38361745846
ACH-000054,-1.43110318331
ACH-000055,-1.43799176004
ACH-000060,-1.42780297861
ACH-000067,-1.50070681241
ACH-000070,-1.69534912636
ACH-000075,-1.4042042876499998
ACH-000078,-1.5940815985499999
ACH-000082,-1.42421726995
ACH-000085,-1.26200654537
ACH-000086,-1.33296481611
ACH-000087,-1.36658733438
ACH-000092,-1.4441822029299998
ACH-000095,-1.2993152614299999
ACH-000097,-1.5581897888799998
ACH-000098,-1.51254115109
ACH-000099,-1.37885978558
ACH-000108,-1.24983167321
ACH-000113,-1.46259435125
ACH-000115,-1.5807585841999998
ACH-000116,-1.31344138324
ACH-000118,-1.28738691181
ACH-000120,-1.6720451533399998
ACH-000123,-1.4682930655500002
ACH-000127,-1.2157298666
ACH-000128,-1.46294710913
ACH-000132,-1.7094217270299998
ACH-000133,-1.33002469247
ACH-000137,-1.42001067113
ACH-000138,-1.1804786069700002
ACH-000142,-1.40237541176
ACH-000143,-1.5185389291100002
ACH-000146,-1.6207133249599999
ACH-000148,-1.28252624154
ACH-000150,-1.46977775939
ACH-000152,-1.5553460038299998
ACH-000153,-1.2279500685100002
ACH-000159,-1.5103205423500001
ACH-000160,-1.3005015525299999
ACH-000163,-1.2494683628799998
ACH-000167,-1.66677424482
ACH-000168,-1.32199293811
ACH-000169,-1.3674280151299998
ACH-000178,-1.35988411213
ACH-000182,-1.4094167877200001
ACH-000183,-1.44829593549
ACH-000188,-1.43006440565
ACH-000189,-1.17346739141
ACH-000190,-1.58766000756
ACH-000198,-1.3118581410799999
ACH-000204,-1.2438148279999999
ACH-000206,-1.3542054237999999
ACH-000207,-1.55656657367
ACH-000211,-1.41848163155
ACH-000215,-1.59387993159
ACH-000221,-1.3584819024099999
ACH-000222,-1.73404484901
ACH-000223,-1.4269615018700001
ACH-000226,-1.4247356108700002
ACH-000227,-1.5459388944799999
ACH-000228,-1.35687941657
ACH-000231,-1.4363343322
ACH-000232,-1.44508703491
ACH-000233,-1.38191422584
ACH-000234,-1.45421016378
ACH-000235,-1.40337092085
ACH-000237,-1.63547116114
ACH-000238,-1.57116193345
ACH-000243,-1.42210774909
ACH-000244,-1.7890966032700002
ACH-000246,-1.3431994262399998
ACH-000248,-1.3670038276700003
ACH-000250,-1.32901250384
ACH-000251,-1.18363130691
ACH-000253,-1.3018093801200001
ACH-000255,-1.371479184
ACH-000256,-1.26137440448
ACH-000257,-1.54772019234
ACH-000258,-1.49726278278
ACH-000259,-1.31887013825
ACH-000260,-1.45366023855
ACH-000261,-1.4768032408399998
ACH-000262,-1.48799665932
ACH-000263,-1.59862938092
ACH-000264,-1.41061761835
ACH-000265,-1.42865687982
ACH-000266,-1.51391754337
ACH-000272,-1.4272596442200003
ACH-000273,-1.50177569185
ACH-000274,-1.56969693313
ACH-000277,-1.4486845275100002
ACH-000278,-1.46775992783
ACH-000279,-1.4353206235499998
ACH-000280,-1.41649461897
ACH-000281,-1.4628018031
ACH-000288,-1.46903720315
ACH-000291,-1.5449433447799998
ACH-000293,-1.42395265356
ACH-000294,-1.11092818831
ACH-000295,-1.7697910419
ACH-000296,-1.6587528761700001
ACH-000302,-1.1771122537799998
ACH-000304,-1.61338525878
ACH-000307,-1.33055752372
ACH-000308,-1.5199840283000001
ACH-000310,-1.6984832253
ACH-000311,-1.27650260076
ACH-000312,-1.34975919689
ACH-000315,-1.43359308338
ACH-000316,-1.23170781625
ACH-000317,-1.1395848570799998
ACH-000318,-1.24023276793
ACH-000319,-1.37594541848
ACH-000320,-1.7797640814400002
ACH-000322,-1.7258415694799998
ACH-000323,-1.5262508964200001
ACH-000324,-1.47364481853
ACH-000329,-1.51068723098
ACH-000330,-1.4742061315000001
ACH-000331,-1.3196811296700002
ACH-000332,-1.3957911757199999
ACH-000334,-1.8049432666299998
ACH-000335,-1.2812366227
ACH-000336,-1.53301592007
ACH-000337,-1.2279895988299998
ACH-000339,-1.51077986769
ACH-000341,-1.3798891317200002
ACH-000348,-1.3034594153499999
ACH-000350,-1.5291791918900002
ACH-000352,-1.22204662382
ACH-000356,-1.2465367171700001
ACH-000361,-1.57350548878
ACH-000362,-1.5407568191299998
ACH-000363,-1.35333891342
ACH-000364,-1.3595125821599998
ACH-000365,-1.54711762194
ACH-000366,-1.4798020907499998
ACH-000368,-1.8357577308500002
ACH-000374,-1.31934194079
ACH-000375,-1.64607931519
ACH-000376,-1.39949989509
ACH-000381,-1.2785178422399999
ACH-000383,-1.49433411648
ACH-000387,-1.3164812374
ACH-000389,-1.4642557000100003
ACH-000390,-1.4190509376299998
ACH-000393,-1.22944480874
ACH-000395,-1.67360569897
ACH-000397,-1.66905306321
ACH-000401,-1.2725002300200001
ACH-000402,-1.37885880132
ACH-000403,-1.6517949954799998
ACH-000404,-1.26642476456
ACH-000406,-1.27506925591
ACH-000407,-1.53206762692
ACH-000408,-1.46929806914
ACH-000410,-1.28139602627
ACH-000411,-1.46428373215
ACH-000414,-1.46885763503
ACH-000415,-1.2205835493200001
ACH-000416,-1.39061989562
ACH-000420,-1.52455443596
ACH-000421,-1.26357452338
ACH-000424,-1.39298338456
ACH-000425,-1.7319641878999998
ACH-000426,-1.24794101082
ACH-000427,-1.32498856588
ACH-000433,-1.45369498391
ACH-000436,-1.5213082718000002
ACH-000444,-1.20370767542
ACH-000445,-1.55402221079
ACH-000448,-1.25342261053
ACH-000450,-1.5710036113899999
ACH-000452,-1.23589990667
ACH-000454,-1.3942618712900001
ACH-000458,-1.4401320894299998
ACH-000459,-1.20599541907
ACH-000460,-1.42764619572
ACH-000461,-1.30550190919
ACH-000463,-1.08895335671
ACH-000464,-1.3949687639300001
ACH-000466,-1.26318373316
ACH-000467,-1.4136640485299998
ACH-000468,-1.21606047372
ACH-000469,-1.4610213100999998
ACH-000470,-1.6079573804499998
ACH-000471,-1.54003891213
ACH-000472,-1.6246175574500001
ACH-000473,-1.2815675878200001
ACH-000475,-1.54335673873
ACH-000476,-1.466627244
ACH-000477,-1.49347617155
ACH-000480,-1.47600752979
ACH-000481,-1.1634796226000002
ACH-000483,-1.27763319845
