,L3HYPDH (112849)
ACH-000004,-0.21022547536
ACH-000007,-0.597382178783
ACH-000009,-0.329873898066
ACH-000011,-0.309466259769
ACH-000012,-0.217184639382
ACH-000013,-0.0267147087982
ACH-000014,-0.0475747506733
ACH-000015,-0.18735219444600001
ACH-000017,-0.0488062397089
ACH-000018,0.134077564529
ACH-000019,-0.2040915455
ACH-000021,-0.12462432393100001
ACH-000022,-0.015779810481499998
ACH-000025,-0.264435663182
ACH-000028,-0.14725874092900001
ACH-000030,-0.225953662894
ACH-000035,0.180761705903
ACH-000036,-0.0561398637643
ACH-000037,-0.12426319443299999
ACH-000039,-0.149100423044
ACH-000040,-0.508534821735
ACH-000041,-0.182543224623
ACH-000042,-0.210737032165
ACH-000045,-0.279003548471
ACH-000047,-0.0756957721675
ACH-000052,-0.380511057839
ACH-000053,-0.038797899783199995
ACH-000054,-0.370075208169
ACH-000055,-0.212219468344
ACH-000060,-0.448042796886
ACH-000067,-0.20818089615899998
ACH-000070,-0.24303398400600001
ACH-000075,-0.439953570485
ACH-000078,0.0009680450281189999
ACH-000082,-0.255228017699
ACH-000085,-0.131981719647
ACH-000086,-0.158503434146
ACH-000087,-0.548657116382
ACH-000092,-0.101475748637
ACH-000095,-0.160754622111
ACH-000097,-0.156453606056
ACH-000098,-0.259769951232
ACH-000099,-0.33630630833
ACH-000108,0.007226131715350001
ACH-000113,-0.178067460493
ACH-000115,-0.22825136728599998
ACH-000116,-0.102416037033
ACH-000118,-0.172699906089
ACH-000120,-0.12372778497999999
ACH-000123,-0.142653101152
ACH-000127,-0.10374889392000002
ACH-000128,-0.251482666823
ACH-000132,-0.22375694471500002
ACH-000133,-0.303851183502
ACH-000137,-0.04645669860190001
ACH-000138,-0.264012539908
ACH-000142,-0.37982895775
ACH-000143,-0.503058561757
ACH-000146,-0.08438223556489999
ACH-000148,-0.128498341207
ACH-000150,-0.11971591677000001
ACH-000152,-0.043879405645199994
ACH-000153,-0.0804189726847
ACH-000159,-0.241164129423
ACH-000160,-0.15997504592700001
ACH-000163,-0.233897887038
ACH-000167,-0.412037078827
ACH-000168,-0.289886738854
ACH-000169,-0.165540866498
ACH-000178,-0.338783238142
ACH-000182,-0.0772720594937
ACH-000183,-0.08416862094589998
ACH-000188,-0.20961117796
ACH-000189,-0.240999688276
ACH-000190,-0.09484758990980001
ACH-000198,-0.155397482889
ACH-000204,-0.0900730742999
ACH-000206,-0.469564202231
ACH-000207,-0.45483675038099997
ACH-000211,-0.273727782069
ACH-000215,-0.135242428869
ACH-000221,0.0130491089747
ACH-000222,-0.07967703294680001
ACH-000223,-0.40390755491400004
ACH-000226,-0.278778079783
ACH-000227,-0.08186489601510001
ACH-000228,0.130271943433
ACH-000231,-0.330751658929
ACH-000232,-0.255218706244
ACH-000233,-0.116525009389
ACH-000234,0.0134865316424
ACH-000235,-0.108540191785
ACH-000237,0.07594600611430001
ACH-000238,-0.61009958932
ACH-000243,-0.0816564162017
ACH-000244,-0.31575851488
ACH-000246,-0.265847666718
ACH-000248,-0.19544823931699998
ACH-000250,-0.207194637066
ACH-000251,-0.18884364655000002
ACH-000253,-0.0566842535348
ACH-000255,-0.278835763859
ACH-000256,-0.196319575807
ACH-000257,-0.5964575589419999
ACH-000258,0.0773454823088
ACH-000259,-0.250891086358
ACH-000260,-0.14886832344
ACH-000261,-0.226063363523
ACH-000262,-0.0651073822393
ACH-000263,0.0649779831829
ACH-000264,-0.170690457579
ACH-000265,-0.10146366315199999
ACH-000266,-0.308964390144
ACH-000272,-0.0838625411751
ACH-000273,-0.122410570622
ACH-000274,-0.16348132593599998
ACH-000277,-0.170807902611
ACH-000278,-0.38225634850900003
ACH-000279,-0.103477161128
ACH-000280,-0.117144681899
ACH-000281,-0.0571870693166
ACH-000288,-0.26920588931999995
ACH-000291,-0.336490348411
ACH-000293,-0.261024525259
ACH-000294,-0.354185024347
ACH-000295,0.00658984043177
ACH-000296,0.0982340713255
ACH-000302,-0.160278431345
ACH-000304,-0.618084800123
ACH-000307,0.0278606000312
ACH-000308,-0.11408036435499999
ACH-000310,-0.11881093506
ACH-000311,-0.376764763475
ACH-000312,-0.08548888912830001
ACH-000315,-0.0341343816882
ACH-000316,-0.245665064228
ACH-000317,0.09197083999460001
ACH-000318,-0.100057394959
ACH-000319,-0.105652462411
ACH-000320,-0.165282821787
ACH-000322,-0.496114750778
ACH-000323,-0.14906593306
ACH-000324,-0.220501349827
ACH-000329,-0.21418797010600002
ACH-000330,-0.117149513591
ACH-000331,-0.0100479239174
ACH-000332,-0.149360517738
ACH-000334,-0.027368825725599996
ACH-000335,-0.174441846208
ACH-000336,-0.025804359276099996
ACH-000337,-0.159658295216
ACH-000339,-0.341861286319
ACH-000341,0.052810670184899995
ACH-000348,-0.239892862524
ACH-000350,0.00201613816398
ACH-000352,-0.287984627281
ACH-000356,-0.000390138182569
ACH-000361,0.0649635451199
ACH-000362,-0.0708585653554
ACH-000363,-0.202174776769
ACH-000364,-0.138454738506
ACH-000365,-0.06365855967680001
ACH-000366,-0.17649507424199998
ACH-000368,-0.435121114075
ACH-000374,0.00699752675836
ACH-000375,-0.10374590805600001
ACH-000376,-0.326635613301
ACH-000381,0.156958612429
ACH-000383,-0.15101835499299998
ACH-000387,-0.17149646268100002
ACH-000389,-0.421201341046
ACH-000390,0.021988366928599998
ACH-000393,-0.336707826348
ACH-000395,-0.18640516471500002
ACH-000397,-0.331362320693
ACH-000401,-0.0751208299956
ACH-000402,-0.353682834967
ACH-000403,-0.17389970591099999
