,CCIN (881)
ACH-000004,0.0150132232778
ACH-000007,-0.024114502296099998
ACH-000009,-0.220386123654
ACH-000011,-0.114046982783
ACH-000012,-0.0528754345314
ACH-000013,-0.24090926161600001
ACH-000014,-0.22044138709000002
ACH-000015,-0.21923282045499998
ACH-000017,-0.22974910708500001
ACH-000018,-0.129387979582
ACH-000019,-0.44668025948
ACH-000021,-0.25646193956
ACH-000022,-0.258491529816
ACH-000025,-0.0925492493561
ACH-000028,-0.214380181517
ACH-000030,-0.21207375660799999
ACH-000035,-0.183788932711
ACH-000036,-0.11886670351199999
ACH-000037,-0.466169522939
ACH-000039,-0.10088883162000001
ACH-000040,-0.22842929296300002
ACH-000041,-0.402912225683
ACH-000042,-0.125162517189
ACH-000045,-0.10517515853
ACH-000047,-0.130745647641
ACH-000052,-0.168155768871
ACH-000053,-0.0651409870821
ACH-000054,-0.198245361939
ACH-000055,-0.174759581686
ACH-000060,0.132649320151
ACH-000067,-0.0719705057355
ACH-000070,-0.18149722248
ACH-000075,-0.112227381833
ACH-000078,-0.04750322946669999
ACH-000082,-0.26225494551999995
ACH-000085,-0.272181060797
ACH-000086,-0.0988136250586
ACH-000087,-0.24074882272
ACH-000092,-0.32755978049400003
ACH-000095,-0.155176653493
ACH-000097,-0.18533485911699998
ACH-000098,-0.43374180095
ACH-000099,-0.0251546561702
ACH-000108,-0.19731860417199998
ACH-000113,-0.234534703563
ACH-000115,-0.0395045496779
ACH-000116,-0.144003486963
ACH-000118,-0.260394698823
ACH-000120,-0.309149143107
ACH-000123,-0.22646113589000003
ACH-000127,-0.105985836464
ACH-000128,-0.100887194955
ACH-000132,-0.34603302923199997
ACH-000133,-0.218876373983
ACH-000137,-0.253332999336
ACH-000138,-0.171271204902
ACH-000142,-0.154079660441
ACH-000143,-0.22893497395
ACH-000146,-0.09956526226669998
ACH-000148,-0.0686128053562
ACH-000150,-0.187854920614
ACH-000152,-0.195515392285
ACH-000153,0.0191969988696
ACH-000159,-0.29251486819
ACH-000160,-0.291364895109
ACH-000163,-0.243982124245
ACH-000167,0.0106572750996
ACH-000168,-0.173177737203
ACH-000169,-0.09765312559429999
ACH-000178,-0.043736488016999996
ACH-000182,-0.328971842258
ACH-000183,-0.167714059199
ACH-000188,-0.175622674498
ACH-000189,-0.408235717824
ACH-000190,-0.136772447533
ACH-000198,-0.113804659309
ACH-000204,-0.555334150926
ACH-000206,-0.15501996858
ACH-000207,-0.108320696139
ACH-000211,-0.314090101254
ACH-000215,-0.226688440297
ACH-000221,-0.13367292404699999
ACH-000222,-0.39418216176299997
ACH-000223,-0.19788311752999999
ACH-000226,-0.205950222159
ACH-000227,-0.0977091331952
ACH-000228,-0.395655783628
ACH-000231,-0.21327206665100001
ACH-000232,0.0270857720667
ACH-000233,-0.0701050897375
ACH-000234,-0.255833501419
ACH-000235,-0.21334395737
ACH-000237,-0.127881248102
ACH-000238,-0.258967485619
ACH-000243,-0.161762042006
ACH-000244,-0.783714109969
ACH-000246,-0.372676248267
ACH-000248,-0.17317321793600002
ACH-000250,-0.182723627276
ACH-000251,-0.18073683802499999
ACH-000253,-0.30509708071999997
ACH-000255,-0.439561440518
ACH-000256,-0.215162000484
ACH-000257,-0.19473630051100002
ACH-000258,-0.318632440793
ACH-000259,-0.21489952616799998
ACH-000260,-0.13369497743
ACH-000261,-0.0901543825943
ACH-000262,0.111814381471
ACH-000263,-0.334501311839
ACH-000264,-0.178150005732
ACH-000265,-0.362314428723
ACH-000266,-0.208891101294
ACH-000272,-0.222805306687
ACH-000273,-0.165648176446
ACH-000274,-0.41077566096699997
ACH-000277,-0.21674743186
ACH-000278,-0.477136777225
ACH-000279,-0.136391356519
ACH-000280,-0.271134645275
ACH-000281,-0.17790875265
ACH-000288,-0.21518111548
ACH-000291,-0.11762136939099999
ACH-000293,-0.0951927141011
ACH-000294,-0.0652022335654
ACH-000295,-0.00493459788832
ACH-000296,-0.37673296739699996
ACH-000302,-0.139701574299
ACH-000304,0.373416417544
ACH-000307,-0.11025668481100001
ACH-000308,-0.245986980799
ACH-000310,-0.0946809357444
ACH-000311,-0.330385481369
ACH-000312,-0.0703820023201
ACH-000315,-0.192721707488
ACH-000316,-0.123632455893
ACH-000317,-0.142890355834
ACH-000318,-0.248342878754
ACH-000319,-0.026382793919900005
ACH-000320,-0.361717858274
ACH-000322,-0.33266851509100004
ACH-000323,-0.311202084894
ACH-000324,-0.0070508439405300005
ACH-000329,-0.124348969322
