,ATHL1 (80162)
ACH-000004,-0.145177342437
ACH-000007,0.0137633791516
ACH-000009,-0.120055841787
ACH-000011,-0.126251248694
ACH-000012,-0.11783295194499999
ACH-000013,-0.0441590908665
ACH-000014,-0.19810350468600002
ACH-000015,-0.05808699587780001
ACH-000017,-0.11508309098
ACH-000018,-0.0790395195803
ACH-000019,-0.267608938977
ACH-000021,-0.0211064387815
ACH-000022,-0.192740180558
ACH-000025,-0.101094755165
ACH-000028,-0.21685094812199998
ACH-000030,-0.10231101772500001
ACH-000035,-0.103938329405
ACH-000036,-0.191514150348
ACH-000037,-0.150577675304
ACH-000039,-0.214649937729
ACH-000040,-0.23520264433899998
ACH-000041,-0.17232012246599998
ACH-000042,-0.112754671202
ACH-000045,-0.0905489688361
ACH-000047,-0.101896422933
ACH-000052,0.0357129262957
ACH-000053,-0.18246602016
ACH-000054,-0.169172657839
ACH-000055,-0.181420907579
ACH-000060,-0.10634421695599999
ACH-000067,-0.00473644253107
ACH-000070,-0.131254698006
ACH-000075,-0.0374794353005
ACH-000078,-0.32163777880100003
ACH-000082,-0.158929922016
ACH-000085,-0.129385023156
ACH-000086,-0.0769913050796
ACH-000087,-0.380332605591
ACH-000092,-0.0730308941554
ACH-000095,-0.108797588672
ACH-000097,-0.053712615084800006
ACH-000098,-0.0575242611925
ACH-000099,-0.225056116936
ACH-000108,-0.207516915359
ACH-000113,-0.173373437271
ACH-000115,-0.198037518843
ACH-000116,-0.17742367687399999
ACH-000118,-0.201741066307
ACH-000120,-0.0662159462508
ACH-000123,-0.187643391077
ACH-000127,-0.18368477039500003
ACH-000128,-0.150456630261
ACH-000132,-0.268285179235
ACH-000133,-0.112805576261
ACH-000137,-0.18303229623
ACH-000138,-0.23076904630999998
ACH-000142,-0.192246063559
ACH-000143,-0.149583637295
ACH-000146,-0.247118276626
ACH-000148,-0.305486789077
ACH-000150,-0.175190157289
ACH-000152,-0.10738490497400001
ACH-000153,-0.10599544177999999
ACH-000159,-0.11383655810799999
ACH-000160,-0.220523894679
ACH-000163,-0.0688845463827
ACH-000167,-0.243761752004
ACH-000168,-0.16087877442600002
ACH-000169,-0.07186575730360001
ACH-000178,-0.132198386152
ACH-000182,-0.100579317623
ACH-000183,-0.0316388522294
ACH-000188,-0.09369081002
ACH-000189,-0.30161765563299997
ACH-000190,-0.190140678926
ACH-000198,-0.15963419115
ACH-000204,-0.195151247177
ACH-000206,-0.272140146528
ACH-000207,-0.148056017746
ACH-000211,-0.0832881872541
ACH-000215,-0.113037133104
ACH-000221,-0.0409844861111
ACH-000222,-0.201104843492
ACH-000223,-0.17733082778099998
ACH-000226,-0.013042350917400001
ACH-000227,-0.302489795462
ACH-000228,-0.0331211745823
ACH-000231,-0.236087876556
ACH-000232,-0.181511566492
ACH-000233,-0.188183573248
ACH-000234,-0.327413226947
ACH-000235,-0.17312260727899997
ACH-000237,-0.15758961545800002
ACH-000238,-0.021189887687
ACH-000243,-0.0662235930355
ACH-000244,-0.23121227783599999
ACH-000246,-0.287766980079
ACH-000248,-0.055188153809199995
ACH-000250,-0.33105100630199996
ACH-000251,0.11122216746500001
ACH-000253,-0.214809949633
ACH-000255,-0.045128627748499996
ACH-000256,-0.175520397051
ACH-000257,-0.138796521581
ACH-000258,-0.427632684828
ACH-000259,-0.221808150893
ACH-000260,-0.243531778592
ACH-000261,-0.282988019326
ACH-000262,-0.053787601826
ACH-000263,-0.105825059289
ACH-000264,-0.17203292866999997
ACH-000265,-0.0747600562901
ACH-000266,-0.259137467152
ACH-000272,-0.0607356592779
ACH-000273,-0.366102084281
ACH-000274,-0.14036315628499998
ACH-000277,-0.31486521931
ACH-000278,-0.112858662336
ACH-000279,-0.0357161424152
ACH-000280,-0.187817470216
ACH-000281,-0.46280834515600006
ACH-000288,-0.106093565392
ACH-000291,-0.227802817513
ACH-000293,-0.0831791820031
ACH-000294,0.0290168953353
ACH-000295,-0.214343363605
ACH-000296,0.146054892591
ACH-000302,-0.142457255722
ACH-000304,-0.144136124731
ACH-000307,-0.197789737592
ACH-000308,-0.0684033699415
ACH-000310,-0.338661799252
ACH-000311,-0.123324232678
ACH-000312,-0.17473690090799998
ACH-000315,-0.17002807376200002
ACH-000316,-0.332034477332
ACH-000317,-0.249792137832
ACH-000318,-0.141997632686
ACH-000319,-0.207210930385
ACH-000320,-0.19115998559099998
ACH-000322,-0.17033358044100003
ACH-000323,-0.210787130308
ACH-000324,-0.213402294496
ACH-000329,-0.225812333717
ACH-000330,-0.06797699366309999
ACH-000331,-0.121858651249
ACH-000332,-0.135062891944
ACH-000334,0.110354854035
ACH-000335,-0.0486951296544
ACH-000336,-0.07266664728660001
ACH-000337,-0.175994943908
ACH-000339,-0.18750623623399998
ACH-000341,-0.333691918039
ACH-000348,-0.18269314237
ACH-000350,-0.159235648655
ACH-000352,6.77214502085e-06
ACH-000356,-0.32002144386500003
ACH-000361,-0.073157055998
ACH-000362,-0.19075467124200002
ACH-000363,-0.0611273172655
ACH-000364,0.08398174680680001
ACH-000365,-0.0936267800746
ACH-000366,-0.280223667015
ACH-000368,-0.139120061868
ACH-000374,-0.202367294698
ACH-000375,-0.269031051644
ACH-000376,-0.20908394199900002
ACH-000381,-0.178053206032
ACH-000383,-0.190508259135
ACH-000387,-0.19703586615899998
ACH-000389,-0.128269936481
ACH-000390,-0.0473147257826
ACH-000393,-0.342158182147
ACH-000395,-0.0836030218383
ACH-000397,-0.39844540947499996
ACH-000401,-0.0401361088919
ACH-000402,-0.394637862439
ACH-000403,-0.12083513595699999
ACH-000404,-0.202787245416
ACH-000406,-0.16321364950099998
ACH-000407,-0.3855864718
ACH-000408,-0.105095684329
ACH-000410,-0.0757906756135
ACH-000411,-0.214549323972
ACH-000414,-0.239107244795
