,WARS2 (10352)
ACH-000004,-0.044146662694
ACH-000007,-0.6171599220189999
ACH-000009,-0.451144332843
ACH-000011,-0.140089093772
ACH-000012,-0.545599052089
ACH-000013,-0.23743688316599998
ACH-000014,-0.47119428204499997
ACH-000015,-0.457035658485
ACH-000017,-0.328135034397
ACH-000018,-0.625901809049
ACH-000019,-0.5123062907399999
ACH-000021,-0.36523329051200004
ACH-000022,-0.686689576278
ACH-000025,-0.626933995225
ACH-000028,-0.5206915481800001
ACH-000030,-0.342716055162
ACH-000035,-0.47656474758699996
ACH-000036,-0.139372603493
ACH-000037,-0.278948969555
ACH-000039,-0.130238429928
ACH-000040,-0.176865912766
ACH-000041,-0.347221063819
ACH-000042,-0.267091044115
ACH-000045,-0.605572289047
ACH-000047,-0.361871057306
ACH-000052,-0.370114862809
ACH-000053,-0.231376681664
ACH-000054,-0.09997603956380001
ACH-000055,-0.278984534644
ACH-000060,-0.290998649656
ACH-000067,-0.315116950468
ACH-000070,-0.268795744915
ACH-000075,-0.48075607701300005
ACH-000078,-0.274409129699
ACH-000082,-0.21185980239500002
ACH-000085,-0.321043407496
ACH-000086,-0.6768418705410001
ACH-000087,-0.6307926024989999
ACH-000092,-0.414410066678
ACH-000095,-0.212251421924
ACH-000097,-0.19383521552400002
ACH-000098,-0.366591486418
ACH-000099,-0.47979459876100006
ACH-000108,-0.39829647104800003
ACH-000113,-0.55098716016
ACH-000115,-0.11295706259600001
ACH-000116,-0.257576587005
ACH-000118,-0.557361329526
ACH-000120,-0.259795333704
ACH-000123,-0.534025700757
ACH-000127,-0.608383139882
ACH-000128,-0.47876981094400006
ACH-000132,-0.323898127054
ACH-000133,-0.461518709367
ACH-000137,-0.47560679041500004
ACH-000138,-0.271724734799
ACH-000142,-0.423864460302
ACH-000143,-0.426620960003
ACH-000146,-0.305070515551
ACH-000148,-0.6980576808300001
ACH-000150,-0.7334586190260001
ACH-000152,-0.33190100873100004
ACH-000153,-0.43124165152800004
ACH-000159,-0.49525364723899995
ACH-000160,-0.589177091871
ACH-000163,-0.231030730544
ACH-000167,-0.378518291638
ACH-000168,0.013740809958500001
ACH-000169,-0.319322357527
ACH-000178,-0.354353804129
ACH-000182,-0.504322867479
ACH-000183,-0.41813881768600003
ACH-000188,-0.478793714045
ACH-000189,-0.34450601291199995
ACH-000190,-0.523903902497
ACH-000198,-0.35128917262500003
ACH-000204,-0.54233462137
ACH-000206,-0.38647016033
ACH-000207,-0.744710421375
ACH-000211,-0.24612929282200002
ACH-000215,-0.506331133669
ACH-000221,-0.691534981
ACH-000222,-0.26389913708900004
ACH-000223,-0.451447808874
ACH-000226,-0.268887799408
ACH-000227,-0.30496750864300004
ACH-000228,-0.220160198704
ACH-000231,-0.32251031022300003
ACH-000232,-0.050950996617800004
ACH-000233,-0.310728197271
ACH-000234,-0.41226651472900006
ACH-000235,-0.36829610039800004
ACH-000237,-0.194854427319
ACH-000238,-0.354768658037
ACH-000243,-0.30356699623100003
ACH-000244,-0.109345988379
ACH-000246,-0.262967789624
ACH-000248,-0.214614680199
ACH-000250,-0.207431502119
ACH-000251,-0.292018265472
ACH-000253,-0.291640518385
ACH-000255,-0.35612298883500004
ACH-000256,-0.269116707454
ACH-000257,-0.6160173932240001
ACH-000258,-0.185856748114
ACH-000259,-0.345997032888
ACH-000260,-0.435415922431
ACH-000261,-0.251698461702
ACH-000262,-0.39143149979599995
ACH-000263,-0.5572196928059999
ACH-000264,-0.240279998915
ACH-000265,-0.45145153572700003
ACH-000266,-0.163639579027
ACH-000272,-0.273264664381
ACH-000273,-0.234283403795
ACH-000274,-0.224104328558
ACH-000277,-0.38468347610799997
ACH-000278,-0.261827777953
ACH-000279,-0.284602921322
ACH-000280,-0.0964537752532
ACH-000281,-0.271886555735
ACH-000288,-0.621533021663
ACH-000291,-0.370204296091
ACH-000293,-0.26989203901299996
ACH-000294,-0.28336676086
ACH-000295,-0.157056909937
ACH-000296,-0.303815319822
ACH-000302,-0.34681336819700004
ACH-000304,-0.385906604159
ACH-000307,-0.332016137972
ACH-000308,-0.324670034775
ACH-000310,-0.171397977594
ACH-000311,-0.46752416135799996
ACH-000312,-0.344368544256
ACH-000315,-0.243556566448
ACH-000316,-0.520716495655
ACH-000317,-0.8569187194769999
ACH-000318,-0.295992968043
ACH-000319,-0.0716211626777
ACH-000320,-0.488846483442
ACH-000322,-0.640177556515
ACH-000323,-0.558660989004
ACH-000324,-0.132170453444
ACH-000329,-0.620921774435
ACH-000330,-0.265133176088
ACH-000331,-0.387769969553
ACH-000332,-0.19595084899
ACH-000334,-0.573040624004
ACH-000335,-0.689808584738
ACH-000336,-0.5557240851349999
ACH-000337,-0.160440720293
ACH-000339,-0.215091042733
ACH-000341,-0.467003330331
ACH-000348,-0.305275228625
