,IER3 (8870)
ACH-000004,-0.34503775202500003
ACH-000007,-0.40372270299699997
ACH-000009,-0.20904670163300001
ACH-000011,-0.39425299457400004
ACH-000012,-0.460232266246
ACH-000013,-0.301049394436
ACH-000014,-0.529394466798
ACH-000015,-0.206571835792
ACH-000017,-0.5656679454429999
ACH-000018,-0.129099281945
ACH-000019,-0.478028422586
ACH-000021,-0.115284268915
ACH-000022,-0.230087623985
ACH-000025,-0.0609782213941
ACH-000028,-0.637620502559
ACH-000030,-0.287037545615
ACH-000035,-0.364431265398
ACH-000036,-0.320989175317
ACH-000037,-0.33431277784499996
ACH-000039,-0.626947585945
ACH-000040,-0.0140876670221
ACH-000041,-0.40160518001
ACH-000042,-0.39770310098899997
ACH-000045,-0.23654037303599998
ACH-000047,-0.245467359479
ACH-000052,-0.160430127836
ACH-000053,-0.280656470295
ACH-000054,-0.2717469602
ACH-000055,-0.237861654408
ACH-000060,-0.497712122971
ACH-000067,-0.290972235315
ACH-000070,-0.36184261636500004
ACH-000075,-0.373310133257
ACH-000078,-0.44266687689999995
ACH-000082,-0.464902918891
ACH-000085,-0.31738722686099996
ACH-000086,-0.303874056414
ACH-000087,-0.24135172554200002
ACH-000092,-0.5281831237610001
ACH-000095,-0.44075669076800006
ACH-000097,-0.26219310781599997
ACH-000098,-0.163305974335
ACH-000099,-0.15300388920900002
ACH-000108,-0.308072644014
ACH-000113,-0.38586099757799996
ACH-000115,-0.5313264750410001
ACH-000116,-0.138774815689
ACH-000118,-0.297203913068
ACH-000120,-0.31608645915
ACH-000123,-0.274386907585
ACH-000127,-0.37450261403000007
ACH-000128,-0.16905994700100002
ACH-000132,-0.330862834202
ACH-000133,-0.47655551372599997
ACH-000137,-0.16303385910499998
ACH-000138,-0.17020708266100001
ACH-000142,-0.040504390364
ACH-000143,-0.623215686105
ACH-000146,-0.227835033157
ACH-000148,-0.25871861146200004
ACH-000150,-0.160868246351
ACH-000152,-0.29445749537
ACH-000153,-0.403739311626
ACH-000159,-0.21708353581099998
ACH-000160,-0.287503187709
ACH-000163,-0.213861028411
ACH-000167,-0.039350642696800005
ACH-000168,-0.311458237536
ACH-000169,-0.326501211197
ACH-000178,-0.07592029009760001
ACH-000182,-0.176286963734
ACH-000183,-0.217432948088
ACH-000188,-0.34890385725100004
ACH-000189,0.0189987774451
ACH-000190,0.0362664693878
ACH-000198,-0.221002051249
ACH-000204,-0.48827003458400003
ACH-000206,-0.287815941639
ACH-000207,-0.644431661052
ACH-000211,-0.253923836245
ACH-000215,-0.40510054970200005
ACH-000221,-0.23735360907699998
ACH-000222,-0.324056737926
ACH-000223,-0.330525929219
ACH-000226,-0.15790884032400002
ACH-000227,-0.0783914282107
ACH-000228,-0.425695486765
ACH-000231,-0.259882562919
ACH-000232,-0.256365099117
ACH-000233,-0.148854094192
ACH-000234,-0.37312873863799995
ACH-000235,-0.27130874849
ACH-000237,-0.17181824604200002
ACH-000238,-0.384053038425
ACH-000243,-0.299541627739
ACH-000244,-0.16353341767100002
ACH-000246,-0.32390205160999996
ACH-000248,-0.07917723978670001
ACH-000250,-0.417333871796
ACH-000251,-0.319432149778
ACH-000253,-0.293850216067
ACH-000255,-0.411685856016
ACH-000256,-0.370664357357
ACH-000257,-0.120251806341
ACH-000258,0.0979771776664
ACH-000259,-0.21529609135000002
ACH-000260,-0.3800903483
ACH-000261,-0.41460718225000004
ACH-000262,-0.33931390372299997
ACH-000263,-0.405956233913
ACH-000264,-0.389686077733
ACH-000265,-0.323038668141
ACH-000266,-0.375431803137
ACH-000272,-0.38692786707500004
ACH-000273,-0.393388080638
