,BRAT1 (221927)
ACH-000004,-0.345410942611
ACH-000007,-0.356010902693
ACH-000009,-0.7986558525949999
ACH-000011,-0.958553068859
ACH-000012,-0.850503027329
ACH-000013,-0.0249179437708
ACH-000014,-0.45362163412600004
ACH-000015,-0.109666006533
ACH-000017,-0.143504682813
ACH-000018,-0.493008848421
ACH-000019,-0.411613316029
ACH-000021,0.10451322677699999
ACH-000022,-0.549626307632
ACH-000025,-0.567772027121
ACH-000028,-1.09631687396
ACH-000030,-0.442176997849
ACH-000035,-0.923268043696
ACH-000036,-0.93347376445
ACH-000037,-0.827094565508
ACH-000039,0.0757492622882
ACH-000040,-0.72316980519
ACH-000041,-0.0713995376907
ACH-000042,-0.760026768129
ACH-000045,-0.100420729199
ACH-000047,-0.462951703667
ACH-000052,-0.388905370504
ACH-000053,-0.261989096347
ACH-000054,-0.19830279384
ACH-000055,-0.402844837893
ACH-000060,-1.00491543176
ACH-000067,-0.330952808564
ACH-000070,-0.356119580216
ACH-000075,-0.223918945005
ACH-000078,-0.5090321516040001
ACH-000082,-0.6438620972510001
ACH-000085,-0.151464985581
ACH-000086,-0.872261111083
ACH-000087,-0.368789050392
ACH-000092,-0.48459172933899997
ACH-000095,-0.09274254355900001
ACH-000097,-0.890530674916
ACH-000098,0.15388075427
ACH-000099,-0.343703935173
ACH-000108,-0.524618602988
ACH-000113,-0.520991741314
ACH-000115,-0.239129964635
ACH-000116,-0.38365379461800003
ACH-000118,-0.5595357336010001
ACH-000120,-0.588215635845
ACH-000123,-0.594388124042
ACH-000127,-0.998470386914
ACH-000128,-0.54648563751
ACH-000132,-0.34887307991800004
ACH-000133,-0.650279207785
ACH-000137,-0.537859649841
ACH-000138,-0.568077184657
ACH-000142,-0.363990114255
ACH-000143,-0.554955643394
ACH-000146,0.09317494711789999
ACH-000148,-0.873126330333
ACH-000150,-0.181691965691
ACH-000152,-0.862591716454
ACH-000153,-1.0410964520200001
ACH-000159,-1.0647849337200002
