,SNRPF (6636)
ACH-000004,-1.48275924312
ACH-000007,-1.78301453472
ACH-000009,-1.87033820292
ACH-000011,-1.7487056550799998
ACH-000012,-1.80759096773
ACH-000013,-1.997930974
ACH-000014,-1.8447129908400002
ACH-000015,-1.8557655119499998
ACH-000017,-1.7578019129
ACH-000018,-1.76124827752
ACH-000019,-2.13309114872
ACH-000021,-1.72559875377
ACH-000022,-2.1106965213900004
ACH-000025,-1.7684122335099999
ACH-000028,-1.63108530116
ACH-000030,-1.8651614257099998
ACH-000035,-1.2652020817899998
ACH-000036,-1.8814451083400001
ACH-000037,-2.48948768402
ACH-000039,-2.0161244794599997
ACH-000040,-1.7277378153299998
ACH-000041,-1.7332992354199999
ACH-000042,-1.7942617817700002
ACH-000045,-2.12765383632
ACH-000047,-1.93348175936
ACH-000052,-1.9776942318400001
ACH-000053,-1.86199091787
ACH-000054,-1.83541102745
ACH-000055,-1.69026144222
ACH-000060,-1.6495050773500002
ACH-000067,-1.73930657885
ACH-000070,-2.01498411634
ACH-000075,-1.42490094
ACH-000078,-2.08149904802
ACH-000082,-2.0080619972
ACH-000085,-1.5599199728600002
ACH-000086,-1.60939605479
ACH-000087,-1.3969532815999999
ACH-000092,-1.66300969174
ACH-000095,-2.14982439448
ACH-000097,-1.9415611802700001
ACH-000098,-1.75287177812
ACH-000099,-2.0238257110499998
ACH-000108,-1.79630497778
ACH-000113,-2.04571937384
ACH-000115,-2.02957447526
ACH-000116,-1.53863451377
ACH-000118,-1.66451934956
ACH-000120,-1.9567313918400002
ACH-000123,-1.95877882633
ACH-000127,-1.9536763495200002
ACH-000128,-1.9993000072599998
ACH-000132,-1.7543180303
ACH-000133,-1.5334354559999999
ACH-000137,-1.9956401839700002
ACH-000138,-1.68995855476
ACH-000142,-1.61810514974
ACH-000143,-1.86186408336
ACH-000146,-2.29784306005
ACH-000148,-2.1200404504
ACH-000150,-1.72353828896
ACH-000152,-1.6575216830500001
ACH-000153,-1.60814644467
ACH-000159,-2.00645546899
ACH-000160,-1.75968197995
ACH-000163,-1.9391595090599998
ACH-000167,-2.10095136396
ACH-000168,-1.59769835855
ACH-000169,-1.4846980412600002
ACH-000178,-1.71515921345
ACH-000182,-1.73625411143
ACH-000183,-1.92659527838
ACH-000188,-1.71318853566
ACH-000189,-1.5056920995899998
ACH-000190,-1.3286184431799999
ACH-000198,-2.05378583724
ACH-000204,-1.66649348753
ACH-000206,-1.83903693902
ACH-000207,-2.5154295442700003
ACH-000211,-1.5927800884799999
ACH-000215,-1.88541106585
ACH-000221,-2.0777907539
ACH-000222,-1.92151949235
ACH-000223,-1.9852995788499999
ACH-000226,-1.8147508607499998
ACH-000227,-1.9423139260799998
ACH-000228,-1.64049010481
ACH-000231,-1.45251864686
ACH-000232,-1.9624037087200001
ACH-000233,-1.8275828474
ACH-000234,-2.22635819878
ACH-000235,-1.9231101844799998
ACH-000237,-1.82103394818
ACH-000238,-1.9266976401499998
ACH-000243,-1.7032916718900002
ACH-000244,-1.9595250961900001
ACH-000246,-1.6770910629700002
ACH-000248,-1.6078047728799998
ACH-000250,-1.8387630160599997
ACH-000251,-1.4190273736
ACH-000253,-2.14144714312
ACH-000255,-1.59115390157
ACH-000256,-1.90589342498
ACH-000257,-2.0520423912
ACH-000258,-1.83087672656
ACH-000259,-1.95447064782
ACH-000260,-1.9252250198199998
ACH-000261,-1.7576286333099997
ACH-000262,-1.8690158328
ACH-000263,-1.72924273053
ACH-000264,-1.8519625657099998
ACH-000265,-1.773741829
ACH-000266,-1.81279488408
ACH-000272,-1.7488272345200002
ACH-000273,-1.99782674108
