,SHE (126669)
ACH-000004,-0.256234252109
ACH-000007,-0.288824087542
ACH-000009,-0.42815111917800003
ACH-000011,-0.41692352610600003
ACH-000012,-0.457667770771
ACH-000013,-0.238382258792
ACH-000014,-0.568886250982
ACH-000015,-0.16947450744000003
ACH-000017,-0.167021700585
ACH-000018,-0.6174535323
ACH-000019,-0.313264667575
ACH-000021,-0.414841927813
ACH-000022,-0.199260083532
ACH-000025,-0.387864621627
ACH-000028,-0.269300332007
ACH-000030,-0.257240128139
ACH-000035,-0.419752050936
ACH-000036,-0.245415074012
ACH-000037,-0.244761326698
ACH-000039,-0.27257662163199997
ACH-000040,-0.413916070777
ACH-000041,-0.20646972946800002
ACH-000042,-0.211098080988
ACH-000045,-0.223559513191
ACH-000047,-0.17904253131900003
ACH-000052,-0.483929736513
ACH-000053,-0.207315103939
ACH-000054,-0.0441425174266
ACH-000055,-0.601829214462
ACH-000060,-0.346749538224
ACH-000067,-0.14941511486099998
ACH-000070,-0.353006808156
ACH-000075,-0.24866883773600001
ACH-000078,-0.33562135138800003
ACH-000082,-0.277138565042
ACH-000085,-0.536295076228
ACH-000086,-0.37664867238399996
ACH-000087,-0.23064700122600001
ACH-000092,-0.335410263527
ACH-000095,-0.336678561739
ACH-000097,-0.376711925625
ACH-000098,-0.41470188904
ACH-000099,-0.190051655158
ACH-000108,-0.312340371869
ACH-000113,-0.19668535985399999
ACH-000115,-0.513585421536
ACH-000116,-0.255446324007
ACH-000118,-0.298756102536
ACH-000120,-0.15214293145899999
ACH-000123,-0.270990636895
ACH-000127,-0.236572094487
ACH-000128,-0.188617603158
ACH-000132,-0.275884914029
ACH-000133,-0.464016996209
ACH-000137,0.013798769887999999
ACH-000138,-0.139954036501
ACH-000142,-0.341633403776
ACH-000143,-0.22910289894699998
ACH-000146,-0.263433097124
ACH-000148,-0.320528974254
ACH-000150,-0.301918934102
ACH-000152,-0.24695859223400002
ACH-000153,-0.24467199734499998
ACH-000159,-0.353685647518
ACH-000160,-0.105291957189
ACH-000163,-0.40306269513400006
ACH-000167,0.0645822684665
ACH-000168,-0.228833627936
ACH-000169,-0.253550172384
ACH-000178,-0.21944992462299998
ACH-000182,-0.20233149546
ACH-000183,-0.185426810406
ACH-000188,-0.38318026506700004
ACH-000189,-0.655721522821
ACH-000190,-0.248021148913
ACH-000198,-0.32732181319200004
ACH-000204,-0.742255239901
ACH-000206,-0.550995224945
ACH-000207,-0.445017233158
ACH-000211,-0.22316556578299998
ACH-000215,-0.379416890793
ACH-000221,-0.190449520452
ACH-000222,-0.137108590749
ACH-000223,-0.20673171132100002
ACH-000226,-0.429502066449
ACH-000227,0.135143137539
ACH-000228,-0.261889906142
ACH-000231,-0.269634840117
ACH-000232,-0.465734709645
ACH-000233,-0.20565332280499998
ACH-000234,-0.274682048486
ACH-000235,-0.364124683033
ACH-000237,-0.35242457015100004
ACH-000238,-0.26315743295
ACH-000243,-0.23105986044500001
ACH-000244,-0.323949769028
ACH-000246,-0.394209743657
ACH-000248,-0.384460230478
ACH-000250,-0.267141938857
ACH-000251,-0.44974346960199996
ACH-000253,-0.255534905289
ACH-000255,-0.34513997770599997
ACH-000256,-0.401687881168
ACH-000257,-0.0976889999642
ACH-000258,-0.516470215148
ACH-000259,-0.273950237775
ACH-000260,-0.31380125369600004
ACH-000261,-0.19935968247299998
ACH-000262,-0.28638938632800004
ACH-000263,-0.17856726137099999
ACH-000264,-0.43823272935900004
ACH-000265,-0.18432878119600002
ACH-000266,-0.246356002716
ACH-000272,-0.372182846698
ACH-000273,-0.26577414889600004
ACH-000274,-0.233899871325
ACH-000277,-0.17461062613699999
ACH-000278,-0.28538228748399996
ACH-000279,-0.225694655378
ACH-000280,-0.31293520579399997
ACH-000281,-0.232913706928
ACH-000288,-0.330617737466
ACH-000291,-0.390205572012
ACH-000293,-0.38954818864699997
ACH-000294,-0.249126786584
ACH-000295,-0.430384425204
ACH-000296,-0.0339326421006
ACH-000302,-0.199826698107
ACH-000304,-0.21872770484999998
ACH-000307,-0.143843256831
ACH-000308,-0.37002807765100004
ACH-000310,-0.370341924321
ACH-000311,-0.258263861575
ACH-000312,-0.334351572504
ACH-000315,-0.40992610027099996
ACH-000316,-0.143093467921
ACH-000317,-0.319573252154
ACH-000318,-0.315256859294
ACH-000319,-0.44588330858099995
ACH-000320,-0.220244834108
ACH-000322,-0.175308630646
ACH-000323,-0.09743188773610001
ACH-000324,-0.400547453947
ACH-000329,-0.237632904893
ACH-000330,-0.23857441004500002
ACH-000331,-0.25921687723000003
ACH-000332,-0.339779237483
ACH-000334,-0.31756287124000004
ACH-000335,-0.332907151299
ACH-000336,-0.587692397497
ACH-000337,-0.138569014999
ACH-000339,-0.283104179963
ACH-000341,-0.116739421597
ACH-000348,-0.295812808224
ACH-000350,-0.453038413794
ACH-000352,-0.214737047531
ACH-000356,-0.43281016478999995
ACH-000361,-0.0311863430229
ACH-000362,-0.369987247503
ACH-000363,-0.419760367123
ACH-000364,-0.406805430749
ACH-000365,-0.242547105319
ACH-000366,-0.363636431083
ACH-000368,-0.147277209257
ACH-000374,-0.338702112383
ACH-000375,-0.0920562972232
ACH-000376,-0.285389790396
ACH-000381,-0.234770973651
ACH-000383,-0.337437415625
ACH-000387,-0.285433367717
ACH-000389,-0.354511134313
ACH-000390,-0.332008281511
ACH-000393,-0.0250317263258
ACH-000395,-0.235028422946
ACH-000397,-0.255641402149
ACH-000401,-0.151193105778
ACH-000402,-0.685228079727
ACH-000403,-0.245664085279
ACH-000404,-0.341925620247
ACH-000406,-0.20702728380199997
ACH-000407,-0.122674749882
ACH-000408,-0.45047686029399997
ACH-000410,-0.34331137265199996
ACH-000411,-0.39571015986
ACH-000414,-0.358749271709
ACH-000415,-0.188847336593
ACH-000416,-0.28708963367400003
ACH-000420,-0.435881792153
