,SPATA2L (124044)
ACH-000004,0.17374696907499998
ACH-000007,-0.143984479109
ACH-000009,-0.144852090948
ACH-000011,-0.102700004836
ACH-000012,-0.11669055295999999
ACH-000013,-0.120900247158
ACH-000014,-0.21844386343299999
ACH-000015,0.023236622685700002
ACH-000017,0.0996698543005
ACH-000018,-0.202790332895
ACH-000019,-0.0257648613067
ACH-000021,-0.15102146441
ACH-000022,-0.0153049770546
ACH-000025,-0.111742303894
ACH-000028,-0.28633678096
ACH-000030,-0.0795242328108
ACH-000035,0.045046295177600004
ACH-000036,-0.197921400237
ACH-000037,-0.14983892057499998
ACH-000039,-0.384666221638
ACH-000040,-0.0279887699339
ACH-000041,0.13395682464000003
ACH-000042,-0.11330725823799999
ACH-000045,-0.023774886979900003
ACH-000047,-0.150693013002
ACH-000052,-0.115130294174
ACH-000053,-0.15372922312
ACH-000054,-0.015626753806
ACH-000055,0.162359337959
ACH-000060,-0.140853157418
ACH-000067,0.25684418358399996
ACH-000070,-0.015138864213299998
ACH-000075,-0.0011503312775799999
ACH-000078,-0.013203609068200001
ACH-000082,-0.031575012961300004
ACH-000085,-0.17502151983
ACH-000086,-0.012607512085799999
ACH-000087,0.283788048933
ACH-000092,0.0799080296044
ACH-000095,-0.138969091099
ACH-000097,-0.139184917004
ACH-000098,-0.0105032923991
ACH-000099,-0.179133166362
ACH-000108,-0.37423625198
ACH-000113,-0.0736907975324
ACH-000115,0.112725614401
ACH-000116,0.0148540633111
ACH-000118,-0.055810232936300004
ACH-000120,0.0966211385451
ACH-000123,-0.0798239626189
ACH-000127,-0.07237467589260001
ACH-000128,-0.26286304628199997
ACH-000132,-0.115002490742
ACH-000133,-0.021264819602
ACH-000137,-0.14440449754100002
ACH-000138,-0.245576932425
ACH-000142,-0.119724403083
ACH-000143,0.0702844986565
ACH-000146,-0.18193169409499999
ACH-000148,-0.0103133656541
ACH-000150,-0.070527870263
ACH-000152,-0.227001185112
ACH-000153,0.33609863520000005
ACH-000159,0.0903425160933
ACH-000160,-0.135023594669
ACH-000163,0.12821674352600002
ACH-000167,0.101007382427
ACH-000168,-0.0770797106335
ACH-000169,-0.0538351290964
ACH-000178,-0.133573168001
ACH-000182,0.0212528808072
ACH-000183,-0.262033971333
ACH-000188,-0.133688713885
ACH-000189,0.340109470721
ACH-000190,-0.076601508827
ACH-000198,0.09913982214610001
ACH-000204,-0.149945640833
ACH-000206,-0.111728070377
ACH-000207,-0.24295526336999998
ACH-000211,-0.195502275756
ACH-000215,-0.00472140886041
ACH-000221,-0.251850029052
ACH-000222,-0.077575127604
ACH-000223,-0.0880413991656
