,BPNT1 (10380)
ACH-000004,-0.544862763308
ACH-000007,-0.27628259231999996
ACH-000009,-0.505555752174
ACH-000011,-0.302885524776
ACH-000012,-0.283902410827
ACH-000013,-0.0990485503211
ACH-000014,-0.534400653908
ACH-000015,-0.317775841889
ACH-000017,-0.43513050288599997
ACH-000018,-0.293682695993
ACH-000019,-0.22108039439899999
ACH-000021,-0.398904094309
ACH-000022,-0.374190296531
ACH-000025,-0.270396536078
ACH-000028,-0.42858193590000004
ACH-000030,-0.48126156500399997
ACH-000035,-0.256193725182
ACH-000036,-0.583136658598
ACH-000037,-0.370777783395
ACH-000039,-0.198899776584
ACH-000040,-0.408752905283
ACH-000041,-0.21293645367
ACH-000042,-0.369871253543
ACH-000045,-0.295017995027
ACH-000047,-0.411017749009
ACH-000052,-0.16395003808
ACH-000053,-0.571708927445
ACH-000054,-0.36795967411700004
ACH-000055,-0.39962888144000003
ACH-000060,-0.267298184357
ACH-000067,-0.401333880904
ACH-000070,-0.11391393379
ACH-000075,-0.43659287178499995
ACH-000078,-0.328901827294
ACH-000082,-0.335696231064
ACH-000085,-0.121948236951
ACH-000086,-0.181154215884
ACH-000087,-0.046018697300199994
ACH-000092,-0.262343230488
ACH-000095,-0.27267113701900003
ACH-000097,-0.36870646590499995
ACH-000098,-0.382843963369
ACH-000099,-0.214865593343
ACH-000108,-0.491693357614
ACH-000113,-0.437537716911
ACH-000115,-0.43189107482199995
ACH-000116,-0.215101569438
ACH-000118,-0.313866618697
ACH-000120,-0.501713461649
ACH-000123,-0.281010573171
ACH-000127,-0.306152937141
ACH-000128,-0.20746707624400001
ACH-000132,-0.264183491464
ACH-000133,-0.170681495117
ACH-000137,-0.261380301563
ACH-000138,-0.480840472918
ACH-000142,-0.619752894494
ACH-000143,-0.319075358347
ACH-000146,-0.28027723145
ACH-000148,-0.23766635277800002
ACH-000150,-0.17730161739300002
ACH-000152,-0.24953424413699998
ACH-000153,-0.1631329593
ACH-000159,-0.27942577044399997
ACH-000160,-0.449648555259
ACH-000163,-0.340852639453
ACH-000167,-0.12122054463300001
ACH-000168,-0.241717199996
ACH-000169,-0.356754363289
ACH-000178,-0.293309772609
ACH-000182,-0.263519812679
ACH-000183,-0.267337959494
ACH-000188,-0.261227320907
ACH-000189,-0.160406905624
ACH-000190,-0.19872211946600002
ACH-000198,-0.362701606221
ACH-000204,-0.190929642464
ACH-000206,-0.0100054862703
ACH-000207,-0.38471459076399994
ACH-000211,-0.11823451797399999
ACH-000215,-0.338463858168
ACH-000221,-0.0344429429309
ACH-000222,-0.49449218351499996
ACH-000223,-0.282479366949
ACH-000226,-0.39753933450499995
ACH-000227,-0.47656270013499996
