,UQCRB (7381)
ACH-000004,-0.602975732918
ACH-000007,-0.687825243809
ACH-000009,-0.546387132746
ACH-000011,-0.43898621898999995
ACH-000012,-0.644075598594
ACH-000013,-0.732467120393
ACH-000014,-0.9190463005600001
ACH-000015,-0.690384205917
ACH-000017,-0.5799002533609999
ACH-000018,-0.296072843807
ACH-000019,-0.654824282585
ACH-000021,-0.562298275686
ACH-000022,-0.524394452448
ACH-000025,-0.608730265251
ACH-000028,-0.516206687203
ACH-000030,-0.875536996814
ACH-000035,-0.637139699239
ACH-000036,-0.346446717984
ACH-000037,-0.561737054244
ACH-000039,-0.574480590797
ACH-000040,-0.515297443024
ACH-000041,-0.62226091993
ACH-000042,-0.177512839117
ACH-000045,-0.50456884656
ACH-000047,-0.909446909309
ACH-000052,-0.635683345739
ACH-000053,-0.693506789464
ACH-000054,-0.929978337871
ACH-000055,-0.65265399339
ACH-000060,-0.47717806691299997
ACH-000067,-0.436085752133
ACH-000070,-0.552955477183
ACH-000075,-0.388996348747
ACH-000078,-0.573535302685
ACH-000082,-0.46764941898
ACH-000085,-0.36143087858
ACH-000086,-0.6839148650200001
ACH-000087,-0.736078516502
ACH-000092,-0.6159039945629999
ACH-000095,-0.266062533386
ACH-000097,-0.502598571714
ACH-000098,-0.481166199392
ACH-000099,-0.612384878585
ACH-000108,-0.332159016497
ACH-000113,-0.579673609528
ACH-000115,-0.497692997
ACH-000116,-0.61938212774
ACH-000118,-0.764381277742
ACH-000120,-0.441207628944
ACH-000123,-0.736666620855
ACH-000127,-0.754150316936
ACH-000128,-0.657482205595
ACH-000132,-0.528404245811
ACH-000133,-0.593724978679
ACH-000137,-0.234044836237
ACH-000138,-0.634797872124
ACH-000142,-0.44703936229400004
ACH-000143,-0.595691100838
ACH-000146,-0.6820864363079999
ACH-000148,-0.695532446826
ACH-000150,-1.09363665864
ACH-000152,-0.678770885155
ACH-000153,-0.638996277216
ACH-000159,-0.7412677047859999
ACH-000160,-0.727251945985
ACH-000163,-0.520795826965
ACH-000167,-0.15485001409399998
ACH-000168,-0.602276623633
ACH-000169,-0.537699186471
ACH-000178,-0.378587404062
ACH-000182,-0.946972768732
ACH-000183,-0.620166366578
ACH-000188,-0.470292488045
ACH-000189,-0.7000826642899999
ACH-000190,-0.507208329568
ACH-000198,-0.680160926013
