,LCE2C (353140)
ACH-000004,0.048207136459599995
ACH-000007,-0.461055343041
ACH-000009,-0.234439237324
ACH-000011,-0.181983631087
ACH-000012,-0.165704924877
ACH-000013,-0.121889014444
ACH-000014,-0.22920652555999999
ACH-000015,-0.17294979162000002
ACH-000017,-0.19439639243700002
ACH-000018,-0.127712309426
ACH-000019,-0.318710611274
ACH-000021,-0.136190605912
ACH-000022,-0.15702289884
ACH-000025,-0.138329099878
ACH-000028,-0.18922957577500002
ACH-000030,-0.119372886851
ACH-000035,-0.017191163616099996
ACH-000036,-0.055982224275
ACH-000037,-0.149125357101
ACH-000039,-0.034647291232800005
ACH-000040,-0.154661165079
ACH-000041,-0.0633615888359
ACH-000042,-0.008319662711479998
ACH-000045,-0.194048790247
ACH-000047,-0.07082994418819999
ACH-000052,-0.18650584128800002
ACH-000053,-0.126261544485
ACH-000054,-0.202750725309
ACH-000055,-0.067931084773
ACH-000060,-0.151052115782
ACH-000067,-0.133295647894
ACH-000070,-0.11921589287
ACH-000075,-0.049770427778599996
ACH-000078,-0.402323863555
ACH-000082,0.0307856355805
ACH-000085,-0.19895485947500002
ACH-000086,-0.137524228584
ACH-000087,-0.07349020419430001
ACH-000092,-0.234691496144
ACH-000095,-0.24021075039700002
ACH-000097,-0.263314298088
ACH-000098,-0.353506129142
ACH-000099,-0.137355359165
ACH-000108,0.0609692335865
ACH-000113,-0.132175354991
ACH-000115,-0.238778752584
ACH-000116,-0.144624565304
ACH-000118,-0.0177905366078
ACH-000120,-0.18932470357700001
ACH-000123,-0.114834114286
ACH-000127,-0.19340411289099999
ACH-000128,-0.362767239093
ACH-000132,-0.215391520115
ACH-000133,-0.225018317693
ACH-000137,-0.155918830252
ACH-000138,-0.016121583967200002
ACH-000142,0.0480743858888
ACH-000143,-0.11287584911599999
ACH-000146,-0.0681432288667
ACH-000148,-0.165525896651
ACH-000150,-0.237767100836
ACH-000152,-0.185484949045
ACH-000153,0.0646318498223
ACH-000159,-0.269365000879
ACH-000160,-0.106795353339
ACH-000163,-0.273585243245
ACH-000167,-0.262545271301
ACH-000168,-0.148986141446
ACH-000169,-0.24680434982299998
ACH-000178,-0.22851135198199998
ACH-000182,0.022152492899599998
ACH-000183,-0.10053655627000001
ACH-000188,-0.268108190601
ACH-000189,-0.211889965873
ACH-000190,-0.054564248947599994
ACH-000198,-0.08944643994439999
ACH-000204,-0.536651581151
ACH-000206,-0.24724672022799998
