,LANCL2 (55915)
ACH-000004,0.0463630062208
ACH-000007,0.140540787461
ACH-000009,-0.0324822936225
ACH-000011,0.132274803189
ACH-000012,-0.391266090453
ACH-000013,0.187802023712
ACH-000014,0.13264212017000002
ACH-000015,0.114012834509
ACH-000017,0.17903447938099998
ACH-000018,0.310427181534
ACH-000019,0.0750137532956
ACH-000021,0.120567465276
ACH-000022,0.0906715307294
ACH-000025,0.21406741562399997
ACH-000028,0.32510622623
ACH-000030,0.054873026493100004
ACH-000035,-0.0169976358298
ACH-000036,0.0839998137047
ACH-000037,0.10122206967
ACH-000039,0.147179980976
ACH-000040,0.0161613343102
ACH-000041,0.0300609390238
ACH-000042,0.046438478372400005
ACH-000045,0.041293269573900004
ACH-000047,0.12071886936
ACH-000052,0.00704019360092
ACH-000053,0.08318781437910001
ACH-000054,0.13700859369899998
ACH-000055,0.137533760322
ACH-000060,0.105983248242
ACH-000067,0.0189682636069
ACH-000070,0.162934917962
ACH-000075,0.17405492365699998
ACH-000078,0.135606377202
ACH-000082,0.09818601147389999
ACH-000085,-0.172594359726
ACH-000086,0.228592738217
ACH-000087,0.20837870299800001
ACH-000092,0.145565104943
ACH-000095,0.134704704136
ACH-000097,0.14857897337200002
ACH-000098,0.26345068591
ACH-000099,0.049862709195699996
ACH-000108,0.011559952193799999
ACH-000113,0.08182896654710001
ACH-000115,0.23180499174600003
ACH-000116,0.164145377209
ACH-000118,0.17783353341
ACH-000120,0.0296741591518
ACH-000123,-0.00683074386812
ACH-000127,0.104211567182
ACH-000128,0.0165011402529
ACH-000132,0.41850764155599995
ACH-000133,0.0497209439015
ACH-000137,0.0280073397035
ACH-000138,0.26680701688499997
ACH-000142,-0.0846865235438
ACH-000143,-0.17963363567600002
ACH-000146,0.024819829605900002
ACH-000148,0.151843722584
ACH-000150,0.320646182051
ACH-000152,0.138606895018
ACH-000153,-0.0675918266091
ACH-000159,0.0341740284126
ACH-000160,-0.0274092395845
ACH-000163,0.14852260351399998
ACH-000167,0.0643763683481
ACH-000168,-0.134885080648
ACH-000169,0.266087638982
ACH-000178,0.150015634083
ACH-000182,-0.0135688912047
ACH-000183,-0.000572035567299
ACH-000188,-0.0164135113307
ACH-000189,-0.0968941395347
ACH-000190,-0.09585469711200001
ACH-000198,0.0651684641679
ACH-000204,0.0570810844087
ACH-000206,0.177123524386
