,SPPL2A (84888)
ACH-000004,0.0542092961644
ACH-000007,0.25685305904800004
ACH-000009,0.29909988077
ACH-000011,0.332169435761
ACH-000012,0.236926050028
ACH-000013,0.295931746578
ACH-000014,0.34000727790299995
ACH-000015,0.341012637198
ACH-000017,0.24883765296100002
ACH-000018,0.397709890016
ACH-000019,0.52544073905
ACH-000021,0.313233662958
ACH-000022,0.392720142926
ACH-000025,0.37157614738600003
ACH-000028,0.375506811593
ACH-000030,0.384744035659
ACH-000035,0.304415106656
ACH-000036,0.387023229617
ACH-000037,0.512128497207
ACH-000039,0.429882707296
ACH-000040,0.49022997723300005
ACH-000041,0.426475983496
ACH-000042,0.289787466796
ACH-000045,0.250065724875
ACH-000047,0.40848497674999995
ACH-000052,0.183704721422
ACH-000053,-0.0464679001101
ACH-000054,0.335554099726
ACH-000055,0.40322774274000006
ACH-000060,0.466687778296
ACH-000067,0.12958056412900001
ACH-000070,0.285214722461
ACH-000075,0.220267295653
ACH-000078,0.41072301125
ACH-000082,0.289057355435
ACH-000085,0.454872611647
ACH-000086,0.35312093972099995
ACH-000087,0.506814100921
ACH-000092,0.37230705235699996
ACH-000095,0.376417607376
ACH-000097,0.285408581632
ACH-000098,0.343205047901
ACH-000099,0.442662461457
ACH-000108,0.271977457518
ACH-000113,0.293345819385
ACH-000115,0.368423694573
ACH-000116,0.23660042170499998
ACH-000118,0.29276837908799996
ACH-000120,0.339518134677
ACH-000123,0.297543044574
ACH-000127,0.371877082339
ACH-000128,0.43125185853299997
ACH-000132,0.175406784548
ACH-000133,0.293301976101
ACH-000137,0.36827015842699995
ACH-000138,0.259330817933
ACH-000142,0.43580300972099995
ACH-000143,0.382910256468
ACH-000146,0.340972175154
ACH-000148,0.261405248474
ACH-000150,0.227114160618
ACH-000152,0.272115451265
ACH-000153,0.00643363807463
ACH-000159,0.39043081312399996
ACH-000160,0.324475931915
ACH-000163,0.317867895648
ACH-000167,0.480921990185
ACH-000168,0.07791296371050001
ACH-000169,0.43725855772
ACH-000178,0.332386508528
ACH-000182,0.294755522689
ACH-000183,0.458288974034
ACH-000188,0.317564506409
ACH-000189,0.312077079921
ACH-000190,0.288364860414
ACH-000198,0.180453663158
ACH-000204,0.260706084435
ACH-000206,0.397577910366
ACH-000207,0.236959258437
ACH-000211,0.29079401452500003
ACH-000215,0.545637712018
ACH-000221,0.234078043919
ACH-000222,0.27541147734099997
ACH-000223,0.275379361511
ACH-000226,0.253578697471
