,VEZT (55591)
ACH-000004,-0.307058462763
ACH-000007,-0.620343975777
ACH-000009,-0.897266091585
ACH-000011,-0.631675173158
ACH-000012,-0.640274116039
ACH-000013,-0.418075654028
ACH-000014,-0.457389452039
ACH-000015,-0.546088963917
ACH-000017,-0.37551196109800006
ACH-000018,-0.551224999787
ACH-000019,-0.404151792402
ACH-000021,-0.326094305929
ACH-000022,-0.312414700131
ACH-000025,-0.696554071155
ACH-000028,-0.449313342503
ACH-000030,-0.7821906824250001
ACH-000035,-0.560229075049
ACH-000036,-0.646443839344
ACH-000037,-0.591820085251
ACH-000039,-0.571433544793
ACH-000040,-0.734795136846
ACH-000041,-0.33113650396
ACH-000042,-0.775382913361
ACH-000045,-0.657402188844
ACH-000047,-0.37792536238799995
ACH-000052,-0.842400681852
ACH-000053,-0.26138343900600003
ACH-000054,-0.435913498521
ACH-000055,-0.68535449377
ACH-000060,-0.728280561751
ACH-000067,-0.994373447448
ACH-000070,-0.40618226829099996
ACH-000075,-0.6614993049669999
ACH-000078,-0.928365958246
ACH-000082,-0.519230679953
ACH-000085,-0.939647836848
ACH-000086,-0.864088741598
ACH-000087,-0.48714699784500004
ACH-000092,-0.664315479836
ACH-000095,-0.600980610489
ACH-000097,-0.42309764818400003
ACH-000098,-0.5370714704649999
ACH-000099,-0.515205853057
ACH-000108,-0.401852928338
ACH-000113,-0.45678421816500003
ACH-000115,-0.356839606415
ACH-000116,-0.511294434479
ACH-000118,-0.732779141806
ACH-000120,-0.548283589567
ACH-000123,-0.657723080382
ACH-000127,-0.7430087289890001
ACH-000128,-0.6945565538390001
ACH-000132,-0.512618977944
ACH-000133,-0.676927122164
ACH-000137,-0.457484751334
ACH-000138,-0.574593330494
ACH-000142,-0.538402027188
ACH-000143,-0.5845610230789999
ACH-000146,-0.295546016832
ACH-000148,-0.517189643723
ACH-000150,-0.817753257552
ACH-000152,-0.784806200307
ACH-000153,-0.871293760313
ACH-000159,-0.09731839458460001
ACH-000160,-0.65028774008
ACH-000163,-0.546000919679
ACH-000167,-0.46706721171300003
ACH-000168,-0.499778432763
ACH-000169,-0.421881640551
ACH-000178,-0.450391102771
ACH-000182,-0.528926790726
ACH-000183,-0.468984122913
ACH-000188,-0.6479797556
ACH-000189,-0.375349954176
ACH-000190,-0.8541768403929999
ACH-000198,-0.618000855976
ACH-000204,-0.48890049131700003
ACH-000206,-0.45775672950900004
ACH-000207,-0.8163431762450001
ACH-000211,-0.6016284397199999
ACH-000215,-0.663458639178
ACH-000221,-0.311653262694
ACH-000222,-0.401282290003
ACH-000223,-0.713347635903
ACH-000226,-0.5841143599409999
ACH-000227,-0.529222891141
ACH-000228,-0.31594348849
ACH-000231,-1.03648103287
ACH-000232,-0.838141653037
ACH-000233,-0.525872115188
ACH-000234,-0.971221799397
