,MLX (6945)
ACH-000004,-0.55264321067
ACH-000007,-0.00913921725598
ACH-000009,-0.735998893805
ACH-000011,-0.5901866797959999
ACH-000012,-0.617942613475
ACH-000013,-0.364996658021
ACH-000014,-0.453121264354
ACH-000015,-0.34399529032700005
ACH-000017,-0.21420679372999998
ACH-000018,-0.508015658993
ACH-000019,-0.0305034150971
ACH-000021,-0.23290543957499998
ACH-000022,-0.39753243425499996
ACH-000025,-0.346790375521
ACH-000028,-0.27175077983199997
ACH-000030,-0.300555602738
ACH-000035,-0.477693420195
ACH-000036,-0.259401536727
ACH-000037,0.104816786417
ACH-000039,-0.446988818746
ACH-000040,-0.293521046805
ACH-000041,-0.595944994128
ACH-000042,-0.461861716669
ACH-000045,-0.6427848352059999
ACH-000047,-0.473370982199
ACH-000052,0.343535785621
ACH-000053,-0.26278331501400004
ACH-000054,-0.188409635132
ACH-000055,-0.46658338166100005
ACH-000060,-0.28202222688
ACH-000067,-0.349346828419
ACH-000070,-0.011634430819399999
ACH-000075,-0.6689613181399999
ACH-000078,-0.460151284719
ACH-000082,-0.35727263324
ACH-000085,-0.18567091819899997
ACH-000086,-0.404877014127
ACH-000087,-0.47487903307499996
ACH-000092,-0.18410569303399998
ACH-000095,-0.400292561913
ACH-000097,-0.337222251024
ACH-000098,-0.276704402378
ACH-000099,-0.448271546069
ACH-000108,-0.396120228477
ACH-000113,-0.5395538208489999
ACH-000115,-0.306942530534
ACH-000116,-0.237133961449
ACH-000118,-0.264065889516
ACH-000120,-0.537862143737
ACH-000123,-0.302573787073
ACH-000127,-0.34052490706
ACH-000128,-0.471943007887
ACH-000132,-0.386313893679
ACH-000133,-0.104803819625
ACH-000137,-0.15861465450200002
ACH-000138,-0.5989880196
ACH-000142,-0.324080696771
ACH-000143,-0.0311158922645
ACH-000146,-0.5360067846859999
ACH-000148,-0.35444458464199996
ACH-000150,-0.556557267002
ACH-000152,-0.198653487285
ACH-000153,-0.081630169253
ACH-000159,-0.603203876244
ACH-000160,-0.36391532971100005
ACH-000163,-0.20859698828099998
ACH-000167,0.074129799815
ACH-000168,-0.140008512227
ACH-000169,-0.334233607592
ACH-000178,-0.207427866906
ACH-000182,-0.28440250809900003
ACH-000183,-0.216740389195
ACH-000188,-0.329891935674
ACH-000189,-0.553546773932
ACH-000190,-0.40376466579400005
ACH-000198,-0.332017341505
ACH-000204,-0.22064083893800002
ACH-000206,-0.171026302925
ACH-000207,-0.144421798879
ACH-000211,-0.367990098566
ACH-000215,-0.232927121557
ACH-000221,-0.415096642537
ACH-000222,-0.75187942488
ACH-000223,-0.178204951142
ACH-000226,-0.212092784234
ACH-000227,-0.41459575557899997
ACH-000228,-0.371966266124
ACH-000231,-0.34142786916100004
ACH-000232,-0.348801158391
ACH-000233,-0.368900855128
ACH-000234,-0.37664516071099996
ACH-000235,-0.44903460743100004
ACH-000237,-0.19043073810800001
ACH-000238,-0.565440164395
ACH-000243,-0.633067121782
ACH-000244,-0.11561736730799999
ACH-000246,-0.10129988182
ACH-000248,-0.20931319878899998
ACH-000250,-0.37274132248999997
ACH-000251,-0.137059506635
ACH-000253,-0.215197893475
ACH-000255,-0.242927481587
ACH-000256,-0.592105859514
ACH-000257,-0.410323694955
ACH-000258,-0.46835343674099994
ACH-000259,-0.344135348207
ACH-000260,-0.20846473709199997
ACH-000261,-0.19208741130399998
ACH-000262,0.07517575854519999
ACH-000263,-0.5069881196980001
ACH-000264,-0.251809371367
ACH-000265,-0.39365901470700004
ACH-000266,-0.42107504993600003
ACH-000272,-0.39321098002300003
ACH-000273,-0.16945519017400001
ACH-000274,-0.494703066167
ACH-000277,-0.39641588405999995
ACH-000278,-0.250498306101
ACH-000279,-0.42240254727399995
ACH-000280,-0.296044596042
ACH-000281,-0.402802120362
ACH-000288,-0.4697154448
ACH-000291,-0.289601375168
ACH-000293,-0.383351465623
ACH-000294,-0.345958480437
ACH-000295,-0.359297136914
ACH-000296,-0.212515289343
ACH-000302,-0.378021768341
ACH-000304,-0.514876337397
ACH-000307,-0.28614991155999997
ACH-000308,-0.303032862099
ACH-000310,-0.25733750196
ACH-000311,-0.335636635894
ACH-000312,-0.388917874348
ACH-000315,-0.215588510999
ACH-000316,-0.575770585079
ACH-000317,-0.0519131819272
ACH-000318,-0.437463369133
ACH-000319,-0.512393667182
ACH-000320,-0.604584013274
ACH-000322,-0.419376533622
ACH-000323,-0.418642517274
ACH-000324,-0.453390625255
ACH-000329,-0.217932612693
ACH-000330,-0.372653648271
ACH-000331,-0.245588096576
ACH-000332,-0.468983569689
ACH-000334,-0.270450993339
ACH-000335,-0.136609868874
ACH-000336,-0.0633994527591
ACH-000337,-0.44652204291599995
ACH-000339,-0.25060145368299996
ACH-000341,-0.20568326614
ACH-000348,-0.201756997025
ACH-000350,-0.6041599511860001
ACH-000352,-0.496309588208
ACH-000356,-0.269871215471
ACH-000361,-0.404494321452
ACH-000362,-0.51778903648
ACH-000363,-0.31276013366
ACH-000364,-0.327060469048
ACH-000365,-0.32750094686000003
ACH-000366,-0.411348019939
ACH-000368,-0.18991822033599998
