,ADPGK (83440)
ACH-000004,0.298124006453
ACH-000007,-0.0376008101802
ACH-000009,-0.137426976721
ACH-000011,0.005210573743270001
ACH-000012,-0.0696319302417
ACH-000013,-0.0800615263457
ACH-000014,0.0402551757416
ACH-000015,0.113370644837
ACH-000017,0.00268505149499
ACH-000018,0.21457744888
ACH-000019,-0.0127281054831
ACH-000021,0.0159514307814
ACH-000022,-0.000733645187479
ACH-000025,-0.0921916916641
ACH-000028,0.0595092273764
ACH-000030,-0.168997887855
ACH-000035,0.137515479166
ACH-000036,-0.08328647030839999
ACH-000037,0.0248270107065
ACH-000039,-0.0328761767383
ACH-000040,-0.00793240073878
ACH-000041,-0.0134109963154
ACH-000042,0.0142710817891
ACH-000045,-0.00830941977382
ACH-000047,-0.07725342686
ACH-000052,-0.336101063727
ACH-000053,0.085438876141
ACH-000054,-0.0626116585932
ACH-000055,-0.027858855009400003
ACH-000060,-0.154782399733
ACH-000067,-0.0541654898563
ACH-000070,-0.14748334928600002
ACH-000075,-0.159575285186
ACH-000078,-0.12932253021600001
ACH-000082,-0.00557399791063
ACH-000085,0.12366065004
ACH-000086,-0.0309219904434
ACH-000087,0.0495989017531
ACH-000092,-0.177563780788
ACH-000095,-0.0193480090649
ACH-000097,0.179280762118
ACH-000098,-0.0336181880512
ACH-000099,-0.016506660099200002
ACH-000108,-0.0531937273938
ACH-000113,0.0187375184721
ACH-000115,-0.166774582373
ACH-000116,-0.110628965777
ACH-000118,0.022304354317099997
ACH-000120,-0.145159505135
ACH-000123,-0.010379593730700002
ACH-000127,0.012774203659600001
ACH-000128,-0.17107908469500002
ACH-000132,-0.027268583444400002
ACH-000133,-0.09810441300969999
ACH-000137,-0.253992851096
ACH-000138,0.152754008751
ACH-000142,0.0655846965225
ACH-000143,-0.011023604802600001
ACH-000146,0.138733417598
ACH-000148,0.027152693326400003
ACH-000150,-0.014133315890299999
ACH-000152,0.179124960229
ACH-000153,-0.237013126567
ACH-000159,0.060475865825199995
ACH-000160,-0.0631955640732
ACH-000163,-0.06587200370730001
ACH-000167,-0.395259471431
ACH-000168,-0.08406366994010002
ACH-000169,0.124852947107
ACH-000178,-0.0971412330962
ACH-000182,-0.055085959067699995
ACH-000183,0.00876265030432
ACH-000188,-0.0201331115366
ACH-000189,0.43018139193800004
ACH-000190,-0.0691383646859
ACH-000198,-0.0298429749107
ACH-000204,0.026994953827499998
ACH-000206,-0.16086096199799998
ACH-000207,0.39578721052
ACH-000211,-0.057194758578
ACH-000215,0.013182061625899999
ACH-000221,-0.11596078255
ACH-000222,-0.00516041935062
ACH-000223,0.018964929731599998
ACH-000226,0.060563033793199994
ACH-000227,-0.166626353922
ACH-000228,-0.0656926819661
ACH-000231,-0.05517642482000001
ACH-000232,-0.061233722776499994
ACH-000233,-0.0131978380454
ACH-000234,0.153026428573
ACH-000235,-0.103031635567
ACH-000237,-0.837040744445
ACH-000238,-0.0386254598334
ACH-000243,-0.06976416072910001
ACH-000244,0.0777254893243
