,HLA-G (3135)
ACH-000004,-0.41933280851800003
ACH-000007,-0.0158049545001
ACH-000009,-0.158049416867
ACH-000011,-0.160270446083
ACH-000012,-0.277469625213
ACH-000013,-0.165625124893
ACH-000014,-0.3428988303
ACH-000015,-0.10821817287
ACH-000017,-0.29377037376
ACH-000018,0.005764015743380001
ACH-000019,-0.374246165211
ACH-000021,-0.17446577479699998
ACH-000022,-0.107480382321
ACH-000025,-0.182928012605
ACH-000028,-0.0194865749985
ACH-000030,-0.184707561753
ACH-000035,-0.0495295728988
ACH-000036,-0.183635326092
ACH-000037,-0.316470665228
ACH-000039,-0.538802773142
ACH-000040,-0.456826700272
ACH-000041,-0.296901679054
ACH-000042,-0.059894634008
ACH-000045,-0.372929775449
ACH-000047,-0.17233054163
ACH-000052,0.00251004538155
ACH-000053,-0.35317514024700003
ACH-000054,-0.128616315849
ACH-000055,-0.329271275863
ACH-000060,-0.542730891836
ACH-000067,-0.49416921177
ACH-000070,-0.230519236644
ACH-000075,-0.0253997397579
ACH-000078,-0.269954351508
ACH-000082,-0.18069944540600003
ACH-000085,-0.24609693320599998
ACH-000086,-0.291958108507
ACH-000087,-0.417958293625
ACH-000092,-0.131651145721
ACH-000095,-0.38804123666999996
ACH-000097,-0.253479788795
ACH-000098,-0.27281451573300003
ACH-000099,-0.168603678184
ACH-000108,-0.10033643889900001
ACH-000113,-0.154210341059
ACH-000115,-0.412712244129
ACH-000116,-0.102263457451
ACH-000118,-0.08675908560789998
ACH-000120,-0.33809651477700003
ACH-000123,0.0507739686393
ACH-000127,-0.242384916439
ACH-000128,-0.222586783971
ACH-000132,0.04799745610640001
ACH-000133,-0.143849789493
ACH-000137,-0.300798816829
ACH-000138,-0.36172598644500004
ACH-000142,-0.0400444371828
ACH-000143,-0.118126223376
ACH-000146,-0.19203700243299998
ACH-000148,-0.136918992121
ACH-000150,-0.037081154909699994
ACH-000152,-0.330476881363
ACH-000153,-0.2287412809
ACH-000159,-0.316471919509
ACH-000160,-0.286978933169
ACH-000163,-0.06239970982000001
ACH-000167,-0.44443575717600003
ACH-000168,-0.317689426135
ACH-000169,-0.30511528547600003
ACH-000178,-0.118353305573
ACH-000182,-0.229920755556
ACH-000183,-0.10585548838400001
ACH-000188,-0.12846717962
ACH-000189,-0.19586599298300003
ACH-000190,-0.24884932548900002
ACH-000198,-0.19779097555300001
ACH-000204,0.0186746582217
ACH-000206,-0.28164459260499997
ACH-000207,-0.40188510627499996
ACH-000211,-0.213259333992
ACH-000215,-0.284601241839
ACH-000221,-0.044053507374999995
ACH-000222,-0.21781100812600002
ACH-000223,-0.211365605422
ACH-000226,-0.015115928222700001
ACH-000227,-0.16090519326400002
ACH-000228,-0.501632427179
ACH-000231,-0.207575511641
ACH-000232,-0.17245157696600003
ACH-000233,-0.196876334062
ACH-000234,-0.15433995055400002
ACH-000235,-0.23105114000399998
ACH-000237,-0.302439522663
ACH-000238,-0.045236166220800005
ACH-000243,-0.12581525678
ACH-000244,-0.2511576995
ACH-000246,-0.263871384098
ACH-000248,-0.421098103173
ACH-000250,-0.275813287401
ACH-000251,-0.265045826922
ACH-000253,-0.12091568291799999
ACH-000255,-0.117409275238
ACH-000256,-0.148084434844
ACH-000257,0.0851459190021
ACH-000258,-0.378792358202
ACH-000259,-0.14847464104699998
ACH-000260,-0.198857062928
ACH-000261,-0.0102558771856
ACH-000262,0.08024879414410001
ACH-000263,-0.18628021318500002
ACH-000264,-0.133622334576
ACH-000265,-0.14086562469699998
ACH-000266,-0.215433195584
ACH-000272,-0.233879844271
ACH-000273,0.046286442219900005
ACH-000274,-0.30437399282
ACH-000277,-0.0784221106015
ACH-000278,-0.0924052840745
ACH-000279,-0.244084069001
ACH-000280,-0.37900760665100003
ACH-000281,-0.188624124488
ACH-000288,-0.0969842737208
ACH-000291,-0.0681548925252
ACH-000293,-0.0843450527674
ACH-000294,-0.0557006166526
ACH-000295,-0.11975469019000001
ACH-000296,0.0125749593466
ACH-000302,-0.162592683563
ACH-000304,-0.020094655255
ACH-000307,-0.16373263303
ACH-000308,-0.0987909782168
ACH-000310,-0.172259533022
ACH-000311,-0.1794694827
ACH-000312,-0.049167948259699994
ACH-000315,-0.36114217043200003
ACH-000316,-0.23074437800099998
ACH-000317,-0.171475776607
ACH-000318,-0.230452490482
ACH-000319,-0.09823869601089999
ACH-000320,0.106839710068
ACH-000322,-0.014643690464
ACH-000323,0.009525264344879998
ACH-000324,-0.079477350865
