,STIL (6491)
ACH-000004,-0.62379998507
ACH-000007,-0.6944306856069999
ACH-000009,-0.94119226412
ACH-000011,-0.944989760058
ACH-000012,-0.969874210635
ACH-000013,-1.08215845989
ACH-000014,-0.6909797900669999
ACH-000015,-0.887641432031
ACH-000017,-0.9437773749889999
ACH-000018,-0.877865139659
ACH-000019,-0.8087216879860001
ACH-000021,-0.961190231303
ACH-000022,-1.09083603531
ACH-000025,-0.525582063195
ACH-000028,-0.90398904116
ACH-000030,-0.882626736938
ACH-000035,-0.847140875183
ACH-000036,-0.616111290518
ACH-000037,-0.415877269968
ACH-000039,-0.6245877442059999
ACH-000040,-0.256401619565
ACH-000041,-0.692313478678
ACH-000042,-1.09875672008
ACH-000045,-0.7540317951180001
ACH-000047,-0.52062957503
ACH-000052,-0.743723502278
ACH-000053,-0.94077268365
ACH-000054,-0.808612962872
ACH-000055,-0.724973705658
ACH-000060,-0.8937926642470001
ACH-000067,-0.487894350175
ACH-000070,-0.592571933966
ACH-000075,-0.215188162461
ACH-000078,-0.622715082784
ACH-000082,-0.691362120374
ACH-000085,-0.842041239568
ACH-000086,-0.5751553636869999
ACH-000087,-0.622471997451
ACH-000092,-0.48680518933300004
ACH-000095,-0.8371067467859999
ACH-000097,-0.99111660255
ACH-000098,-0.706800133624
ACH-000099,-0.6760089527600001
ACH-000108,-0.761331591954
ACH-000113,-0.737927954695
ACH-000115,-1.09972047767
ACH-000116,-0.8982167796989999
ACH-000118,-0.75043841272
ACH-000120,-1.0744377086499999
ACH-000123,-0.6570725603109999
ACH-000127,-0.844292417089
ACH-000128,-0.494913923049
ACH-000132,-0.630521003189
ACH-000133,-0.454867063003
ACH-000137,-0.84724005803
ACH-000138,-0.9738965857870001
ACH-000142,-0.682587206145
ACH-000143,-0.82680519972
ACH-000146,-0.354207802328
ACH-000148,-0.694782206603
ACH-000150,-0.710944582729
ACH-000152,-0.521989904993
ACH-000153,-1.05513198181
ACH-000159,-0.8353192067630001
ACH-000160,-1.4214515563999999
ACH-000163,-0.52066010988
ACH-000167,-0.670261504407
ACH-000168,-0.215291553667
ACH-000169,-0.8533582892129999
ACH-000178,-0.670243451207
ACH-000182,-0.736510516301
ACH-000183,-0.8342375587819999
ACH-000188,-0.7055268505169999
ACH-000189,-0.9779313589740001
ACH-000190,-0.738856508555
ACH-000198,-0.7588026505869999
ACH-000204,-0.426020539701
ACH-000206,-0.664160481454
ACH-000207,-0.351047556648
ACH-000211,-0.7618498845649999
ACH-000215,-0.661248514897
ACH-000221,-0.7032591860420001
ACH-000222,-0.9212030060340001
ACH-000223,-0.5563057679810001
ACH-000226,-0.779744133538
ACH-000227,-0.7243042531380001
ACH-000228,-1.04434670848
ACH-000231,-0.504116079677
ACH-000232,-0.794180854528
ACH-000233,-0.982449901287
ACH-000234,-0.777160555541
ACH-000235,-1.04018760664
ACH-000237,-0.83492437801
ACH-000238,-0.651340731583
ACH-000243,-0.965238256402
ACH-000244,-1.18353738686
ACH-000246,-0.718571964235
ACH-000248,-0.845785690037
ACH-000250,-0.9800388828190001
ACH-000251,-1.16069946062
ACH-000253,-0.8828939376100001
ACH-000255,-0.80874513429
ACH-000256,-0.435539275598
ACH-000257,-0.180216835282
ACH-000258,-0.883566163503
ACH-000259,-0.7750838200519999
ACH-000260,-0.9403403666150001
ACH-000261,-0.43095268724799995
ACH-000262,-0.7224351304309999
ACH-000263,-0.893558567931
ACH-000264,-0.716401342579
ACH-000265,-0.955672627462
ACH-000266,-0.755997067343
ACH-000272,-0.872358065102
ACH-000273,-0.571154922528
ACH-000274,-0.8860849280740001
ACH-000277,-0.143103449531
ACH-000278,-0.784616637184
ACH-000279,-0.755551266328
ACH-000280,-0.999317469534
ACH-000281,-0.748446360894
ACH-000288,-0.44726120064900005
ACH-000291,-0.817500708531
ACH-000293,-0.6143846631000001
ACH-000294,-0.984332625513
ACH-000295,-0.6769465444310001
ACH-000296,-0.639039536651
ACH-000302,-1.0031547087100001
ACH-000304,-0.5510187962349999
ACH-000307,-1.28248893502
ACH-000308,-0.968105113713
ACH-000310,-1.56301151398
ACH-000311,-0.9532383932009999
ACH-000312,-0.9656920165940001
ACH-000315,-0.422475250467
ACH-000316,-0.765894453352
ACH-000317,-1.01630455448
ACH-000318,-0.946194947567
ACH-000319,-0.793613802717
ACH-000320,-0.839593595432
ACH-000322,-0.814391508338
ACH-000323,-0.7189961614489999
ACH-000324,-0.899882360028
ACH-000329,-0.47950557879100003
ACH-000330,-0.673390945629
ACH-000331,-1.0181390483600001
ACH-000332,-1.19861572959
ACH-000334,-0.0877568808986
ACH-000335,-0.6854233403710001
ACH-000336,-0.257166739971
ACH-000337,-0.403178304379
ACH-000339,-0.7907283358149999
ACH-000341,-0.937917921334
ACH-000348,-0.190101985059
ACH-000350,-1.15110829214
ACH-000352,-0.9458311193979999
ACH-000356,-0.948533131682
ACH-000361,-0.860759014285
ACH-000362,-0.567623358627
ACH-000363,-1.11487832972
ACH-000364,-0.9537001370679999
ACH-000365,-0.829145477794
ACH-000366,-0.883594968203
ACH-000368,-0.43067627455300006
ACH-000374,-0.6967627390889999
ACH-000375,-0.704362702465
ACH-000376,-0.587283890441
ACH-000381,-0.8861617346580001
ACH-000383,-1.11962435899
ACH-000387,-0.77731798945
ACH-000389,-0.687500235116
ACH-000390,-1.26386273015
ACH-000393,-0.677470507696
ACH-000395,-0.694576764539
ACH-000397,-1.1325415245100001
ACH-000401,-0.624249142394
ACH-000402,-1.06063932607
ACH-000403,-0.6931515367640001
ACH-000404,-0.769115687184
ACH-000406,-0.900873742557
ACH-000407,-0.7138066711409999
ACH-000408,-0.843112070176
ACH-000410,-0.743209107923
ACH-000411,-1.02621621874
ACH-000414,-1.3643907754
ACH-000415,-0.957944481629
ACH-000416,-0.776660854756
ACH-000420,-0.770601204236
ACH-000421,-1.0728695184100001
ACH-000424,-0.7870459864480001
ACH-000425,-0.642622238149
ACH-000426,-2.1739427347099998
ACH-000427,-0.980823637746
ACH-000433,-0.914889305801
ACH-000436,-1.2956295632700001
ACH-000444,-1.19052716586
ACH-000445,-0.369754306387
ACH-000448,-0.857944668373
ACH-000450,-0.408951483001
ACH-000452,-0.8884324344299999
ACH-000454,-0.69727893738
ACH-000458,-0.8576147154620001
ACH-000459,-0.831047854863
ACH-000460,-0.813359324002
ACH-000461,-0.9787039083299999
ACH-000463,-0.828322639349
ACH-000464,-0.403557929813
ACH-000466,-0.722830283653
ACH-000467,-0.80006445751
ACH-000468,-0.766909951159
ACH-000469,-0.522703043178
ACH-000470,-0.72590617161
ACH-000471,-1.10962477909
ACH-000472,-0.906572332052
ACH-000473,-0.985324197702
ACH-000475,-1.01201489156
ACH-000476,-0.763679538968
ACH-000477,-0.802118313734
ACH-000480,-0.8572116807729999
ACH-000481,-0.8136540800409999
ACH-000483,-0.670093727986
ACH-000484,-0.831097630679
ACH-000485,-0.7565288454269999
ACH-000486,-0.776809430857
ACH-000487,-0.582064519211
ACH-000488,-0.6151686271769999
ACH-000490,-0.833633583186
ACH-000491,-0.453749093614
ACH-000495,-0.5541654564949999
ACH-000496,-0.682543640604
ACH-000499,-0.505382113466
ACH-000500,-0.8680147240430001
ACH-000502,-0.997717305343
ACH-000503,-0.852085282889
ACH-000505,-0.677380355012
ACH-000507,-0.807235947307
ACH-000510,-0.727092869278
ACH-000511,-0.28823581011599997
ACH-000512,-0.529114621855
ACH-000516,-0.606277643608
ACH-000517,-0.640611028327
ACH-000518,-1.00983032452
ACH-000520,-0.502780916755
ACH-000521,-0.848556283179
ACH-000522,-0.7924283641519999
ACH-000524,-0.563262457567
ACH-000527,-0.9491921369349999
ACH-000528,-1.11063033249
ACH-000537,-0.799755531584
ACH-000541,-0.8050617250290001
ACH-000542,-0.591251036278
ACH-000544,-0.9170876456370001
ACH-000545,-0.7184831127079999
ACH-000547,-0.961865330099
ACH-000548,-0.9255845200470001
ACH-000549,-0.7731729910680001
ACH-000550,-0.9275538319939999
ACH-000552,-0.9244759840539999
ACH-000556,-0.600718005769
ACH-000557,-0.718246277377
ACH-000570,-0.657147232283
ACH-000571,-0.0881981222894
ACH-000573,-0.46930823072800004
ACH-000576,-0.937983726619
ACH-000580,-0.989700377595
ACH-000584,-0.935855744036
ACH-000585,-0.8121782397840001
ACH-000588,-0.872005822715
ACH-000589,-0.850542171422
ACH-000591,-0.7350150226909999
ACH-000593,-0.585606570432
ACH-000600,-0.809829928117
ACH-000601,-0.7989876279170001
ACH-000604,-0.42072829293
ACH-000605,-0.8154380767399999
ACH-000606,-0.8461088616670001
ACH-000608,-0.32838304914
ACH-000614,-0.776007325465
ACH-000616,-0.5782544328320001
ACH-000618,-0.9647215249950001
ACH-000619,-0.676534421297
ACH-000620,-0.9763694291830001
ACH-000621,-0.49765543160899994
ACH-000622,-0.34954001823299996
ACH-000623,-0.365882848149
ACH-000624,-0.965444342374
ACH-000627,-0.733354176227
ACH-000630,-0.993233295883
ACH-000632,-0.610357936734
ACH-000633,-0.725625304239
ACH-000637,-1.0087391627200002
ACH-000638,-0.824020084005
ACH-000646,-0.491862837826
ACH-000647,-0.7206894429140001
ACH-000648,-0.936415459664
ACH-000649,-0.665806006835
