,SLC35C1 (55343)
ACH-000004,-0.0922121316942
ACH-000007,-0.340601573438
ACH-000009,-0.223584715098
ACH-000011,-0.013409731102
ACH-000012,-0.279104216481
ACH-000013,-0.248847121446
ACH-000014,-0.319601929736
ACH-000015,-0.338472678845
ACH-000017,-0.0577470755913
ACH-000018,-0.308862874302
ACH-000019,-0.619507484476
ACH-000021,-0.37090519872
ACH-000022,-0.299379018515
ACH-000025,-0.611706567135
ACH-000028,-0.260954912225
ACH-000030,-0.320816499514
ACH-000035,-0.273826863316
ACH-000036,-0.46641666268799997
ACH-000037,-0.20597578563700003
ACH-000039,-0.207759847711
ACH-000040,-0.5220969727120001
ACH-000041,-0.28822499124
ACH-000042,-0.244669495559
ACH-000045,-0.156350942751
ACH-000047,-0.1692623424
ACH-000052,-0.206483958608
ACH-000053,-0.10107053726399999
ACH-000054,-0.378562331824
ACH-000055,0.054707894933599996
ACH-000060,-0.277429615991
ACH-000067,-0.49022023265799997
ACH-000070,-0.10447709372000001
ACH-000075,-0.291736758189
ACH-000078,-0.22265026485999997
ACH-000082,-0.48935690298600004
ACH-000085,-0.0775345499819
ACH-000086,-0.313146853419
ACH-000087,-0.34133563606299994
ACH-000092,-0.337020534246
ACH-000095,-0.308655955702
ACH-000097,-0.15412438377499998
ACH-000098,-0.545655341823
ACH-000099,-0.272664273037
ACH-000108,-0.139133673795
ACH-000113,-0.24900558556400001
ACH-000115,-0.0777286556483
ACH-000116,-0.383112448679
ACH-000118,-0.274252657114
ACH-000120,-0.149973005464
ACH-000123,-0.110834125558
ACH-000127,-0.0665595390325
ACH-000128,-0.316332391106
ACH-000132,-0.32375974407900004
ACH-000133,-0.391381817352
ACH-000137,-0.374384892513
ACH-000138,-0.287197022475
ACH-000142,-0.320931595325
ACH-000143,-0.302164873613
ACH-000146,-0.232349411063
ACH-000148,-0.45039017979999996
ACH-000150,-0.406330929002
ACH-000152,-0.14350372998400002
ACH-000153,-0.284874046406
ACH-000159,-0.188232604256
ACH-000160,-0.042967472288600005
ACH-000163,-0.291903588987
