,TGIF1 (7050)
ACH-000004,0.20065671001600002
ACH-000007,-0.22829760074299998
ACH-000009,-0.0575246970912
ACH-000011,-0.222159098937
ACH-000012,-0.303807103897
ACH-000013,0.0686640297016
ACH-000014,0.218473012779
ACH-000015,0.263768232625
ACH-000017,-0.234155228035
ACH-000018,-0.184354341294
ACH-000019,-0.0960000024518
ACH-000021,0.036787485591
ACH-000022,0.176238594709
ACH-000025,0.0820026720685
ACH-000028,-0.288101107382
ACH-000030,-0.382073411975
ACH-000035,-0.269284025911
ACH-000036,-0.0566706253881
ACH-000037,-0.09815518271569999
ACH-000039,0.219438291975
ACH-000040,-0.06684264613180001
ACH-000041,0.0703555983295
ACH-000042,-0.274519219782
ACH-000045,-0.0632279577563
ACH-000047,0.19487157124899998
ACH-000052,-0.230735981798
ACH-000053,0.12965368312699999
ACH-000054,0.018285307023599998
ACH-000055,0.0703583105129
ACH-000060,-0.311015704685
ACH-000067,-0.38090764774700003
ACH-000070,0.20484961172200003
ACH-000075,-0.313378849586
ACH-000078,0.137333765499
ACH-000082,0.236092189868
ACH-000085,-0.0447880720213
ACH-000086,-0.113478561472
ACH-000087,-0.00858669179369
ACH-000092,-0.529543333104
ACH-000095,0.0721323463249
ACH-000097,0.48140985529200003
ACH-000098,-0.281248118137
ACH-000099,0.0968152243498
ACH-000108,-0.06263514487909999
ACH-000113,-0.226085642292
ACH-000115,-0.0668244083383
ACH-000116,0.0307762169757
ACH-000118,-0.160442693409
ACH-000120,0.0951475570618
ACH-000123,0.165937680927
ACH-000127,-0.19289764234600001
ACH-000128,0.184405632043
ACH-000132,0.250691702455
ACH-000133,-0.0275968275244
ACH-000137,-0.352176221916
ACH-000138,-0.180933756945
ACH-000142,-0.137044159596
ACH-000143,0.0812470682352
ACH-000146,0.237449595953
ACH-000148,-0.0923021847055
ACH-000150,-0.14672546425799998
ACH-000152,0.08126372789689999
ACH-000153,-0.178979444457
ACH-000159,0.16747061154100001
ACH-000160,-0.046930959529800004
ACH-000163,-0.07184895991210001
ACH-000167,-0.065243696325
ACH-000168,0.0801362905808
ACH-000169,0.24264625052299998
ACH-000178,-0.310764641836
ACH-000182,0.0315602960704
ACH-000183,0.0901000489145
ACH-000188,-0.0759842564742
ACH-000189,-0.143761764692
ACH-000190,-0.026404669344099997
ACH-000198,0.40236089923699997
ACH-000204,0.120100285537
ACH-000206,0.08252183187510001
ACH-000207,-0.152286179386
ACH-000211,0.127576369483
ACH-000215,-0.0818204240604
ACH-000221,0.056231227756699996
ACH-000222,-0.43754382455799995
ACH-000223,-0.262492119594
ACH-000226,0.124635647521
ACH-000227,0.10706643048100001
ACH-000228,-0.419474629403
ACH-000231,-0.0540490241787
ACH-000232,0.34837445806999995
ACH-000233,0.35038321529600003
