,LY6K (54742)
ACH-000004,-0.0600997869631
ACH-000007,-0.21444296262200002
ACH-000009,-0.0937436070191
ACH-000011,-0.141435258555
ACH-000012,-0.265843115354
ACH-000013,-0.223946759984
ACH-000014,-0.369816169064
ACH-000015,-0.235201801231
ACH-000017,-0.23627021552900002
ACH-000018,-0.162800932419
ACH-000019,0.130669020383
ACH-000021,-0.18041292909499998
ACH-000022,-0.212802572016
ACH-000025,-0.40841751786799996
ACH-000028,-0.102688234845
ACH-000030,-0.15249800444
ACH-000035,-0.137857504563
ACH-000036,-0.229284767363
ACH-000037,-0.38625353682400004
ACH-000039,-0.11091842223
ACH-000040,-0.275674496235
ACH-000041,-0.310876045151
ACH-000042,-0.20669770008000002
ACH-000045,-0.11873739986
ACH-000047,-0.288762853292
ACH-000052,-0.304041534977
ACH-000053,-0.0821056493474
ACH-000054,-0.217038372581
ACH-000055,-0.31283499227899997
ACH-000060,-0.270003481226
ACH-000067,-0.0968047469891
ACH-000070,-0.33617344578100006
ACH-000075,-0.184834773915
ACH-000078,-0.21893863740699998
ACH-000082,-0.148757579553
ACH-000085,-0.189320628149
ACH-000086,-0.174367661453
ACH-000087,-0.08657045332289999
ACH-000092,-0.255899111933
ACH-000095,-0.116375960766
ACH-000097,-0.09656971401910001
ACH-000098,-0.16240964033500002
ACH-000099,-0.168657127313
ACH-000108,-0.215799044032
ACH-000113,-0.257670135116
ACH-000115,-0.381889916505
ACH-000116,-0.284109720119
ACH-000118,-0.218449449601
ACH-000120,-0.24898718128400002
ACH-000123,-0.045322215551199994
ACH-000127,-0.250642664188
ACH-000128,-0.207339721341
ACH-000132,-0.148654896244
ACH-000133,-0.0925063564032
ACH-000137,-0.262456593322
ACH-000138,-0.17432589362599998
ACH-000142,-0.16489087173800002
ACH-000143,-0.30651421958299996
ACH-000146,-0.308246998105
ACH-000148,-0.35179484369499997
ACH-000150,-0.667461763596
ACH-000152,-0.282457183888
ACH-000153,-0.2756163881
ACH-000159,-0.16176272208599998
ACH-000160,-0.18864707629900002
ACH-000163,-0.19400523856199997
ACH-000167,-0.22697033844300002
ACH-000168,-0.0665535019962
ACH-000169,-0.155746117139
ACH-000178,-0.26665189252300003
ACH-000182,-0.10052422092499999
ACH-000183,-0.126715391037
ACH-000188,-0.25458317916900003
ACH-000189,-0.24607594629500001
ACH-000190,-0.08949932353060001
ACH-000198,-0.0782464502118
ACH-000204,-0.06309952537050001
ACH-000206,-0.286609136008
ACH-000207,-0.504813855353
ACH-000211,-0.281767077481
ACH-000215,-0.27154438839
ACH-000221,-0.317982581806
ACH-000222,-0.0311981386539
ACH-000223,-0.298732548466
ACH-000226,-0.202827281444
ACH-000227,-0.32396871253000004
ACH-000228,-0.140133537501
ACH-000231,-0.197807874668
ACH-000232,-0.35828030707900005
ACH-000233,-0.357556791515
ACH-000234,-0.359164374266
ACH-000235,-0.208294547991
ACH-000237,-0.275964644355
ACH-000238,-0.276784312505
ACH-000243,-0.156043378265
ACH-000244,-0.0643633977076
ACH-000246,-0.23192423217799998
ACH-000248,-0.185304003568
ACH-000250,-0.326532812995
ACH-000251,-0.43721873698200003
ACH-000253,-0.310048441114
ACH-000255,-0.148179622142
ACH-000256,-0.277953730451
ACH-000257,-0.0615462494459
ACH-000258,-0.40751415009400005
ACH-000259,-0.184234692181
ACH-000260,-0.196350392441
ACH-000261,-0.267234158359
ACH-000262,-0.180874776404
ACH-000263,-0.58103783195
ACH-000264,-0.125864996612
ACH-000265,-0.16794535601100002
ACH-000266,-0.206435270015
ACH-000272,-0.285599499467
ACH-000273,-0.218532222926
ACH-000274,-0.145491947224
ACH-000277,-0.468166875498
ACH-000278,-0.333508446685
ACH-000279,-0.200992531025
ACH-000280,-0.528960224545
ACH-000281,-0.11415732457599999
ACH-000288,-0.09847519546900001
ACH-000291,-0.273044083362
ACH-000293,-0.37045060966300003
ACH-000294,-0.0559511890335
ACH-000295,-0.284618036352
ACH-000296,-0.00349253718514
ACH-000302,-0.24819781752099998
ACH-000304,-0.28891098179499997
ACH-000307,-0.21671239797800002
ACH-000308,-0.256055043311
ACH-000310,-0.282056452748
ACH-000311,0.0019048912168699997
ACH-000312,-0.242888457517
ACH-000315,0.0161259230516
ACH-000316,-0.161766090873
ACH-000317,0.11008361142999999
ACH-000318,-0.248177631488
ACH-000319,-0.111102194077
ACH-000320,-0.0578389286529
ACH-000322,-0.0431541450304
ACH-000323,-0.154035085785
ACH-000324,-0.199002494857
ACH-000329,-0.462495471127
ACH-000330,-0.180303320324
ACH-000331,-0.20318883899
ACH-000332,-0.276882224678
ACH-000334,0.005412857337060001
ACH-000335,-0.214775806278
ACH-000336,-0.36724646648599996
ACH-000337,-0.63144162692
ACH-000339,-0.20213442046799998
ACH-000341,-0.177356881235
ACH-000348,-0.207408207757
ACH-000350,-0.490981796669
ACH-000352,-0.293266886537
ACH-000356,0.0378700234155
ACH-000361,-0.19039870513
ACH-000362,-0.279609652894
ACH-000363,-0.341540149347
ACH-000364,-0.284917406563
ACH-000365,-0.290762961543
ACH-000366,-0.171901275806
ACH-000368,-0.222349937427
ACH-000374,-0.035492401244699996
ACH-000375,-0.07051066727369999
ACH-000376,-0.173623936059
ACH-000381,-0.18264387673500002
ACH-000383,-0.187020690596
ACH-000387,-0.121574573179
ACH-000389,-0.34641180865599996
ACH-000390,-0.106629355649
ACH-000393,-0.324739069352
ACH-000395,-0.36888657525799995
ACH-000397,-0.27571818462
ACH-000401,-0.20898839047200002
ACH-000402,-0.325770859762
ACH-000403,-0.36454324213
ACH-000404,-0.134596506038
ACH-000406,-0.208365925304
ACH-000407,0.07367658915969999
ACH-000408,-0.221382197367
ACH-000410,-0.336281039897
ACH-000411,-0.431743933238
ACH-000414,-0.287646319866
ACH-000415,-0.200976962734
ACH-000416,-0.317281392487
ACH-000420,-0.293663855107
ACH-000421,-0.230966935427
ACH-000424,-0.115825821966
ACH-000425,-0.270790391047
ACH-000426,0.0198696228655
ACH-000427,-0.5649447676680001
ACH-000433,0.0987946095717
ACH-000436,-0.259136597036
ACH-000444,-0.251952132125
ACH-000445,-0.13654868385500002
ACH-000448,-0.22961143594900002
ACH-000450,-0.488659905657
ACH-000452,-0.33168782922400003
ACH-000454,-0.0770480803528
ACH-000458,-0.24082455883
ACH-000459,-0.06597616880469999
ACH-000460,-0.285765431174
ACH-000461,-0.238848544936
ACH-000463,-0.17393432084000002
ACH-000464,-0.137835993368
ACH-000466,-0.134504757543
ACH-000467,-0.202752033489
ACH-000468,-0.009615450008280001
ACH-000469,-0.12116494916500001
ACH-000470,-0.262230646142
ACH-000471,-0.115596157327
ACH-000472,-0.208331572755
ACH-000473,-0.153950348365
ACH-000475,-0.219140737309
ACH-000476,-0.37847560488700005
ACH-000477,0.0490801197345
ACH-000480,-0.163558164662
ACH-000481,-0.23865979266100001
ACH-000483,-0.244598100109
ACH-000484,-0.533429444311
ACH-000485,-0.336989009376
ACH-000486,-0.17294802277399998
ACH-000487,-0.30721838278
ACH-000488,-0.31857072290800004
ACH-000490,-0.116406246116
ACH-000491,-0.42836566372
ACH-000495,-0.209418468639
ACH-000496,-0.0875540518571
ACH-000499,-0.333042517594
ACH-000500,-0.387930012186
ACH-000502,-0.20297725626
ACH-000503,0.00450612523263
ACH-000505,-0.280280006553
ACH-000507,-0.166303275954
ACH-000510,-0.15283917085999998
ACH-000511,-0.200832064804
ACH-000512,-0.23592599405200002
ACH-000516,-0.23735292692600002
ACH-000517,-0.356407217589
ACH-000518,-0.232181441213
ACH-000520,0.0453295446251
ACH-000521,-0.237193048193
ACH-000522,-0.195601752524
ACH-000524,-0.337811776484
ACH-000527,-0.328358236742
ACH-000528,-0.28032536034899996
ACH-000537,-0.0720922495445
ACH-000541,-0.334969207676
ACH-000542,-0.373171352742
ACH-000544,-0.12600258793
ACH-000545,-0.17273245011799998
ACH-000547,-0.153008778024
ACH-000548,-0.356513581312
ACH-000549,-0.306731480516
ACH-000550,-0.07938567914969999
ACH-000552,-0.372851065814
ACH-000556,-0.07850216628119999
ACH-000557,-0.429680406575
ACH-000570,-0.242723731134
ACH-000571,-0.198107906706
ACH-000573,-0.13395973704199998
ACH-000576,-0.362269800508
ACH-000580,-0.245373084223
ACH-000584,-0.224923830329
ACH-000585,-0.250689962223
ACH-000588,-0.0930943389491
ACH-000589,-0.207964650751
ACH-000591,-0.09134156308769999
ACH-000593,-0.180220394579
ACH-000600,-0.24863432462499999
ACH-000601,-0.136893232511
ACH-000604,-0.08612478262579999
ACH-000605,-0.0399427010021
ACH-000606,-0.0280148664404
ACH-000608,-0.22491568750500002
ACH-000614,-0.330082785394
ACH-000616,-0.12465701956700001
ACH-000618,-0.296422724962
ACH-000619,-0.24556697447700002
ACH-000620,-0.267661738331
ACH-000621,-0.31276216071699997
ACH-000622,-0.0550049087306
ACH-000623,-0.130093293091
ACH-000624,-0.23181545120000002
ACH-000627,-0.274100597053
ACH-000630,-0.264963028389
ACH-000632,-0.184737263545
ACH-000633,-0.0773151465413
ACH-000637,-0.227873065663
ACH-000638,-0.030037206499400004
ACH-000646,-0.40034435157399995
ACH-000647,-0.178040296294
ACH-000648,-0.13050694626700002
ACH-000649,-0.37177614044299995
ACH-000651,-0.177114628004
ACH-000652,-0.442061655806
ACH-000653,-0.359422220735
ACH-000657,-0.255234577322
ACH-000658,-0.620335106798
ACH-000661,-0.288462370927
ACH-000662,-0.205473520922
ACH-000663,-0.302555501899
ACH-000665,-0.109807782692
ACH-000671,-0.09395852573239999
ACH-000673,-0.162467044319
ACH-000676,-0.292610121198
ACH-000677,-0.277573040262
ACH-000681,-0.17219664773200002
ACH-000682,-0.27653895247099997
ACH-000683,-0.37082805674900005
ACH-000684,0.123747569799
ACH-000688,-0.22877057601300002
ACH-000693,-0.200366547157
ACH-000694,-0.203566851919
ACH-000695,-0.262952442299
ACH-000696,-0.320569606976
ACH-000697,-0.00444390296064
ACH-000699,-0.26511262322900003
ACH-000701,-0.302896520412
ACH-000706,-0.365959036019
ACH-000711,-0.14257979793
ACH-000713,-0.029987130022200003
