,PCDHGA8 (9708)
ACH-000403,-0.178370105128
ACH-000404,-0.255973616531
ACH-000406,-0.0806706081553
ACH-000407,-0.0348145036228
ACH-000408,0.0629623316506
ACH-000410,0.00982418154824
ACH-000411,-0.147066067596
ACH-000414,0.0804036459225
ACH-000415,-0.0463912534369
ACH-000416,0.0146236997127
ACH-000420,-0.0878550976357
ACH-000421,-0.06830185597459999
ACH-000424,-0.0258575967624
ACH-000425,-0.15319207580299998
ACH-000426,0.08860210111360001
ACH-000427,-0.0625177136792
ACH-000433,-0.251056602821
ACH-000436,-0.07128621736839999
ACH-000444,-0.251083258009
ACH-000445,-0.0628236935754
ACH-000448,-0.00929917976886
ACH-000450,-0.342484023727
ACH-000452,0.03981081261680001
ACH-000454,-0.0780950039396
ACH-000458,-0.0389197538288
ACH-000459,0.12337579314899999
ACH-000460,-0.183695505964
ACH-000461,-0.012710050818799999
ACH-000463,-0.323682905706
ACH-000464,-0.269335316763
ACH-000466,-0.17327515529100002
ACH-000467,-0.0705128169138
ACH-000468,0.028995232927200004
ACH-000469,-0.00185332160393
ACH-000470,-0.0212061089194
ACH-000471,-0.07258288536589999
ACH-000472,-0.055827954409800006
ACH-000473,-0.0131819054125
ACH-000475,0.0129789610534
ACH-000476,-0.21779644759300001
ACH-000477,0.0990534153744
ACH-000480,-0.16830077171900001
ACH-000481,0.105499658599
ACH-000483,-0.0675963481194
ACH-000484,-0.164681234576
ACH-000485,-0.0044308755449700005
ACH-000486,0.056614130212699995
ACH-000487,-0.0598495366999
ACH-000488,-0.0891010884022
ACH-000490,-0.12298309185100001
ACH-000491,0.0325653973942
ACH-000495,-0.0542063317519
ACH-000496,0.0752692123588
ACH-000499,0.0065382004170599995
ACH-000500,-0.45477862888899995
ACH-000502,0.019682501165900004
ACH-000503,-0.10013376746099999
ACH-000505,-0.09893691164830001
ACH-000507,-0.206695546198
ACH-000510,-0.0969391348381
ACH-000511,-0.0118033695961
ACH-000512,-0.0989544917574
ACH-000516,-0.0485066905855
ACH-000517,-0.0825180672501
ACH-000518,-0.285204234227
ACH-000520,0.0376441829251
ACH-000521,-0.197532696866
ACH-000522,-0.0841692093647
ACH-000524,-0.139894429221
ACH-000527,-0.0972096502703
ACH-000528,-0.160654924322
ACH-000537,0.04809159533980001
ACH-000541,-0.125877852859
ACH-000542,0.015592391221200002
ACH-000544,-0.101199603476
ACH-000545,-0.115368517538
ACH-000547,0.031854173491799996
ACH-000548,-0.09743842767989999
ACH-000549,-0.08417801945110001
ACH-000550,-0.009800836966920001
ACH-000552,0.0624273925764
ACH-000556,-0.00402465612117
ACH-000557,-0.11179389440700001
ACH-000570,-0.14484531461300001
ACH-000571,-0.197493043322
ACH-000573,-0.11197338059900001
ACH-000576,-0.0895322423989
ACH-000580,-0.212619105183
ACH-000584,-0.09189127053360001
ACH-000585,-0.21157990049199998
ACH-000588,0.0966184395823
ACH-000589,0.014352944808
ACH-000591,-0.125442437351
ACH-000593,-0.13357530588
ACH-000600,-0.165121349244
ACH-000601,-0.0368538977155
ACH-000604,0.11980285703600001
ACH-000605,-0.14777822254200002
ACH-000606,-0.0643033905848
ACH-000608,-0.0130255229847
ACH-000614,-0.17476687880300001
ACH-000616,-0.07677835579680001
ACH-000618,-0.0038772085137500005
ACH-000619,0.0617909191175
ACH-000620,-0.12273094976700001
ACH-000621,0.0027218848573800003
ACH-000622,-0.16564229887700002
ACH-000623,0.12086588207599999
ACH-000624,-0.07001079131289999
ACH-000627,-0.0842793006208
ACH-000630,0.00709729736488
ACH-000632,-0.132503984365
ACH-000633,0.0005658082784019999
ACH-000637,-0.0221398304957
ACH-000638,-0.0207216100575
ACH-000646,0.00650443639956
ACH-000647,-0.0587576130646
ACH-000648,-0.0600789407276
ACH-000649,-0.0836162840249
ACH-000651,-0.09694736070070001
ACH-000652,-0.412114313147
ACH-000653,-0.051567538117500006
ACH-000657,-0.023378456878299998
ACH-000658,0.067062267029
ACH-000661,-0.21834332063
ACH-000662,-0.558407505132
ACH-000663,-0.229766395053
ACH-000665,-0.017164507540599998
ACH-000671,-0.0287062395625
ACH-000673,-0.0310245913894
ACH-000676,-0.0816963492138
ACH-000677,-0.138522302636
ACH-000681,0.0123030744335
ACH-000682,-0.041567686982
ACH-000683,0.0213933291019
ACH-000684,0.0712140067287
ACH-000688,0.027394949974099997
ACH-000693,-0.07280686073800001
ACH-000694,-0.04293111912980001
ACH-000695,-0.13351514066700002
ACH-000696,-0.0143152358316
ACH-000697,-0.0599972835606
ACH-000699,-0.0351317115972
ACH-000701,0.0837351325964
ACH-000706,0.0825288311444
ACH-000711,0.00110213402108
ACH-000713,-0.029374142092
ACH-000714,0.07462050464850001
ACH-000718,0.132381812673
ACH-000720,-0.034520817694099995
ACH-000721,-0.152617385638
ACH-000724,-0.0796161953004
ACH-000725,-0.126766617876
ACH-000732,0.269635946224
ACH-000734,-0.055425506050399996
ACH-000735,-0.14329493075400002
ACH-000736,-0.0587253586912
ACH-000738,0.06932024146310001
ACH-000746,-0.201111438621
ACH-000747,-0.0784757880555
ACH-000748,-0.07850943959119999
ACH-000753,-0.06349262838
ACH-000756,-0.184423784868
ACH-000757,0.0995601986454
ACH-000758,-0.0933058056513
ACH-000760,-0.0550615760953
ACH-000763,0.16579165160700002
ACH-000764,-0.131519278909
ACH-000765,-0.0399389492698
ACH-000766,-0.0905407101602
ACH-000767,-0.228388015179
ACH-000768,-0.148362251186
ACH-000769,-0.0361142479222
ACH-000770,-0.015925709656
ACH-000771,0.0031676065476
ACH-000773,0.0266649367105
ACH-000776,-0.14633036673900002
ACH-000777,-0.08657475156500001
ACH-000778,-0.20403415515
ACH-000781,0.0633112568543
ACH-000782,-0.12832005622
ACH-000783,-0.0269410224394
ACH-000784,-0.06348868848230001
ACH-000785,0.008373979304260001
ACH-000787,-0.053208577283
ACH-000788,-0.07278845147719999
ACH-000791,0.023751740522500002
ACH-000792,-0.166906267201
ACH-000794,-0.029605241541
ACH-000796,0.006747391326180001
ACH-000799,-0.0232973785511
ACH-000800,-0.101646796449
ACH-000802,-0.23464476768399997
ACH-000804,-0.102085643746
ACH-000805,-0.281442857443
ACH-000809,0.03752161696419999
ACH-000810,-0.0643527974507
ACH-000811,-0.0255215479623
ACH-000817,0.149686754755
ACH-000819,-0.0645915546803
ACH-000820,-0.173327335973
ACH-000821,-0.061622204547100004
ACH-000822,-0.047697262964500005
ACH-000823,0.11727148856399999
ACH-000824,-0.21236632123
ACH-000827,-0.0853519604112
ACH-000829,0.187723881078
ACH-000831,0.0797027464354
ACH-000832,-0.0592039482881
ACH-000833,-0.175486583866
ACH-000834,-0.142505475001
ACH-000835,0.157359151166
ACH-000836,0.053867486279300006
ACH-000837,-0.042868043054
ACH-000838,0.013353045533200002
ACH-000839,0.00793615709528
ACH-000840,0.0209548424378
ACH-000841,-0.11696788009600001
ACH-000843,-0.036272648173300004
ACH-000846,-0.114204233638
ACH-000847,0.0125652041373
ACH-000848,-0.186906909131
ACH-000849,-0.181586035797
ACH-000851,-0.16264061886700001
ACH-000855,0.0847669841199
ACH-000856,-0.32541594638599997
ACH-000858,-0.050421045699199994
ACH-000859,-0.11776589951099999
ACH-000861,-0.0977306032196
ACH-000862,-0.066205587114
ACH-000865,-0.144330609099
ACH-000866,0.0621090628087
ACH-000867,0.0010920170669000001
ACH-000869,-0.09104890331830001
ACH-000872,0.09758350023949999
ACH-000873,-0.14697922324999999
ACH-000876,-0.0485811488526
ACH-000878,-0.306342330695
ACH-000880,0.055914583119199994
ACH-000881,-0.08290908348939999
ACH-000882,-0.114580776678
ACH-000884,-0.201901327894
ACH-000885,0.017762956794599997
ACH-000887,0.014592033992600001
ACH-000888,-0.0643599682981
ACH-000889,-0.127221848312
ACH-000890,-0.150033506538
ACH-000896,-0.128611385748
ACH-000898,0.004236885712510001
ACH-000900,0.12002797081800001
ACH-000901,-0.0721557508682
ACH-000905,-0.05907094644830001
ACH-000906,-0.134963526356
ACH-000907,-0.14141871146600002
ACH-000910,-0.00998953809072
ACH-000911,-0.0297200313084
ACH-000912,-0.169829413506
ACH-000913,-0.18004873015700001
ACH-000915,-0.07042851998789999
ACH-000916,-0.268826146562
ACH-000917,-0.194221656924
ACH-000921,-0.0026691729520400003
ACH-000924,-0.183367322091
ACH-000926,0.0453420546992
ACH-000928,0.0565991444097
ACH-000929,0.061698617478400004
ACH-000932,-0.0901783155337
ACH-000935,-0.13292227202600002
ACH-000936,0.06585749572
ACH-000937,0.0087126639419
ACH-000938,0.18745354825399999
ACH-000939,-0.116899474572
ACH-000941,0.148535043775
ACH-000943,0.114678686633
ACH-000946,0.06960994503830001
ACH-000947,0.0988921440017
ACH-000948,0.166722398539
ACH-000950,0.20847126902899998
ACH-000953,-0.045278007303300005
ACH-000957,0.00413876099204
ACH-000958,0.21336754940299998
ACH-000960,-0.113188654318
ACH-000963,-0.19697872081599999
ACH-000968,-0.0707277539407
ACH-000969,0.093466945027
ACH-000973,-0.00748582852125
ACH-000974,0.0256588687078
ACH-000975,-0.16153231159499998
ACH-000976,-0.11732269398499999
ACH-000978,0.394570731398
ACH-000980,-0.0646501923267
ACH-000984,-0.132257267154
ACH-000986,-0.0402190299284
ACH-000988,0.06521164700759999
ACH-000993,-0.179081565644
ACH-000994,-0.039639112539300005
ACH-000996,-0.105409852216
ACH-001001,-0.0813739658896
ACH-001020,-0.07087656315610001
ACH-001028,-0.0260518261472
ACH-001031,0.027664909159599998
ACH-001038,-0.15784766125
ACH-001048,-0.0336552354302
ACH-001050,-0.08883421878310001
ACH-001053,-0.346181318954
ACH-001054,-0.187362229119
