,GAD1 (2571)
ACH-000004,-0.166274260649
ACH-000007,-0.472117401939
ACH-000009,-0.256592350897
ACH-000011,-0.18303317955099999
ACH-000012,-0.24706817429400002
ACH-000013,-0.364026532588
ACH-000014,-0.2514894601
ACH-000015,-0.160885845029
ACH-000017,-0.193705338672
ACH-000018,-0.276511975678
ACH-000019,-0.05691459616769999
ACH-000021,-0.16569042525699998
ACH-000022,-0.1802040151
ACH-000025,-0.16665626555
ACH-000028,-0.313759852784
ACH-000030,-0.34583263894500005
ACH-000035,-0.513625313975
ACH-000036,-0.089996502053
ACH-000037,-0.624223137336
ACH-000039,-0.14420580512
ACH-000040,-0.48089610741800004
ACH-000041,-0.352012949237
ACH-000042,-0.217094800351
ACH-000045,-0.32162190184
ACH-000047,-0.182470276618
ACH-000052,-0.683271500186
ACH-000053,-0.319478016037
ACH-000054,-0.159279678677
ACH-000055,-0.35697758736100005
ACH-000060,-0.425087309485
ACH-000067,-0.16306193903
ACH-000070,-0.36750098051799995
ACH-000075,-0.0382367798171
ACH-000078,-0.261107993565
ACH-000082,-0.198760312586
ACH-000085,-0.360265823692
ACH-000086,-0.339554599442
ACH-000087,-0.462810770973
ACH-000092,-0.39471753933799997
ACH-000095,-0.245679072731
ACH-000097,-0.329036080599
ACH-000098,-0.43899710102399997
ACH-000099,-0.307498182006
ACH-000108,-0.275758760135
ACH-000113,-0.438055560441
ACH-000115,-0.28727155391
ACH-000116,-0.256271892826
ACH-000118,-0.126165839988
ACH-000120,-0.20546297826999999
ACH-000123,-0.279035435955
ACH-000127,-0.17240533464899999
ACH-000128,-0.20165676128499999
ACH-000132,-0.567769671074
ACH-000133,-0.191195268609
ACH-000137,-0.205912389388
ACH-000138,-0.303279929297
ACH-000142,-0.284155722595
ACH-000143,-0.549664334768
ACH-000146,-0.162080698837
ACH-000148,-0.13743597474000002
ACH-000150,-0.214706177776
ACH-000152,-0.40197656698600004
ACH-000153,-0.219006333818
ACH-000159,-0.263925273041
ACH-000160,-0.26688701096
ACH-000163,-0.059296086915
ACH-000167,-0.175777264863
ACH-000168,-0.125545934026
ACH-000169,-0.265544222205
ACH-000178,-0.160310842876
ACH-000182,-0.112210424887
ACH-000183,-0.246946723628
ACH-000188,-0.313682797211
ACH-000189,-0.010656072335399999
ACH-000190,-0.16303570630300002
ACH-000198,-0.141651455659
ACH-000204,0.0372344727546
ACH-000206,0.0459461309686
ACH-000207,-0.22483844464000002
ACH-000211,-0.328430770607
ACH-000215,-0.0765536144962
ACH-000221,-0.377520500243
ACH-000222,-0.301531228874
ACH-000223,-0.39235949169600004
ACH-000226,-0.25190277839
ACH-000227,-0.128837878933
ACH-000228,-0.346546257975
ACH-000231,-0.396295874061
ACH-000232,-0.272713099138
ACH-000233,-0.265335996525
ACH-000234,-0.48013024394500003
ACH-000235,-0.36556059625799997
ACH-000237,-0.311651216823
ACH-000238,-0.208115347024
ACH-000243,-0.175689321486
ACH-000244,-0.452615209196
ACH-000246,-0.174856801612
ACH-000248,-0.21086116599500002
ACH-000250,-0.31185763973700004
ACH-000251,-0.54761192985
ACH-000253,-0.29457015854699997
ACH-000255,-0.331668920531
ACH-000256,-0.175755047401
ACH-000257,-0.207134209194
ACH-000258,-0.114457891162
ACH-000259,-0.215091968149
ACH-000260,-0.21638956143899998
ACH-000261,-0.187552680022
ACH-000262,-0.424602243635
ACH-000263,-0.258123714236
ACH-000264,-0.21293195410500002
ACH-000265,-0.20063526063
ACH-000266,-0.177086401745
ACH-000272,-0.17276403841
ACH-000273,-0.256835551496
ACH-000274,-0.358481266135
ACH-000277,-0.0587316182329
ACH-000278,-0.45944595176299996
