,SCAND1 (51282)
ACH-000004,-0.7977558347849999
ACH-000007,0.0432640350246
ACH-000009,-0.341541163173
ACH-000011,-0.456326079994
ACH-000012,-0.11062551934
ACH-000013,-0.0840770576475
ACH-000014,-0.302470547453
ACH-000015,-0.24101866831
ACH-000017,-0.47458788601400004
ACH-000018,-0.254269024738
ACH-000019,-0.0315596746963
ACH-000021,-0.24237848107700002
ACH-000022,-0.193596214303
ACH-000025,-0.5466840661810001
ACH-000028,-0.29066839361900004
ACH-000030,-0.375064384169
ACH-000035,-0.351005404529
ACH-000036,-0.45260092265199997
ACH-000037,-0.114812037885
ACH-000039,-0.10376956300899999
ACH-000040,-0.355820342932
ACH-000041,-0.27093470238699996
ACH-000042,-0.310318293433
ACH-000045,-0.204437693104
ACH-000047,-0.205478735959
ACH-000052,-0.183543621482
ACH-000053,-0.150101432619
ACH-000054,-0.295668018856
ACH-000055,-0.18292639345800002
ACH-000060,-0.20619713026500003
ACH-000067,-0.168963757963
ACH-000070,-0.150082810044
ACH-000075,-0.274881015435
ACH-000078,-0.390914109529
ACH-000082,-0.102874653147
ACH-000085,-0.46187368390699995
ACH-000086,-0.297783597872
ACH-000087,-0.42251365762299997
ACH-000092,-0.314261755146
ACH-000095,-0.260178101213
ACH-000097,-0.31638821041
ACH-000098,-0.11356386762800001
ACH-000099,-0.385924607422
ACH-000108,-0.431749653263
ACH-000113,-0.29531035198000005
ACH-000115,-0.256948166752
ACH-000116,-0.488914695994
ACH-000118,-0.257348833903
ACH-000120,-0.535441071127
ACH-000123,-0.32903112744
ACH-000127,-0.22130205391600002
ACH-000128,-0.36590130929799997
ACH-000132,-0.20905860905
ACH-000133,-0.542224926002
ACH-000137,-0.27898032216999996
ACH-000138,-0.21978636476100002
ACH-000142,-0.213744376235
ACH-000143,-0.445087044326
ACH-000146,-0.13619421694199998
ACH-000148,-0.37809007124899996
ACH-000150,-0.183499548575
ACH-000152,-0.15493489055
ACH-000153,-0.34494262606299997
ACH-000159,-0.347449085449
ACH-000160,-0.014945774765700002
ACH-000163,-0.360846473366
ACH-000167,0.124285746376
ACH-000168,-0.518472354497
ACH-000169,-0.41172297101800004
ACH-000178,-0.38773054622500003
ACH-000182,-0.40046838626100006
ACH-000183,-0.49748303928900006
ACH-000188,-0.190609238338
ACH-000189,-0.0552812513208
ACH-000190,-0.0432774005222
ACH-000198,-0.37784830579499995
ACH-000204,-0.275052102482
ACH-000206,-0.274334840614
ACH-000207,-0.7841358535840001
ACH-000211,-0.239200471562
ACH-000215,-0.205242028933
ACH-000221,-0.13327787987700002
ACH-000222,0.00600659754128
ACH-000223,-0.182527289918
ACH-000226,-0.273021778745
ACH-000227,-0.357505869106
ACH-000228,-0.301025811548
ACH-000231,-0.37536595594000005
ACH-000232,-0.267276422788
ACH-000233,-0.147879468386
ACH-000234,-0.6276530375
ACH-000235,-0.411070181737
ACH-000237,-0.163484579828
ACH-000238,-0.145066411338
ACH-000243,-0.246242498971
ACH-000244,-0.199511825976
ACH-000246,-0.201284467898
ACH-000248,-0.266076595136
ACH-000250,-0.30475205024999996
ACH-000251,-0.242404982573
ACH-000253,-0.38654196390199996
ACH-000255,-0.284342426023
ACH-000256,-0.174021528934
ACH-000257,-0.295417303354
ACH-000258,-0.519768101863
ACH-000259,-0.37953165982299997
ACH-000260,-0.31326469046100003
ACH-000261,-0.45257808374200004
ACH-000262,-0.549820500273
ACH-000263,0.20411586308
ACH-000264,-0.400226569765
ACH-000265,-0.246545314711
ACH-000266,-0.333900787829
ACH-000272,-0.355204160338
ACH-000273,-0.37135391924500005
ACH-000274,-0.302544766156
ACH-000277,-0.8226227504829999
ACH-000278,-0.137541167469
ACH-000279,-0.0926454198993
ACH-000280,-0.277109756254
ACH-000281,-0.36803419854999997
ACH-000288,-0.12810439190700001
ACH-000291,-0.323024399846
ACH-000293,-0.187353707022
ACH-000294,-0.340676956638
ACH-000295,-0.140478792953
ACH-000296,-0.341720800036
ACH-000302,-0.299402073379
ACH-000304,-0.057074660147599994
ACH-000307,-0.112041875485
ACH-000308,-0.286582154345
ACH-000310,-0.538076324652
ACH-000311,-0.430432549313
ACH-000312,-0.2184763757
ACH-000315,0.0536243705724
ACH-000316,-0.056183400001099996
ACH-000317,-0.0917035100543
ACH-000318,-0.0485726770031
ACH-000319,-0.0942628213737
ACH-000320,-0.40011102940300003
ACH-000322,-0.32044940876899997
ACH-000323,-0.36212449334299995
ACH-000324,-0.5261003233899999
ACH-000329,-0.263692375062
ACH-000330,-0.445012656862
ACH-000331,-0.127054542182
ACH-000332,-0.310687004456
ACH-000334,-0.40753916980599997
ACH-000335,-0.157101393304
ACH-000336,-0.160613462236
ACH-000337,-0.438443873881
ACH-000339,-0.20054108217900002
ACH-000341,-0.522520017119
ACH-000348,-0.250965182651
ACH-000350,-0.25287060824499996
ACH-000352,-0.347399927166
ACH-000356,-0.451256362738
ACH-000361,-0.438156841813
ACH-000362,-0.26527696246
ACH-000363,-0.175809232352
ACH-000364,-0.0427728235121
ACH-000365,-0.23684755772799998
ACH-000366,-0.324604741644
ACH-000368,-0.24814210531599998
ACH-000374,-0.39765745783699996
ACH-000375,-0.145756617767
ACH-000376,-0.405814093168
ACH-000381,-0.608716404868
ACH-000383,-0.202096629947
ACH-000387,-0.284492748011
ACH-000389,-0.22387271890000002
ACH-000390,-0.182533481129
ACH-000393,-0.229618142912
ACH-000395,-0.158839025539
ACH-000397,-0.353991427166
ACH-000401,-0.24258415350600002
ACH-000402,0.138822951497
ACH-000403,-0.648695043905
ACH-000404,-0.51172233874
ACH-000406,-0.122223348195
ACH-000407,-0.272533643701
ACH-000408,-0.0680744451292
ACH-000410,-0.115596156472
ACH-000411,-0.585963670364
ACH-000414,-0.40916544201300004
ACH-000415,-0.326990623333
ACH-000416,-0.15899729829700002
ACH-000420,-0.36520348425899996
ACH-000421,-0.236857678088
ACH-000424,-0.267515840495
ACH-000425,-0.36415237232000003
ACH-000426,-0.181256765568
ACH-000427,-0.47937831876000003
ACH-000433,-0.22437899021899999
ACH-000436,-0.327159253952
ACH-000444,-0.139442288282
ACH-000445,-0.25115669595199996
ACH-000448,-0.24696278711
ACH-000450,-0.683673666413
ACH-000452,-0.20324855358
ACH-000454,-0.173301499014
ACH-000458,-0.34971053919100004
ACH-000459,-0.135991853125
ACH-000460,-0.289196647752
ACH-000461,-0.13518433330600002
ACH-000463,-0.219465720308
ACH-000464,-0.247403965161
ACH-000466,-0.614807525631
ACH-000467,-0.21536883438499999
ACH-000468,-0.258755337592
ACH-000469,-0.47375111283999993
ACH-000470,-0.125319520954
ACH-000471,-0.48195161391
ACH-000472,-0.219499182288
ACH-000473,-0.040621218747999996
ACH-000475,-0.275363174712
ACH-000476,-0.440602209257
ACH-000477,-0.118079124058
ACH-000480,-0.22341129666200002
ACH-000481,-0.24980637800799999
ACH-000483,-0.185202223115
ACH-000484,-0.443149659099
ACH-000485,-0.448477885221
ACH-000486,-0.405906903419
ACH-000487,-0.301149906358
ACH-000488,-0.21333436672800002
ACH-000490,-0.296594546837
ACH-000491,-0.212888103548
ACH-000495,-0.271432303751
ACH-000496,-0.5703088876919999
ACH-000499,-0.510647539319
ACH-000500,0.137762137427
ACH-000502,-0.26429798442499997
ACH-000503,0.055611688872499995
ACH-000505,-0.22761302446999998
ACH-000507,-0.283114685792
ACH-000510,-0.400482937544
ACH-000511,-0.316835708165
ACH-000512,0.061211523103
ACH-000516,-0.337880153381
ACH-000517,-0.331182717713
ACH-000518,-0.408189852401
ACH-000520,-0.210229371882
ACH-000521,-0.226690011619
ACH-000522,-0.230792870706
ACH-000524,-0.359791324559
ACH-000527,-0.367638705799
ACH-000528,-0.250515806822
ACH-000537,-0.413419582892
ACH-000541,-0.43864720945
ACH-000542,-0.298851711806
ACH-000544,-0.0907192586874
ACH-000545,-0.5013059029420001
ACH-000547,-0.653083855887
ACH-000548,-0.267452289094
ACH-000549,-0.35643228288500006
ACH-000550,-0.22704182428800002
ACH-000552,-0.21523143327599997
ACH-000556,-0.373916931284
ACH-000557,-0.546045934339
ACH-000570,-0.23626377646
ACH-000571,-0.245267751153
ACH-000573,-0.384353122533
ACH-000576,-0.256921829175
ACH-000580,-0.06374926899809999
ACH-000584,-0.05362277827840001
ACH-000585,-0.152785597498
ACH-000588,-0.19495636706500002
ACH-000589,-0.310525176156
ACH-000591,-0.197475137612
ACH-000593,-0.3022141295
ACH-000600,-0.38671341892300004
ACH-000601,-0.141181407409
ACH-000604,0.033710667725
ACH-000605,-0.371313092
ACH-000606,-0.1917910303
ACH-000608,-0.10928375053099999
ACH-000614,-0.781310881421
ACH-000616,-0.131804949763
ACH-000618,-0.306557157428
ACH-000619,-0.08788191965730001
ACH-000620,-0.199845174919
ACH-000621,-0.0817631676304
ACH-000622,-0.148233327079
ACH-000623,-0.11879927894200001
ACH-000624,-0.41251167169299996
