,OSGEP (55644)
ACH-000004,-1.52505140276
ACH-000007,-1.74971493591
ACH-000009,-1.58505656701
ACH-000011,-1.64344420287
ACH-000012,-1.23352601713
ACH-000013,-1.54329631997
ACH-000014,-1.5091987546399999
ACH-000015,-1.64434784135
ACH-000017,-1.2646159941700001
ACH-000018,-1.17984267092
ACH-000019,-0.815420586663
ACH-000021,-1.15502259829
ACH-000022,-1.6896439384399997
ACH-000025,-1.32650701983
ACH-000028,-1.50032666484
ACH-000030,-1.3943871752399999
ACH-000035,-1.77463054095
ACH-000036,-1.5320697118200002
ACH-000037,-1.8485707713599997
ACH-000039,-1.50072137494
ACH-000040,-1.59131207551
ACH-000041,-1.82571105254
ACH-000042,-1.6026082482700001
ACH-000045,-1.4217420843000002
ACH-000047,-1.5251906563100002
ACH-000052,-1.3730356574200002
ACH-000053,-1.4734499307299997
ACH-000054,-1.2722433861799998
ACH-000055,-1.3781524469400002
ACH-000060,-1.37191323506
ACH-000067,-1.4401018003100001
ACH-000070,-1.5850553456299998
ACH-000075,-1.21147259404
ACH-000078,-1.5606486727700002
ACH-000082,-0.891168635763
ACH-000085,-1.53562821234
ACH-000086,-1.43633698243
ACH-000087,-1.6209912597299998
ACH-000092,-1.59703285055
ACH-000095,-1.29945073684
ACH-000097,-1.6261063001499998
ACH-000098,-1.79500198286
ACH-000099,-1.649254663
ACH-000108,-1.7443027870299999
ACH-000113,-1.49707487336
ACH-000115,-1.05859039229
ACH-000116,-1.43461163326
ACH-000118,-1.22743125884
ACH-000120,-1.7387983554599997
ACH-000123,-1.3427404632299997
ACH-000127,-1.2765376312899999
ACH-000128,-1.3318050455200001
ACH-000132,-1.71440739387
ACH-000133,-1.3217584217799998
ACH-000137,-1.41167169845
ACH-000138,-1.3794286281
ACH-000142,-1.64564186782
ACH-000143,-1.54261473878
ACH-000146,-1.58332568171
ACH-000148,-1.69922289421
ACH-000150,-1.45178642411
ACH-000152,-1.6100152126299998
ACH-000153,-1.6260237774200001
ACH-000159,-1.65508175524
ACH-000160,-1.4399387179499998
ACH-000163,-1.4604782949200001
ACH-000167,-1.6533572009600002
ACH-000168,-1.55315593699
ACH-000169,-1.60609966551
ACH-000178,-1.51752312488
ACH-000182,-1.47483856576
ACH-000183,-1.5396999968599998
ACH-000188,-1.39761627614
