,DDB1 (1642)
ACH-000004,-1.7393859063400001
ACH-000007,-1.7746310758500001
ACH-000009,-1.5797864016799998
ACH-000011,-1.97810925857
ACH-000012,-1.8520638851700002
ACH-000013,-1.78892937902
ACH-000014,-1.6135318288999998
ACH-000015,-1.9158004881400001
ACH-000017,-1.59697476771
ACH-000018,-1.63428339626
ACH-000019,-1.51264462014
ACH-000021,-1.7342963874000001
ACH-000022,-1.6198994848100001
ACH-000025,-1.6710471593599998
ACH-000028,-1.7816568521
ACH-000030,-1.6574349767299998
ACH-000035,-1.6538669520700002
ACH-000036,-1.60556221337
ACH-000037,-2.12258143309
ACH-000039,-1.7869170242400003
ACH-000040,-1.77209915348
ACH-000041,-1.65377441816
ACH-000042,-1.7890516202900002
ACH-000045,-1.903809394
ACH-000047,-1.69064564419
ACH-000052,-1.74869981964
ACH-000053,-1.7822716549400002
ACH-000054,-1.6933652396599999
ACH-000055,-2.06279502892
ACH-000060,-1.64402486816
ACH-000067,-1.30417486935
ACH-000070,-1.6340905832400001
ACH-000075,-1.64541526822
ACH-000078,-1.85728321398
ACH-000082,-1.26199415031
ACH-000085,-1.66881159183
ACH-000086,-1.5797141616400001
ACH-000087,-1.46957972262
ACH-000092,-1.7753078545599996
ACH-000095,-1.68595547447
ACH-000097,-1.94874580251
ACH-000098,-1.69793037237
ACH-000099,-1.8233876932
ACH-000108,-1.8519175097099998
ACH-000113,-1.71731528367
ACH-000115,-1.64096920231
ACH-000116,-1.7680340598299997
ACH-000118,-1.59763393984
ACH-000120,-1.6295891316
ACH-000123,-1.80619288403
ACH-000127,-1.7619645947599998
ACH-000128,-1.7539460966799998
ACH-000132,-1.7590115398
ACH-000133,-1.7139674442500001
ACH-000137,-1.82543700803
ACH-000138,-1.92940025156
ACH-000142,-1.61422230283
ACH-000143,-1.6695225122600001
ACH-000146,-2.34659886202
ACH-000148,-1.7345120301900003
ACH-000150,-1.6696719204600001
ACH-000152,-1.7125298125100001
ACH-000153,-1.7885141573900003
ACH-000159,-1.5532460532499999
ACH-000160,-1.26375310698
ACH-000163,-1.68816219301
ACH-000167,-1.48329576518
ACH-000168,-1.9890536220099997
ACH-000169,-1.63903163602
ACH-000178,-1.69497755838
ACH-000182,-1.85795355604
ACH-000183,-1.7688712723599997
ACH-000188,-1.58626681183
ACH-000189,-1.84917457825
ACH-000190,-1.3113675769600002
ACH-000198,-1.96992391857
ACH-000204,-1.42953606854
ACH-000206,-1.75503980776
ACH-000207,-1.79791223595
ACH-000211,-1.5373680822799998
ACH-000215,-1.5555309980599998
ACH-000221,-1.81459565567
ACH-000222,-1.8596640430000002
ACH-000223,-1.65647694766
