,CYLD (1540)
ACH-000004,-0.313935756565
ACH-000007,-0.298708621196
ACH-000009,-0.25566086673599997
ACH-000011,0.17269129638500003
ACH-000012,-0.22227043995999998
ACH-000013,-0.22915850438299998
ACH-000014,0.247460886021
ACH-000015,-0.240009349034
ACH-000017,-0.28979744728900003
ACH-000018,-0.07658135115430001
ACH-000019,-0.546645112801
ACH-000021,-0.5276714203739999
ACH-000022,-0.125996222198
ACH-000025,0.030313111213000003
ACH-000028,-0.191187037404
ACH-000030,-0.149897611225
ACH-000035,-0.46781792967200003
ACH-000036,-0.293869545938
ACH-000037,-0.137397807148
ACH-000039,-0.168922201968
ACH-000040,-0.14272670782299998
ACH-000041,-0.00315710455638
ACH-000042,0.05140306794459999
ACH-000045,-0.139194657993
ACH-000047,-0.238868710983
ACH-000052,-0.256548573304
ACH-000053,-0.582483577631
ACH-000054,-0.239514275882
ACH-000055,-0.27700902765200003
ACH-000060,0.0793847205014
ACH-000067,-0.32062990866
ACH-000070,-0.347445944477
ACH-000075,-0.09670539212889999
ACH-000078,-0.36741200524000006
ACH-000082,-0.325162553003
ACH-000085,-0.281754401096
ACH-000086,-0.262531068696
ACH-000087,-0.165923254719
ACH-000092,-0.266050561641
ACH-000095,-0.27038259719200003
ACH-000097,-0.38906448049900005
ACH-000098,-0.049786297972900004
ACH-000099,-0.19311109187199998
ACH-000108,-0.236543782564
ACH-000113,-0.343148039808
ACH-000115,-0.48036338993600003
ACH-000116,-0.31764915198399996
ACH-000118,-0.32208644366
ACH-000120,-0.36305154622900004
ACH-000123,-0.240872142761
ACH-000127,-0.107554728683
ACH-000128,-0.404702085581
ACH-000132,-0.211072539594
ACH-000133,-0.287334339396
ACH-000137,-0.143195316344
ACH-000138,-0.6958893890189999
ACH-000142,-0.0650604444096
ACH-000143,-0.24960120391899998
ACH-000146,-0.499687199732
ACH-000148,-0.11080796602399999
ACH-000150,-0.0285683501897
ACH-000152,-0.45353462555699997
ACH-000153,0.00422320312256
ACH-000159,-0.164009138751
ACH-000160,-0.379737753037
ACH-000163,-0.0818721319317
ACH-000167,-0.14845086998600002
ACH-000168,-0.35660078756499997
ACH-000169,0.28716311982
ACH-000178,-0.449488472843
ACH-000182,-0.379651276405
ACH-000183,-0.274219874747
ACH-000188,-0.20730848380300002
ACH-000189,0.10156872853599999
ACH-000190,-0.352213837535
ACH-000198,-0.314142989283
ACH-000204,-0.293608530278
ACH-000206,-0.299397529059
ACH-000207,-0.308829920126
ACH-000211,-0.38893042186899995
ACH-000215,-0.013864044947200001
ACH-000221,-0.239581832979
ACH-000222,-0.49929039517800006
ACH-000223,-0.300580909587
ACH-000226,-0.1908643595
ACH-000227,-0.43614096682
ACH-000228,-0.550922548125
ACH-000231,-0.00036251702972699997
ACH-000232,-0.0888878775998
ACH-000233,-0.504874016236
ACH-000234,0.0173986262175
ACH-000235,-0.243702714621
ACH-000237,-0.137579674123
ACH-000238,-0.141301567447
ACH-000243,-0.536291199548
ACH-000244,0.177068977385
ACH-000246,-0.0485695735231
ACH-000248,-0.387180693698
ACH-000250,-0.13567698745200002
ACH-000251,0.0126000625276
ACH-000253,-0.237989713512
ACH-000255,-0.28015774665
ACH-000256,-0.472941994992
ACH-000257,-0.596184135968
ACH-000258,-0.806853244109
ACH-000259,-0.19807187487999997
ACH-000260,-0.355582136741
ACH-000261,-0.158899518389
ACH-000262,-0.12980954005999998
ACH-000263,-0.342765110538
ACH-000264,-0.35752383545
ACH-000265,-0.17751704893
ACH-000266,-0.152444505437
ACH-000272,-0.042018444014
ACH-000273,-0.13044842188300002
ACH-000274,0.133299338981
ACH-000277,-0.29922266319
ACH-000278,-0.1427718094
ACH-000279,-0.13167399527899998
ACH-000280,-0.0369293061046
ACH-000281,-0.288142064167
ACH-000288,-0.0713666939333
ACH-000291,-0.23712844421100002
ACH-000293,-0.165215555568
ACH-000294,-0.46141443486
ACH-000295,-0.109073165511
ACH-000296,-0.208407973185
ACH-000302,-0.0536886313076
ACH-000304,0.048454553886400006
ACH-000307,-0.134063490033
ACH-000308,-0.390364238543
ACH-000310,-0.495109140446
ACH-000311,-0.376301376764
ACH-000312,-0.33806827871600004
ACH-000315,0.0027293232828
ACH-000316,-0.20220519260000003
ACH-000317,-0.201796859025
ACH-000318,-0.160742500353
ACH-000319,-0.21574443181999997
ACH-000320,-0.278606213261
ACH-000322,-0.262648861817
ACH-000323,-0.193184215436
ACH-000324,-0.158696696198
ACH-000329,-0.298938311405
ACH-000330,-0.46832821275200004
ACH-000331,-0.28187535552
ACH-000332,-0.328251231853
ACH-000334,-0.404479386458
ACH-000335,-0.151566217304
ACH-000336,-0.22837335344
ACH-000337,-0.17452365762000002
ACH-000339,-0.24049369704300003
ACH-000341,-0.0853075565594
ACH-000348,-0.154840828791
ACH-000350,-0.0782558944469
ACH-000352,-0.232187469174
ACH-000356,-0.152538678755
ACH-000361,-0.21417523760899998
ACH-000362,-0.317427644067
ACH-000363,-0.050723340880300005
ACH-000364,-0.207385172846
ACH-000365,-0.165739142889
ACH-000366,-0.16991156140099997
ACH-000368,-0.117571109298
ACH-000374,-0.46626053905500003
ACH-000375,-0.162392220985
ACH-000376,-0.22522246305100002
ACH-000381,-0.441248503907
ACH-000383,-0.533608400256
ACH-000387,-0.376298787654
ACH-000389,-0.130039414209
ACH-000390,-0.253947890046
ACH-000393,-0.286625711013
ACH-000395,0.0306085403608
ACH-000397,-0.666710947544
ACH-000401,0.20978756776299998
ACH-000402,0.0238750299405
ACH-000403,-0.165281295594
ACH-000404,-0.287447102207
ACH-000406,-0.262716261094
ACH-000407,-0.188263788499
ACH-000408,-0.203949031309
ACH-000410,-0.233092192471
