,PLEK2 (26499)
ACH-000004,-0.030061439174
ACH-000007,-0.185355906625
ACH-000009,-0.18529951792100002
ACH-000011,-0.0290474158984
ACH-000012,-0.0607228354208
ACH-000013,0.048902089184600005
ACH-000014,0.18569029481
ACH-000015,-0.0466094903613
ACH-000017,-0.137753842752
ACH-000018,0.0304918526181
ACH-000019,0.21491186521699998
ACH-000021,0.215759675376
ACH-000022,0.0182815675384
ACH-000025,0.0014010565761900001
ACH-000028,0.0386339889725
ACH-000030,-0.039765063977
ACH-000035,-0.05460202509
ACH-000036,0.09551455271610002
ACH-000037,0.0299567035488
ACH-000039,0.0398503271767
ACH-000040,0.0174112038296
ACH-000041,-0.171954526348
ACH-000042,-0.115689878596
ACH-000045,0.115969667026
ACH-000047,0.0701779250164
ACH-000052,0.274061660753
ACH-000053,-0.0509901907495
ACH-000054,-0.08031468884210001
ACH-000055,-0.108916853868
ACH-000060,-0.340077745486
ACH-000067,0.00039228507126999997
ACH-000070,-0.0794310386713
ACH-000075,-0.08539528323699999
ACH-000078,-0.087689264909
ACH-000082,-0.0226247176191
ACH-000085,-0.06925105172960001
ACH-000086,-0.0289330514872
ACH-000087,0.0799401464826
ACH-000092,0.0422537701237
ACH-000095,0.0164470822779
ACH-000097,-0.0310079562904
ACH-000098,0.0622441137067
ACH-000099,-0.09224294677760002
ACH-000108,-0.010149413933799999
ACH-000113,0.10652579011
ACH-000115,0.0278230917057
ACH-000116,0.0465672653806
ACH-000118,-0.11685574102099999
ACH-000120,0.0577878123202
ACH-000123,0.100317948437
ACH-000127,0.0313664904797
ACH-000128,0.015226985980400001
ACH-000132,0.07500354239280001
ACH-000133,0.10888605554000001
ACH-000137,0.0272977158717
ACH-000138,0.0157063583061
ACH-000142,-0.0126777983207
ACH-000143,0.131784550838
ACH-000146,0.0552176765262
ACH-000148,0.07707825112889999
ACH-000150,0.0821374265287
ACH-000152,-0.0105400553636
ACH-000153,0.0352105093096
ACH-000159,-0.00535174263564
ACH-000160,-0.019589494014
ACH-000163,0.015224654385799999
ACH-000167,-0.0718316945223
