,ARFIP2 (23647)
ACH-000004,-0.244842247265
ACH-000007,-0.233376192948
ACH-000009,-0.0814461476482
ACH-000011,0.202637143133
ACH-000012,-0.11962191997000002
ACH-000013,-0.11370680445900001
ACH-000014,0.012041065896100002
ACH-000015,0.00900809806053
ACH-000017,0.0134987930495
ACH-000018,-0.136899271913
ACH-000019,-0.200379584232
ACH-000021,-0.0775766281712
ACH-000022,-0.0823728202367
ACH-000025,-0.210259689298
ACH-000028,-0.192269692301
ACH-000030,-0.07334832941639999
ACH-000035,-0.167187925836
ACH-000036,-0.0980556666626
ACH-000037,-0.35349557160800005
ACH-000039,-0.07445127423169999
ACH-000040,-0.13802972478800002
ACH-000041,-0.18065192033500002
ACH-000042,-0.08949630898
ACH-000045,-0.19748683299199998
ACH-000047,-0.024278279365
ACH-000052,0.0121151929033
ACH-000053,-0.017172260774299997
ACH-000054,0.011520397402899998
ACH-000055,-0.29165766239999996
ACH-000060,-0.192719696109
ACH-000067,0.042430396843600005
ACH-000070,0.043050905563900004
ACH-000075,-0.161418005022
ACH-000078,-0.0431011619199
ACH-000082,-0.199694195944
ACH-000085,-0.250347631251
ACH-000086,-0.056484834020800005
ACH-000087,-0.124455695651
ACH-000092,-0.141653595475
ACH-000095,-0.11852648436899998
ACH-000097,-0.224353139073
ACH-000098,-0.06966457890239999
ACH-000099,-0.13019982276
ACH-000108,-0.09626516396490001
ACH-000113,-0.05829966921080001
ACH-000115,-0.251132428836
ACH-000116,-0.0836605693645
ACH-000118,-0.0993592657838
ACH-000120,-0.161036127178
ACH-000123,-0.0900445479284
ACH-000127,-0.00759126966059
ACH-000128,-0.169580314487
ACH-000132,-0.0234093707454
ACH-000133,-0.185841580374
ACH-000137,-0.18692104013900002
ACH-000138,-0.182706590807
ACH-000142,-0.0130472325179
ACH-000143,-0.41983365568400005
ACH-000146,-0.219627994258
ACH-000148,-0.0887875259023
ACH-000150,-0.18833202297
ACH-000152,0.0026865395454299997
ACH-000153,-0.271084355694
ACH-000159,-0.25537961335799997
ACH-000160,0.00363114279791
ACH-000163,-0.143592125142
ACH-000167,-0.190116897669
ACH-000168,-0.165364012936
ACH-000169,-0.280363810513
ACH-000178,-0.113681861801
ACH-000182,-0.227901937949
ACH-000183,-0.160520428584
ACH-000188,-0.16567555943700002
ACH-000189,-0.546329825654
ACH-000190,-0.14635579121099998
ACH-000198,-0.08146703738460001
ACH-000204,-0.11417949804000001
ACH-000206,-0.272002809558
ACH-000207,0.0166773267017
ACH-000211,-0.025377339890600002
ACH-000215,-0.051790906301699996
ACH-000221,-0.0822202367297
ACH-000222,0.158680934763
ACH-000223,-0.167211135201
ACH-000226,-0.029073724219299997
ACH-000227,0.10958888375999998
ACH-000228,0.186218251636
ACH-000231,-0.027990618457999997
ACH-000232,-0.181937205654
ACH-000233,-0.15733627481899998
ACH-000234,-0.00559316740412
ACH-000235,-0.09287697340819999
