,AUP1 (550)
ACH-000004,0.0168546045113
ACH-000007,-0.06898940108639999
ACH-000009,0.168941227033
ACH-000011,0.47117141684600006
ACH-000012,-0.19729706071
ACH-000013,-0.0375197440012
ACH-000014,-0.321897181482
ACH-000015,-0.021719427311400002
ACH-000017,-0.18797472664599998
ACH-000018,-0.139653461988
ACH-000019,-0.37835060114600005
ACH-000021,0.024555561446
ACH-000022,-0.15127463319
ACH-000025,-0.0782211718112
ACH-000028,-0.145785037072
ACH-000030,-0.22922969933
ACH-000035,-0.350943509083
ACH-000036,-0.370851815939
ACH-000037,-0.0761581342317
ACH-000039,-0.00964758317651
ACH-000040,-0.298873231065
ACH-000041,0.24141250790600002
ACH-000042,-0.255514265403
ACH-000045,-0.17482820931600002
ACH-000047,0.16632647595
ACH-000052,-0.0031117793825500006
ACH-000053,0.013584087982700001
ACH-000054,-0.025475354182599996
ACH-000055,-0.027120886003400003
ACH-000060,-0.32614965024500003
ACH-000067,-0.47316510466399997
ACH-000070,-0.09903660746819999
ACH-000075,-0.249106743074
ACH-000078,0.129750842172
ACH-000082,-0.158831692609
ACH-000085,-0.185043917546
ACH-000086,-0.089169240285
ACH-000087,0.07752837004180001
ACH-000092,-0.606462079595
ACH-000095,-0.0300816171632
ACH-000097,-0.25038002305
ACH-000098,-0.12712366472300002
ACH-000099,0.0793013402686
ACH-000108,0.0034299083092800002
ACH-000113,0.106568066075
ACH-000115,0.256761865038
ACH-000116,0.00375726161869
ACH-000118,-0.319022641206
ACH-000120,-0.144125978244
ACH-000123,0.052722665301999996
ACH-000127,-0.00801090655686
ACH-000128,-0.0345373402629
ACH-000132,-0.0808533103476
ACH-000133,-0.321585692458
ACH-000137,0.156139344518
ACH-000138,-0.0739125570247
ACH-000142,-0.0706132848817
ACH-000143,-0.0058147934078
ACH-000146,-0.0439430739136
ACH-000148,-0.158501453244
ACH-000150,0.13389105175899998
ACH-000152,-0.29148084097
ACH-000153,0.237274867315
ACH-000159,-0.121781901966
ACH-000160,-0.163501631869
ACH-000163,-0.42327456388000007
ACH-000167,-0.15813926751399998
ACH-000168,-0.241997338454
ACH-000169,-0.00949835276832
ACH-000178,0.0656022605818
ACH-000182,0.12035714658399999
ACH-000183,0.0579282360781
ACH-000188,-0.305040480631
ACH-000189,-0.22714721695099999
ACH-000190,-0.178354865322
ACH-000198,-0.6181555302480001
ACH-000204,-0.409297253973
ACH-000206,-0.0478537931052
ACH-000207,-0.31090053979000004
ACH-000211,-0.116983967658
ACH-000215,-0.0819264184725
ACH-000221,0.0748045681967
ACH-000222,-0.193454900748
ACH-000223,-0.12437105555099999
ACH-000226,-0.0374845467455
ACH-000227,0.0452568049676
ACH-000228,-0.454966942203
ACH-000231,0.0104800211159
ACH-000232,-0.186257884659
ACH-000233,-0.176487923411
ACH-000234,-0.07196731031289999
ACH-000235,-0.0077632045793000004
ACH-000237,-0.214335009791
ACH-000238,-0.323680807005
ACH-000243,-0.176091909269
ACH-000244,-0.278498782519
ACH-000246,-0.13140643562999998
ACH-000248,-0.249948599608
ACH-000250,-0.169254805665
ACH-000251,-0.38418173193599997
ACH-000253,-0.06374638436459999
ACH-000255,-0.154159188056
ACH-000256,-0.148023156726
ACH-000257,0.104056083477
ACH-000258,0.176754183393
ACH-000259,0.0641579083003
ACH-000260,0.034687791668
ACH-000261,-0.0507446121342
