,KANSL3 (55683)
ACH-000004,-1.16032228965
ACH-000007,-1.29648155857
ACH-000009,-1.1012881994200001
ACH-000011,-1.12378151435
ACH-000012,-1.28966109769
ACH-000013,-1.5155058652000002
ACH-000014,-1.06606678995
ACH-000015,-1.03978005291
ACH-000017,-1.49192168914
ACH-000018,-0.850775019701
ACH-000019,-1.31494527692
ACH-000021,-1.2755785634999999
ACH-000022,-1.17105121673
ACH-000025,-1.18733427764
ACH-000028,-1.4096527669299999
ACH-000030,-1.0994606203
ACH-000035,-1.2637874913299998
ACH-000036,-0.893971933973
ACH-000037,-0.43135549607900003
ACH-000039,-1.3491199256200002
ACH-000040,-1.35641519603
ACH-000041,-1.24267175635
ACH-000042,-1.32743850089
ACH-000045,-1.3285274991299998
ACH-000047,-1.29794654729
ACH-000052,-1.14858495756
ACH-000053,-1.18192165131
ACH-000054,-1.31071839156
ACH-000055,-1.35016556402
ACH-000060,-1.3056050833600001
ACH-000067,-1.15617469928
ACH-000070,-1.08319200397
ACH-000075,-1.24526490874
ACH-000078,-1.10488027575
ACH-000082,-0.971336109032
ACH-000085,-1.2379772005
ACH-000086,-0.771863848847
ACH-000087,-1.2906354898899999
ACH-000092,-1.35764874745
ACH-000095,-1.24260707158
ACH-000097,-1.35647353084
ACH-000098,-1.25999013062
ACH-000099,-1.03595113154
ACH-000108,-1.17167650279
ACH-000113,-1.18128569691
ACH-000115,-1.68010091347
ACH-000116,-1.5602421149
ACH-000118,-1.27247011077
ACH-000120,-1.05683970133
ACH-000123,-1.2346686072700002
ACH-000127,-1.00783794256
ACH-000128,-1.45534798113
ACH-000132,-0.61529713297
ACH-000133,-1.00462396119
ACH-000137,-1.19879492558
ACH-000138,-1.0660052740200001
ACH-000142,-0.940094791876
ACH-000143,-1.10137828149
ACH-000146,-1.29876103275
ACH-000148,-1.0852096256100001
ACH-000150,-1.07254103972
ACH-000152,-1.2057169224600002
ACH-000153,-0.659973700034
ACH-000159,-0.9713260848469999
ACH-000160,-0.964139913247
ACH-000163,-0.993534165158
ACH-000167,-0.9784356092759999
ACH-000168,-1.07718769816
ACH-000169,-1.11224986
ACH-000178,-1.05749010075
ACH-000182,-1.27152289517
ACH-000183,-1.3579387264899998
ACH-000188,-1.4439370647
ACH-000189,-1.6823709428600002
ACH-000190,-1.04866376426
ACH-000198,-1.35376101861
ACH-000204,-1.0654019813700002
ACH-000206,-1.3245965096799999
ACH-000207,-1.37896816446
ACH-000211,-1.34572480206
ACH-000215,-1.41487131268
ACH-000221,-1.1971415671899999
ACH-000222,-1.30191797161
ACH-000223,-1.12810663312
ACH-000226,-1.1430676716700001
ACH-000227,-1.2684312978399999
ACH-000228,-1.53967976933
ACH-000231,-1.09141358021
ACH-000232,-1.19123262156
ACH-000233,-1.60567020662
ACH-000234,-0.8901009472920001
ACH-000235,-1.14884654717
ACH-000237,-1.59344719819
ACH-000238,-1.6253839837900002
ACH-000243,-1.0177838959
ACH-000244,-0.9943100538390001
ACH-000246,-1.3772918985799998
ACH-000248,-1.3159319065700001
ACH-000250,-1.22549348737
ACH-000251,-1.4814149542200001
ACH-000253,-0.987396510087
ACH-000255,-1.2618768414700001
ACH-000256,-1.260809429
ACH-000257,-1.2121925405399998
ACH-000258,-1.61565441354
ACH-000259,-1.3462802064100001
ACH-000260,-1.36248650033
ACH-000261,-1.16726718125
ACH-000262,-1.2593572496799998
ACH-000263,-1.05163709597
ACH-000264,-1.32278927808
ACH-000265,-1.0847501829700001
ACH-000266,-1.36001582752
ACH-000272,-1.0853155898
ACH-000273,-0.8428554220379999
ACH-000274,-0.6438101702610001
ACH-000277,-1.44431263044
ACH-000278,-1.37712142708
ACH-000279,-0.991341519913
ACH-000280,-1.36323906887
ACH-000281,-1.38986464109
ACH-000288,-1.20362014224
ACH-000291,-1.33254480588
ACH-000293,-1.41928835957
ACH-000294,-0.662211957292
ACH-000295,-1.5148370876600001
ACH-000296,-1.29548065622
ACH-000302,-1.6971605285100002
ACH-000304,-1.41222864831
ACH-000307,-1.14913116537
ACH-000308,-1.1374349680700002
ACH-000310,-1.03609839131
ACH-000311,-1.5941609016100002
ACH-000312,-1.2590234272399998
ACH-000315,-0.913781978409
ACH-000316,-1.3107738907700002
ACH-000317,-1.94674325407
ACH-000318,-1.36108623336
ACH-000319,-1.08884692662
ACH-000320,-1.4138223150600002
ACH-000322,-1.3523134106799999
ACH-000323,-0.7341360543150001
ACH-000324,-1.08438180276
ACH-000329,-1.16628068561
ACH-000330,-1.26027665105
ACH-000331,-1.1773748847299998
ACH-000332,-1.29606868257
ACH-000334,-0.8971680699200001
ACH-000335,-0.9530092055670001
ACH-000336,-1.0486675183399998
ACH-000337,-1.1548165047799999
ACH-000339,-1.41094705905
ACH-000341,-1.06754882709
ACH-000348,-1.05832856688
ACH-000350,-1.3809759925299998
ACH-000352,-1.52516674905
ACH-000356,-1.11460374221
ACH-000361,-0.793487843293
ACH-000362,-1.1629122558
ACH-000363,-1.0810838177700002
ACH-000364,-1.4360863947
ACH-000365,-1.35430550201
ACH-000366,-1.11134120475
ACH-000368,-0.5773650729240001
ACH-000374,-1.3903542754700002
ACH-000375,-1.13233329237
ACH-000376,-1.07745578074
ACH-000381,-1.22319879712
ACH-000383,-0.692445200555
ACH-000387,-1.3896566919100002
ACH-000389,-1.20416338267
ACH-000390,-1.28104969649
ACH-000393,-1.59997153449
ACH-000395,-1.51798552129
ACH-000397,-1.32082536784
ACH-000401,-1.59224294382
ACH-000402,-0.332892685845
ACH-000403,-1.4969238327
ACH-000404,-1.28945183815
ACH-000406,-1.2421326109200002
ACH-000407,-1.0493082986799998
ACH-000408,-1.4472514119799997
ACH-000410,-1.2488334122700002
ACH-000411,-1.53314343065
ACH-000414,-1.20093487642
ACH-000415,-1.3784246122600001
ACH-000416,-1.1723063498200001
ACH-000420,-1.28995011017
ACH-000421,-1.26447975474
ACH-000424,-1.1714936431999998
ACH-000425,-1.19506783573
ACH-000426,-0.882528641581
ACH-000427,-1.12525959758
ACH-000433,-1.0899513338700002
ACH-000436,-1.13645476776
ACH-000444,-1.16012677528
ACH-000445,-0.752145294886
ACH-000448,-1.38630657635
ACH-000450,-1.02080826265
ACH-000452,-0.940622167894
ACH-000454,-1.3579322322999998
ACH-000458,-1.27373793469
ACH-000459,-1.9026992276900003
ACH-000460,-1.23091843346
ACH-000461,-1.49515251695
ACH-000463,-1.1397279178200002
ACH-000464,-1.17165469521
ACH-000466,-1.41571165508
ACH-000467,-1.05378646737
ACH-000468,-1.01432076559
ACH-000469,-1.2530276400799998
ACH-000470,-0.984103913445
ACH-000471,-0.9170234437970001
ACH-000472,-1.0864883003899999
ACH-000473,-0.9320715196780001
ACH-000475,-1.26221400085
ACH-000476,-1.4740564415900002
ACH-000477,-0.91511279631
ACH-000480,-1.18001740936
ACH-000481,-1.4427684305700001
ACH-000483,-0.8157535723229999
ACH-000484,-1.29507581691
ACH-000485,-0.6627875147860001
ACH-000486,-1.43003270305
ACH-000487,-1.21222062362
ACH-000488,-1.40158993772
ACH-000490,-0.884150651733
ACH-000491,-1.3222078210700001
ACH-000495,-0.7966698881450001
ACH-000496,-1.09256868562
ACH-000499,-0.956589841223
ACH-000500,-0.7778331060870001
ACH-000502,-1.5112695004299999
ACH-000503,-1.1190386157899999
ACH-000505,-0.718842647591
ACH-000507,-1.25907699531
ACH-000510,-0.7763408229109999
ACH-000511,-1.12463365341
ACH-000512,-1.37555352709
ACH-000516,-0.68773385406
ACH-000517,-1.1941686375700002
ACH-000518,-1.29941886379
ACH-000520,-1.2090472006100002
ACH-000521,-1.26988117146
ACH-000522,-1.33027615589
ACH-000524,-1.64102519377
ACH-000527,-1.37981334648
ACH-000528,-1.3519038765600002
ACH-000537,-1.00692472135
ACH-000541,-0.913414443408
ACH-000542,-1.14194617304
ACH-000544,-1.02557166352
ACH-000545,-1.2298137674
ACH-000547,-1.0118142327200002
ACH-000548,-1.12598254998
ACH-000549,-1.2108907330399998
ACH-000550,-0.923302061945
ACH-000552,-1.33901272629
ACH-000556,-1.2830591886799998
ACH-000557,-1.01955228555
ACH-000570,-1.19357429146
ACH-000571,-1.35611694586
ACH-000573,-1.03153985932
ACH-000576,-0.874185579258
ACH-000580,-1.69888762216
ACH-000584,-1.41646372484
ACH-000585,-1.30813083616
ACH-000588,-1.22448857911
ACH-000589,-1.24793777482
ACH-000591,-1.29472234218
ACH-000593,-0.667978630157
ACH-000600,-1.07742023604
ACH-000601,-1.3577955911500001
ACH-000604,-1.20943601596
ACH-000605,-1.1998000491
ACH-000606,-1.28243649787
ACH-000608,-1.01524311984
ACH-000614,-1.12557185297
ACH-000616,-1.62477297083
