,NDOR1 (27158)
ACH-000004,-1.07961826108
ACH-000007,-0.897596372394
ACH-000009,-0.827267827149
ACH-000011,-0.769287269992
ACH-000012,-1.0107088473
ACH-000013,-0.817269360884
ACH-000014,-1.1105452572
ACH-000015,-1.10819923968
ACH-000017,-1.0593754174299999
ACH-000018,-1.37469814167
ACH-000019,-0.811506004739
ACH-000021,-1.067348164
ACH-000022,-1.01474642509
ACH-000025,-1.03214842254
ACH-000028,-1.04202934485
ACH-000030,-1.07823319904
ACH-000035,-1.1111928812
ACH-000036,-1.09960893323
ACH-000037,-0.685292744657
ACH-000039,-1.23333370802
ACH-000040,-1.0555213369399998
ACH-000041,-0.984175101742
ACH-000042,-1.199221285
ACH-000045,-0.9652588670540001
ACH-000047,-1.1722760246200001
ACH-000052,-1.25086495224
ACH-000053,-0.907161943617
ACH-000054,-1.0723264748899999
ACH-000055,-0.846653182279
ACH-000060,-1.097646614
ACH-000067,-1.04259220502
ACH-000070,-1.0786598669499998
ACH-000075,-0.967164565026
ACH-000078,-0.965486200581
ACH-000082,-0.735498020396
ACH-000085,-0.874485374685
ACH-000086,-0.9691161852050001
ACH-000087,-0.894738437031
ACH-000092,-1.04450163064
ACH-000095,-0.921900487946
ACH-000097,-1.03900056785
ACH-000098,-1.3844513766100002
ACH-000099,-1.1223822618000001
ACH-000108,-0.973385655219
ACH-000113,-0.8557644886660001
ACH-000115,-1.3065581095899998
ACH-000116,-0.93911636686
ACH-000118,-0.8511765817329999
ACH-000120,-0.900872641393
ACH-000123,-1.08554770051
ACH-000127,-1.04840395545
ACH-000128,-1.27379452605
ACH-000132,-0.9862066634990001
ACH-000133,-1.3512164800400002
ACH-000137,-1.00544657263
ACH-000138,-1.1664449535899999
ACH-000142,-1.3184657767299999
ACH-000143,-1.00669864595
ACH-000146,-0.503462863973
ACH-000148,-1.15186092211
ACH-000150,-1.22379839578
ACH-000152,-1.16918329605
ACH-000153,-1.06524307267
ACH-000159,-1.55107377504
ACH-000160,-0.660442229681
ACH-000163,-1.19792112787
ACH-000167,-1.0303214692799998
ACH-000168,-0.662909132764
ACH-000169,-0.883898607791
ACH-000178,-0.9401131796619999
ACH-000182,-0.644679221703
ACH-000183,-1.05501747635
ACH-000188,-0.8124449926780001
ACH-000189,-1.11638809411
ACH-000190,-1.29856192805
ACH-000198,-0.9987236642239999
ACH-000204,-1.47276159848
ACH-000206,-1.01332027187
ACH-000207,-1.2992565299799999
ACH-000211,-1.04604373709
ACH-000215,-1.30709875882
ACH-000221,-1.0680411218299999
ACH-000222,-0.999914714503
ACH-000223,-1.01196040234
ACH-000226,-1.10750126466
ACH-000227,-0.89496370136
ACH-000228,-0.942974188298
ACH-000231,-0.9802051909649999
ACH-000232,-1.03697469957
ACH-000233,-0.964944603102
ACH-000234,-1.4568654616499999
ACH-000235,-0.9468208027770001
ACH-000237,-1.02176675423
ACH-000238,-0.7691710874250001
ACH-000243,-0.812795124731
ACH-000244,-1.01696415521
ACH-000246,-1.0940515761799998
ACH-000248,-1.27534414006
ACH-000250,-1.23887102885
ACH-000251,-1.0048266561299999
ACH-000253,-0.936295125004
ACH-000255,-1.0381752636
ACH-000256,-1.05261172456
ACH-000257,-0.7343829043919999
ACH-000258,-1.3051404626
ACH-000259,-0.988686003546
ACH-000260,-1.01258040769
ACH-000261,-1.15592238399
ACH-000262,-1.36823494307
ACH-000263,-0.837552392959
ACH-000264,-0.9389591052740001
ACH-000265,-0.8191442417010001
ACH-000266,-0.9333029078689999
ACH-000272,-0.849704616095
ACH-000273,-1.2748549548399999
ACH-000274,-0.9939061995110001
ACH-000277,-0.957062174166
ACH-000278,-1.14511144298
ACH-000279,-0.622958903761
ACH-000280,-1.10000418005
ACH-000281,-1.28495228548
ACH-000288,-1.0548324526100001
ACH-000291,-1.01558174771
ACH-000293,-0.99203915058
ACH-000294,-0.8846680409759999
ACH-000295,-1.28362053406
ACH-000296,-1.04888350578
ACH-000302,-0.898602564364
ACH-000304,-1.09948396865
ACH-000307,-0.8392692777940001
ACH-000308,-1.0430443096700002
ACH-000310,-0.8200865729060001
ACH-000311,-0.714325685659
ACH-000312,-1.01401832424
ACH-000315,-0.7950583133939999
ACH-000316,-1.11351486601
ACH-000317,-0.894174622491
ACH-000318,-0.914032858717
ACH-000319,-1.0616835503
ACH-000320,-0.814133184593
ACH-000322,-1.08883960062
ACH-000323,-0.9136992503299999
ACH-000324,-1.22754731045
ACH-000329,-1.35996541551
ACH-000330,-1.1888685865200002
ACH-000331,-1.02099441715
ACH-000332,-1.08214196502
ACH-000334,-0.7662828676629999
ACH-000335,-1.0327344243
ACH-000336,-1.47742962044
ACH-000337,-1.60603678088
ACH-000339,-1.16266216564
ACH-000341,-0.678195821125
ACH-000348,-1.1823014298899999
ACH-000350,-0.569083224714
ACH-000352,-0.791325504454
ACH-000356,-1.1500270763
ACH-000361,-0.919298999891
ACH-000362,-0.837962631197
ACH-000363,-1.12293907859
ACH-000364,-1.0003717261299998
ACH-000365,-0.855902036297
ACH-000366,-1.1839940068
ACH-000368,-1.2974554441700001
ACH-000374,-1.4137741041299998
ACH-000375,-1.30546239966
ACH-000376,-1.2020981308399998
ACH-000381,-0.700145345349
ACH-000383,-0.719527874426
ACH-000387,-0.7794935322859999
ACH-000389,-1.28832091068
ACH-000390,-1.0439451331799998
ACH-000393,-1.29810420734
ACH-000395,-1.00016065839
ACH-000397,-1.1512032775499998
ACH-000401,-0.910988618821
ACH-000402,-1.1399338338299998
ACH-000403,-0.656591314881
ACH-000404,-1.23581205116
ACH-000406,-0.8457996124320001
ACH-000407,-1.16884200369
ACH-000408,-0.8727153283939999
ACH-000410,-1.1807081126999999
ACH-000411,-1.01910590521
ACH-000414,-0.907106244083
ACH-000415,-0.799223709561
ACH-000416,-1.1878732731100001
ACH-000420,-1.0088263775700002
ACH-000421,-0.762409980497
ACH-000424,-1.26171739753
ACH-000425,-1.0116046669299998
ACH-000426,-1.1575330857500001
ACH-000427,-0.8733085813410001
ACH-000433,-1.08787360806
ACH-000436,-1.18228667896
ACH-000444,-0.802437168583
ACH-000445,-1.14467433061
ACH-000448,-0.727609165513
ACH-000450,-1.22219979719
ACH-000452,-1.03738096676
ACH-000454,-1.07908758667
ACH-000458,-0.837411319369
ACH-000459,-1.20534920332
ACH-000460,-1.14942468455
ACH-000461,-0.783057223423
ACH-000463,-0.841288862464
ACH-000464,-1.3202163315100002
ACH-000466,-1.2007124013400001
ACH-000467,-0.817908538771
ACH-000468,-0.880555225779
ACH-000469,-1.0073921734
ACH-000470,-1.23255690765
ACH-000471,-1.1138540005500002
ACH-000472,-1.0821591812
ACH-000473,-1.22372726796
