,OR2AG2 (338755)
ACH-000004,0.054966863451
ACH-000007,0.287599324366
ACH-000009,0.144456720328
ACH-000011,0.20797972466200002
ACH-000012,0.20704150659499998
ACH-000013,0.25751229559300004
ACH-000014,0.100516998156
ACH-000015,0.139660649444
ACH-000017,0.199246198964
ACH-000018,0.304047641466
ACH-000019,0.250096157533
ACH-000021,0.0409401624301
ACH-000022,0.126058748649
ACH-000025,0.22005255850900002
ACH-000028,0.213032895478
ACH-000030,0.162441321196
ACH-000035,0.26307627112799997
ACH-000036,0.0197272201463
ACH-000037,0.138784188916
ACH-000039,0.10097296357899999
ACH-000040,0.0930032650239
ACH-000041,0.342589630482
ACH-000042,0.11557405484099999
ACH-000045,0.262749770147
ACH-000047,0.11757051482799999
ACH-000052,0.12440985017799999
ACH-000053,0.0900468635908
ACH-000054,0.140345860012
ACH-000055,0.20227994859700002
ACH-000060,0.154926059053
ACH-000067,0.283355531833
ACH-000070,0.31718494482299997
ACH-000075,0.218886195997
ACH-000078,0.0649770985579
ACH-000082,0.269714301753
ACH-000085,0.428882126682
ACH-000086,0.18520160077199999
ACH-000087,0.201404094419
ACH-000092,0.118714106947
ACH-000095,0.0849185010107
ACH-000097,0.10716643085000001
ACH-000098,0.244730469982
ACH-000099,0.137972357054
ACH-000108,0.297679410405
ACH-000113,0.196841475429
ACH-000115,0.17841385456300002
ACH-000116,0.175995132874
ACH-000118,0.200699371856
ACH-000120,0.16579705867699998
ACH-000123,0.11682592254799999
ACH-000127,0.166227125712
ACH-000128,0.150011831344
ACH-000132,0.107768487189
ACH-000133,0.0436922402692
ACH-000137,0.0677429718571
ACH-000138,0.158952821008
ACH-000142,0.24249113160799998
ACH-000143,-0.16292629247
ACH-000146,0.130329206683
ACH-000148,0.134247371898
ACH-000150,0.19014403037900002
ACH-000152,0.391742653007
ACH-000153,0.576340407356
ACH-000159,0.06297095182529999
ACH-000160,0.193223310453
ACH-000163,0.229763733092
ACH-000167,0.29395879942200004
ACH-000168,0.258428761022
ACH-000169,0.242651073062
ACH-000178,0.130758528736
ACH-000182,0.232968503186
ACH-000183,0.178189203211
ACH-000188,0.314556865188
ACH-000189,0.024553012914200003
ACH-000190,0.0318073846747
ACH-000198,0.210520588292
ACH-000204,-0.113811482284
ACH-000206,0.130257659282
ACH-000207,0.40564493325199996
ACH-000211,0.26575198594300004
ACH-000215,0.024950428096400003
ACH-000221,0.29826773290999997
ACH-000222,0.19046521268
ACH-000223,0.0662400899047
ACH-000226,0.260492624828
ACH-000227,0.10874188062899999
ACH-000228,0.259237618296
ACH-000231,0.20143129417599998
ACH-000232,0.171643729052
ACH-000233,0.0787157037817
ACH-000234,0.07329427752710001
ACH-000235,0.1623228816
ACH-000237,0.259677238837
ACH-000238,0.0938752309212
ACH-000243,0.194050132679
ACH-000244,0.0715787261543
ACH-000246,0.175171946814
ACH-000248,0.138819715472
ACH-000250,0.138484387114
ACH-000251,0.434772317148
ACH-000253,0.221480072225
ACH-000255,0.20097516449
ACH-000256,-0.0305037869434
ACH-000257,0.278654659706
ACH-000258,0.235464663126
ACH-000259,0.209687668892
ACH-000260,0.178935762749
ACH-000261,-0.00685430514657
ACH-000262,0.173232596665
ACH-000263,0.0208259098616
ACH-000264,0.217750995808
ACH-000265,0.166373103521
ACH-000266,0.22849216356
ACH-000272,0.169374727139
ACH-000273,0.0281019981801
ACH-000274,-0.0144804863214
ACH-000277,0.0187334203825
ACH-000278,0.328786943603
ACH-000279,0.0736112082564
ACH-000280,0.20919613483199997
ACH-000281,0.260019481708
ACH-000288,0.145133931469
ACH-000291,0.17987567824
ACH-000293,0.269760662473
ACH-000294,-0.0161276379923
ACH-000295,-0.143786375007
ACH-000296,0.246642643133
ACH-000302,0.238745990476
ACH-000304,0.000692267918122
ACH-000307,0.052620769433500005
ACH-000308,0.18612097276099998
ACH-000310,0.269480560608
ACH-000311,0.149577938165
ACH-000312,0.207435586096
ACH-000315,0.09065306543530001
ACH-000316,0.1775413859
ACH-000317,0.043911654827800004
ACH-000318,-0.0596957504074
ACH-000319,-0.222996274214
ACH-000320,0.29805703824700003
ACH-000322,0.10228007843499999
ACH-000323,0.012173446273600001
ACH-000324,0.23983014373000003
ACH-000329,0.037220193647500004
ACH-000330,0.270841474571
ACH-000331,0.0783432148117
ACH-000332,0.239118340891
ACH-000334,0.143065661494
ACH-000335,0.141745404607
ACH-000336,0.328848970539
ACH-000337,0.08601006557299999
ACH-000339,0.253755680518
ACH-000341,0.046014031163800005
ACH-000348,0.18339982653200002
ACH-000350,0.243717258332
ACH-000352,0.336040643776
