,CRCP (27297)
ACH-000004,-1.70525722454
ACH-000007,-1.08793984107
ACH-000009,-1.48804380622
ACH-000011,-1.74600681214
ACH-000012,-1.36538836679
ACH-000013,-1.6830770978100003
ACH-000014,-0.891406907172
ACH-000015,-1.5870625607
ACH-000017,-1.14386539639
ACH-000018,-1.3108739837999999
ACH-000019,-1.2213452421100002
ACH-000021,-1.2198156836299998
ACH-000022,-1.11452825838
ACH-000025,-1.3748286102200002
ACH-000028,-1.40436186084
ACH-000030,-1.41807938911
ACH-000035,-1.71361217969
ACH-000036,-1.29162351537
ACH-000037,-1.7766788448400004
ACH-000039,-1.26643173477
ACH-000040,-1.3587773176700002
ACH-000041,-1.2340132691799999
ACH-000042,-1.5205492857499998
ACH-000045,-1.72024965352
ACH-000047,-1.35185103682
ACH-000052,-1.73368017377
ACH-000053,-1.30213712454
ACH-000054,-1.26820028785
ACH-000055,-1.4347312781200001
ACH-000060,-1.25691488255
ACH-000067,-1.1980291133399998
ACH-000070,-1.4057660114300001
ACH-000075,-1.26396621005
ACH-000078,-1.36735884743
ACH-000082,-1.53944713939
ACH-000085,-1.42336469805
ACH-000086,-1.1802312876799999
ACH-000087,-1.08235406756
ACH-000092,-1.29198484393
ACH-000095,-1.61931466551
ACH-000097,-1.54365273757
ACH-000098,-1.4435730324
ACH-000099,-1.29326967524
ACH-000108,-1.6038372883
ACH-000113,-1.47828795875
ACH-000115,-0.98068210764
ACH-000116,-1.99177915015
ACH-000118,-1.3623244261399998
ACH-000120,-1.46327063255
ACH-000123,-1.47664807958
ACH-000127,-1.43558770747
ACH-000128,-1.55834159554
ACH-000132,-1.46517869003
ACH-000133,-1.51712824561
ACH-000137,-1.64787718769
ACH-000138,-1.3391303029600001
ACH-000142,-1.4015271943599998
ACH-000143,-1.14300823825
ACH-000146,-1.5216344032700002
ACH-000148,-1.5079006072499999
ACH-000150,-1.3849718135299998
ACH-000152,-1.22520421813
ACH-000153,-1.3171408340200002
ACH-000159,-1.21088301994
ACH-000160,-1.6638274912399997
ACH-000163,-1.56525244318
ACH-000167,-1.6674957153999999
ACH-000168,-1.3717486053999999
ACH-000169,-1.41339262192
ACH-000178,-1.2382632749299998
ACH-000182,-1.57514309502
ACH-000183,-1.35835838424
ACH-000188,-1.3784530163
ACH-000189,-1.40580654071
ACH-000190,-1.23114252481
ACH-000198,-1.4779361894499998
ACH-000204,-1.33347160357
ACH-000206,-1.58599592224
ACH-000207,-1.8148643480900002
ACH-000211,-1.4621721937999999
ACH-000215,-1.2249480334
ACH-000221,-1.8523925125599998
ACH-000222,-1.06639450817
ACH-000223,-1.35208457129
ACH-000226,-1.04994086502
ACH-000227,-0.913240460272
ACH-000228,-1.52736990856
ACH-000231,-1.3714279716
ACH-000232,-1.4417516031200002
ACH-000233,-1.10310437452
ACH-000234,-1.31186392582
ACH-000235,-1.48316385676
ACH-000237,-1.7937202302900002
ACH-000238,-1.0449307450399998
ACH-000243,-1.27930090391
ACH-000244,-1.17687330988
ACH-000246,-1.1955232678
ACH-000248,-1.20378910448
ACH-000250,-1.4870387283500002
ACH-000251,-1.15868607288
ACH-000253,-1.28819757229
ACH-000255,-1.43138963368
ACH-000256,-1.15420359013
ACH-000257,-1.47480842027
ACH-000258,-1.78485297283
ACH-000259,-1.4230610788100002
ACH-000260,-1.44586376796
ACH-000261,-1.4760434977799999
ACH-000262,-1.49174954604
ACH-000263,-1.49078991903
ACH-000264,-1.62871456997
ACH-000265,-1.44103963449
ACH-000266,-1.52053337421
ACH-000272,-1.34083605193
ACH-000273,-1.25819557557
ACH-000274,-1.1991155442599999
ACH-000277,-1.6732476268099998
ACH-000278,-1.82677818435
ACH-000279,-1.33218193707
ACH-000280,-1.73455344431
ACH-000281,-1.21268193451
ACH-000288,-1.4273175879
ACH-000291,-1.31001963889
ACH-000293,-1.5178352676700002
ACH-000294,-1.37892515141
ACH-000295,-1.52077133762
ACH-000296,-1.86563347521
ACH-000302,-1.74195475992
ACH-000304,-1.19750270911
ACH-000307,-1.42674893301
ACH-000308,-1.5389615915700001
ACH-000310,-0.7339279055519999
ACH-000311,-1.40812234539
ACH-000312,-1.5246575178900001
ACH-000315,-1.5558150591100002
ACH-000316,-1.57945755657
ACH-000317,-1.24647537625
ACH-000318,-1.55873687836
ACH-000319,-1.57315588761
ACH-000320,-1.27420739768
ACH-000322,-1.3691493617100001
ACH-000323,-1.23795610161
ACH-000324,-1.29829412298
ACH-000329,-1.44077044135
ACH-000330,-1.4935348821399999
ACH-000331,-1.39290606929
ACH-000332,-1.29103777089
ACH-000334,-1.02753081912
ACH-000335,-1.38597957717
ACH-000336,-1.36959414266
ACH-000337,-1.18408319508
ACH-000339,-1.37801202051
ACH-000341,-1.59390306992
ACH-000348,-1.2879732450599999
ACH-000350,-1.6041612923800002
ACH-000352,-1.30830702741
ACH-000356,-1.6146804237299999
ACH-000361,-1.43549497072
ACH-000362,-1.443052913
ACH-000363,-1.12966526344
ACH-000364,-1.2213527068799999
ACH-000365,-1.38836449929
ACH-000366,-1.3942167424899998
ACH-000368,-1.53268834148
ACH-000374,-1.66198697061
ACH-000375,-1.4797845885799998
ACH-000376,-1.2959491593
ACH-000381,-1.1390562554
ACH-000383,-1.28999048396
ACH-000387,-1.45770561611
ACH-000389,-1.4834076833899998
ACH-000390,-1.3591868112799999
ACH-000393,-1.68239682563
ACH-000395,-1.4405464742299998
ACH-000397,-1.3314953864599999
ACH-000401,-1.26376161457
ACH-000402,-1.24811631386
ACH-000403,-1.49781128164
ACH-000404,-1.33634633441
ACH-000406,-1.34628624211
ACH-000407,-1.16137777257
ACH-000408,-1.8043514084
ACH-000410,-1.5188455504700002
ACH-000411,-1.37087881215
ACH-000414,-1.6315172933500002
ACH-000415,-1.67377840276
ACH-000416,-1.40709322132
ACH-000420,-1.27192897409
ACH-000421,-1.60520024475
ACH-000424,-1.5725877766799998
ACH-000425,-1.27166268238
ACH-000426,-1.1255244322700002
ACH-000427,-1.3001564719399998
ACH-000433,-1.4582925821700001
ACH-000436,-1.11209900316
ACH-000444,-1.55456522028
ACH-000445,-1.3755091907299999
ACH-000448,-1.35371169634
ACH-000450,-1.20953430629
ACH-000452,-1.59725656926
ACH-000454,-1.63355829725
ACH-000458,-1.26274686448
ACH-000459,-1.85186607153
ACH-000460,-1.53894641241
ACH-000461,-1.4398250478499999
ACH-000463,-1.30779233133
ACH-000464,-0.760947642415
ACH-000466,-1.4808625286500001
ACH-000467,-1.5594243079199999
ACH-000468,-1.17155735943
ACH-000469,-1.32633204918
ACH-000470,-1.54642686526
ACH-000471,-1.4566715077799999
