,TFAP2C (7022)
ACH-000004,-0.297048892773
ACH-000007,-0.41323407156099995
ACH-000009,-0.313059240646
ACH-000011,-0.443904256466
ACH-000012,-0.22288061053599997
ACH-000013,-0.190770806613
ACH-000014,-0.643663466814
ACH-000015,-0.21987322994300001
ACH-000017,-1.5390194406600002
ACH-000018,-0.149498864826
ACH-000019,-1.0523184314799998
ACH-000021,-0.24598961106400002
ACH-000022,-0.204398624838
ACH-000025,-0.18513468464699998
ACH-000028,-0.971015891487
ACH-000030,-0.40237443143
ACH-000035,-0.22229397495900002
ACH-000036,-0.08183821085580001
ACH-000037,-0.44483149877800005
ACH-000039,-0.181583869361
ACH-000040,-0.338075912106
ACH-000041,-0.283754970206
ACH-000042,-0.29396019899500003
ACH-000045,-0.175429285041
ACH-000047,-0.253182565377
ACH-000052,-0.32400588990699997
ACH-000053,-0.215060433493
ACH-000054,-0.342691996244
ACH-000055,-0.518378845281
ACH-000060,-0.21034821827199998
ACH-000067,-0.09418622169389998
ACH-000070,-0.302763029139
ACH-000075,-0.20173998842799998
ACH-000078,-0.10678921393799999
ACH-000082,-0.121356621109
ACH-000085,-0.495876393962
ACH-000086,-0.296693642088
ACH-000087,-0.222156511488
ACH-000092,-0.20532927976399998
ACH-000095,-0.23767791184099998
ACH-000097,-0.7678756775839999
ACH-000098,-0.230915013136
ACH-000099,-0.13330121984999999
ACH-000108,-0.244264670369
ACH-000113,-0.199267703715
ACH-000115,-0.910018216955
ACH-000116,-0.28724691250900003
ACH-000118,-0.260389819115
ACH-000120,-0.25519723378000003
ACH-000123,-0.134847096701
ACH-000127,-0.272862220434
ACH-000128,-0.011144005518200002
ACH-000132,-0.203489167654
ACH-000133,-0.352142379279
ACH-000137,-0.229092198579
ACH-000138,-0.26908711491099996
ACH-000142,-0.455187803527
ACH-000143,-0.36842593923699996
ACH-000146,-0.181605489568
ACH-000148,-0.33944566077
ACH-000150,-0.331885592922
ACH-000152,-0.191268554762
ACH-000153,-0.31281984213799996
ACH-000159,-0.358470716918
ACH-000160,-0.27707230843499997
ACH-000163,-0.180432614548
ACH-000167,-0.639632795919
ACH-000168,-0.20971233612
ACH-000169,-0.34440429629
ACH-000178,-0.43189505206100004
ACH-000182,-0.190748975471
ACH-000183,-0.514955053767
ACH-000188,-0.27886160598799997
ACH-000189,-0.150674841816
ACH-000190,-0.21680435478500001
ACH-000198,-0.24859182608000002
ACH-000204,-0.57685086183
ACH-000206,-0.151883745399
ACH-000207,-0.19206231648699998
ACH-000211,-0.33472721791099996
ACH-000215,-0.22527954947599999
ACH-000221,-0.441988374961
ACH-000222,-0.292904115574
ACH-000223,-0.28569636621
ACH-000226,-0.119305513398
ACH-000227,-0.0618540074534
ACH-000228,-0.304350383596
ACH-000231,-0.317436697597
ACH-000232,-0.00860835022141
ACH-000233,-0.18033407955699998
ACH-000234,-0.422832831598
ACH-000235,-0.25019289339699996
ACH-000237,-0.131821104478
ACH-000238,-0.23944617365499998
ACH-000243,-0.32548970772
ACH-000244,-0.430743965206
ACH-000246,-0.357330096303
ACH-000248,-1.28743545441
ACH-000250,-0.19264021888500002
ACH-000251,-0.306916115225
ACH-000253,-0.46787801043300004
ACH-000255,-0.40091150411
ACH-000256,-0.601037239582
ACH-000257,-0.175954239372
ACH-000258,-0.460894351551
ACH-000259,-0.263448204314
ACH-000260,-0.390853559242
ACH-000261,-0.42150557041500003
ACH-000262,-0.355761038377
ACH-000263,-0.26680835925
ACH-000264,-0.33366317453
ACH-000265,-0.33437598353500003
ACH-000266,-0.281599319957
ACH-000272,-0.329715828051
ACH-000273,-0.263749642084
ACH-000274,-0.426067264919
ACH-000277,-1.8578271091900003
ACH-000278,-0.215841349166
ACH-000279,-0.256201926723
ACH-000280,-0.829343878574
ACH-000281,-0.274296480859
ACH-000288,-0.289292274917
ACH-000291,-0.310951859346
ACH-000293,-0.170738287894
ACH-000294,-0.37247141319300003
ACH-000295,-0.24236027707
ACH-000296,-0.7108265887649999
ACH-000302,-0.246128210091
ACH-000304,-0.584596069154
ACH-000307,-0.247511937135
ACH-000308,-0.276853496694
ACH-000310,-0.156578712746
ACH-000311,-0.198188800196
ACH-000312,-0.348172971191
ACH-000315,-0.36093993996299994
ACH-000316,-0.268393163787
ACH-000317,-0.133830409732
ACH-000318,-0.646614221839
ACH-000319,-0.342182260523
ACH-000320,-0.372092874731
ACH-000322,-0.945238784436
ACH-000323,-0.37571046788
ACH-000324,-0.357311182228
ACH-000329,-0.146138026641
ACH-000330,-0.813807575987
ACH-000331,-0.352380126699
