,MEX3C (51320)
ACH-000461,0.18648342094700002
ACH-000463,-0.0696712100378
ACH-000464,0.00652445322914
ACH-000466,-0.353580637197
ACH-000467,-0.0667493070069
ACH-000468,0.0390529005876
ACH-000469,-0.19958367752999998
ACH-000470,-0.0682109894616
ACH-000471,-0.19215767459199998
ACH-000472,-0.142079155271
ACH-000473,-0.0667103790598
ACH-000475,-0.143602363869
ACH-000476,-0.222060676286
ACH-000477,-0.309537053587
ACH-000480,-0.0269953638534
ACH-000481,0.00030435014644400005
ACH-000483,-0.355706636087
ACH-000484,-0.0493286253759
ACH-000485,-0.25782483440000004
ACH-000486,-0.10863449461
ACH-000487,-0.21727897913600003
ACH-000488,-0.23175973232299998
ACH-000490,0.029651466148900005
ACH-000491,-0.16891884535100002
ACH-000495,-0.0609731859641
ACH-000496,0.07402675527819999
ACH-000499,-0.117740794894
ACH-000500,-0.42310169052599994
ACH-000502,-0.0269797730553
ACH-000503,-0.195950977593
ACH-000505,-0.0631271418575
ACH-000507,0.0283279487861
ACH-000510,-0.08000183697
ACH-000511,0.0199314610248
ACH-000512,-0.013622436192900001
ACH-000516,-0.250046452247
ACH-000517,-0.162222073347
ACH-000518,-0.16819773024700002
ACH-000520,-0.326304708316
ACH-000521,0.11625947957900001
ACH-000522,-0.10735537432600001
ACH-000524,-0.31927889874000004
ACH-000527,-0.03659156961769999
ACH-000528,0.124376542507
ACH-000537,-0.09789634061039999
ACH-000541,0.427063696549
ACH-000542,-0.19685966731600002
ACH-000544,-0.124550411153
ACH-000545,-0.348492885899
ACH-000547,-0.239859144152
ACH-000548,-0.11366204634299999
ACH-000549,-0.108441938855
ACH-000550,-0.165313586668
ACH-000552,0.0228042531487
ACH-000556,-0.284542065852
ACH-000557,0.118776067026
ACH-000570,-0.206139963864
ACH-000571,-0.104063123309
ACH-000573,-0.221610593
ACH-000576,-0.22437389761999998
ACH-000580,-0.174330507878
ACH-000584,0.00262978732071
ACH-000585,-0.124901699967
ACH-000588,0.161941721202
ACH-000589,-0.0987720828413
ACH-000591,-0.06047349003219999
ACH-000593,-0.08525734571910001
ACH-000600,-0.11745020256899999
ACH-000601,0.0514128807441
ACH-000604,0.07217165563460001
ACH-000605,-0.0212221066755
ACH-000606,-0.0196471749453
ACH-000608,-0.422166373536
ACH-000614,-0.34332183664300003
ACH-000616,-0.299504217987
ACH-000618,-0.06611186732959999
ACH-000619,-0.14108297254899999
ACH-000620,-0.19282064630800003
ACH-000621,-0.041978618417499995
ACH-000622,-0.113788645524
ACH-000623,-0.231140834697
ACH-000624,-0.210660444124
ACH-000627,0.000716724577152
ACH-000630,0.160987870632
ACH-000632,0.107552633112
ACH-000633,-0.192773344211
ACH-000637,0.034170248800599996
ACH-000638,-0.010529959352500002
ACH-000646,0.045058890647800005
ACH-000647,-0.100154921954
ACH-000648,-0.056975017533300004
ACH-000649,-0.0984611720519
ACH-000651,-0.124943847601
ACH-000652,-0.124540926527
ACH-000653,-0.0305465756677
ACH-000657,-0.0380283164312
ACH-000658,-0.040501292808300005
ACH-000661,-0.0939840968276
ACH-000662,-0.0361316216439
ACH-000663,0.050299813373999996
ACH-000665,0.0650055200462
ACH-000671,0.07283284769260001
ACH-000673,-0.0718058716598
ACH-000676,-0.0308134622242
ACH-000677,-0.277183589144
ACH-000681,-0.09331598993939999
ACH-000682,-0.176632766341
ACH-000683,-0.108866880304
ACH-000684,-0.151004759847
ACH-000688,-0.17524233664099997
ACH-000693,-0.057678806704599996
ACH-000694,0.0420403110707
ACH-000695,0.0110019681561
ACH-000696,-0.21085680361900003
ACH-000697,0.0226583542551
ACH-000699,-0.279646119749
ACH-000701,0.0206671569168
ACH-000706,0.0120818694822
ACH-000711,-0.150250203193
ACH-000713,-0.0598618678469
ACH-000714,0.0758763620773
ACH-000718,-0.244879208068
ACH-000720,-0.144777689913
ACH-000721,-0.286654542351
ACH-000724,0.175180516744
ACH-000725,-0.00048969564902
ACH-000732,-0.224809034618
ACH-000734,-0.08801779961660001
ACH-000735,-0.314420348141
ACH-000736,-0.167745640605
ACH-000738,-0.175735052451
ACH-000746,-0.266783020854
ACH-000747,-0.0254807960812
ACH-000748,-0.199772785851
ACH-000753,-0.12893857955
ACH-000756,-0.321197280902
ACH-000757,0.07733337754689999
ACH-000758,-0.25193688110999995
ACH-000760,-0.0591433748708
ACH-000763,-0.21771349497499998
ACH-000764,-0.0668421753769
ACH-000765,0.0703587756013
ACH-000766,-0.06617608909799999
ACH-000767,-0.09252011207550001
ACH-000768,-0.03573305112
ACH-000769,-0.0671645469338
ACH-000770,-0.18473143698199998
ACH-000771,0.0070148231204
ACH-000773,-0.151598745243
ACH-000776,0.0630621580578
ACH-000777,0.32843845714200004
ACH-000778,-0.261547778814
ACH-000781,-0.062382603206799996
ACH-000782,0.149581500412
ACH-000783,-0.142133296728
ACH-000784,0.064012142263
ACH-000785,-0.0651307061833
ACH-000787,-0.0614683179774
ACH-000788,-0.0402678285247
ACH-000791,-0.257000256052
ACH-000792,0.020256000321900003
ACH-000794,-0.19592278793600001
ACH-000796,-0.103104929765
ACH-000799,-0.137189139479
ACH-000800,-0.09576507320139999
ACH-000802,-0.120559501776
ACH-000804,-0.060683000037199994
ACH-000805,-0.12317544345
ACH-000809,-0.0689436548121
ACH-000810,0.221697858883
ACH-000811,-0.129845796226
ACH-000817,0.0866762890048
ACH-000819,0.0147852675707
ACH-000820,-0.43862844707299997
ACH-000821,-0.416997812732
ACH-000822,-0.17037362592500002
ACH-000823,-0.0604612882895
ACH-000824,-0.027095262969900002
ACH-000827,-0.15424142657099998
ACH-000829,-0.0399743754576
ACH-000831,-0.138393030817
ACH-000832,-0.352774626725
ACH-000833,0.46664970751400003
ACH-000834,0.00334695533002
ACH-000835,-0.0697205008169
ACH-000836,0.0190764668658
ACH-000837,0.07282575340389999
ACH-000838,-0.156615741713
ACH-000839,0.0258283361454
ACH-000840,0.13600776385
ACH-000841,-0.0773450004011
ACH-000843,-0.163028638951
ACH-000846,-0.479201026173
ACH-000847,0.0968151401478
ACH-000848,-0.194476382244
ACH-000849,-0.25914648411200003
ACH-000851,0.0497134056405
ACH-000855,-0.158825221225
ACH-000856,-0.279068652642
ACH-000858,-0.08698305592769999
ACH-000859,-0.0736311455708
ACH-000861,-0.060900977708
ACH-000862,-0.24729408763900002
ACH-000865,0.0225296808696
ACH-000866,0.00852488714499
ACH-000867,-0.057803810928800006
ACH-000869,-0.194629923172
ACH-000872,-0.047702086468400004
ACH-000873,0.345201331013
ACH-000876,-0.09012962619920001
ACH-000878,-0.207139625731
ACH-000880,0.198030615775
ACH-000881,-0.128505010782
ACH-000882,-0.10694505288799999
ACH-000884,-0.0681625713329
ACH-000885,-0.172951828319
ACH-000887,-0.10857318939
ACH-000888,-0.248238317475
ACH-000889,0.0672874320224
ACH-000890,0.142462264668
ACH-000896,-0.09697708391899999
ACH-000898,-0.201411949325
ACH-000900,-0.159589999118
ACH-000901,-0.116165976841
ACH-000905,0.00058975097784
ACH-000906,-0.0545026259416
ACH-000907,0.00046009539730699995
ACH-000910,0.13149153295
ACH-000911,-0.144648817175
ACH-000912,-0.0410312404067
ACH-000913,-0.024115523240799998
ACH-000915,-0.0750061148437
ACH-000916,-0.21051922285900002
ACH-000917,-0.021738726389399998
ACH-000921,-0.349168933151
ACH-000924,0.12598411435100001
ACH-000926,-0.262055758049
ACH-000928,-0.12381068827500001
ACH-000929,0.0210895017122
ACH-000932,-0.031374690553599996
ACH-000935,0.106340106557
ACH-000936,-0.24941871086
ACH-000937,-0.30709824091
ACH-000938,-0.24724747618
ACH-000939,-0.0167252650234
ACH-000941,0.014681671801100001
ACH-000943,-0.0839731909378
ACH-000946,-0.27613765606999996
ACH-000947,-0.0324617536114
ACH-000948,-0.06658753896000001
ACH-000950,-0.12478775117
ACH-000953,-0.454579115646
ACH-000957,-0.06776630182389999
ACH-000958,-0.246953097332
ACH-000960,-0.41246487528000003
ACH-000963,-0.144891257991
ACH-000968,-0.0105355083953
ACH-000969,-0.113869038102
ACH-000973,-0.197694797745
ACH-000974,-0.0266318251816
ACH-000975,-0.149241630765
ACH-000976,-0.10811181694599999
ACH-000978,0.0127184676315
ACH-000980,-0.12357874388399999
ACH-000984,-0.22381429585299997
ACH-000986,0.0113328715202
ACH-000988,0.008293037472100001
ACH-000993,-0.200494767597
ACH-000994,-0.045654288969
ACH-000996,-0.195888933888
ACH-001001,-0.00593782911603
ACH-001020,-0.332592732128
ACH-001028,-0.044542354018599996
ACH-001031,0.0933426670035
ACH-001038,-0.163250034706
ACH-001048,-0.117864553465
ACH-001050,-0.0917208628933
ACH-001053,-0.208724921494
ACH-001054,-0.19956988559500002
ACH-001061,-0.0047601077928500005
ACH-001067,-0.208697229191
ACH-001075,-0.125937021431
ACH-001096,0.0468095325496
ACH-001128,0.253498066202
ACH-001134,-0.142067919498
ACH-001151,-0.19960646671399998
ACH-001163,-0.174629858068
ACH-001164,-0.0608812469178
ACH-001173,-0.104530888165
ACH-001183,-0.28064858561
ACH-001184,-0.23210569432300002
ACH-001190,-0.156421870577
ACH-001192,-0.49919491992200005
ACH-001193,-0.445147040951
ACH-001196,-0.0126420127316
ACH-001197,-0.304404057069
ACH-001205,-0.13564653788699998
ACH-001211,0.043300842702699995
ACH-001212,0.059376994825300004
ACH-001228,-0.10921005388699999
