,PCK1 (5105)
ACH-000004,-0.249860080524
ACH-000007,0.18476748584199998
ACH-000009,-0.0377806402515
ACH-000011,0.040592456402500005
ACH-000012,0.0915537587708
ACH-000013,-0.147356355587
ACH-000014,-0.14647021464600002
ACH-000015,-0.11041868701600001
ACH-000017,-0.0731109432625
ACH-000018,0.160437701373
ACH-000019,-0.567501220448
ACH-000021,-0.055856955746800004
ACH-000022,-0.148948547908
ACH-000025,-0.0680177191462
ACH-000028,-0.60103458026
ACH-000030,-0.174637932469
ACH-000035,-0.06827176639669999
ACH-000036,-0.0955389038273
ACH-000037,-0.0396276646165
ACH-000039,-0.235972115684
ACH-000040,-0.0316653547689
ACH-000041,-0.140751322871
ACH-000042,-0.260386491004
ACH-000045,-0.153001992814
ACH-000047,-0.0559209013146
ACH-000052,-0.255242288028
ACH-000053,-0.10512012964400001
ACH-000054,-0.10335408338600001
ACH-000055,-0.17766081930599997
ACH-000060,-0.22746737753600002
ACH-000067,-0.0473557223161
ACH-000070,-0.14849556809699999
ACH-000075,-0.0861769415222
ACH-000078,-0.12071892564200001
ACH-000082,-0.148262451731
ACH-000085,-0.27195101923500004
ACH-000086,-0.17740535807
ACH-000087,-0.323949787309
ACH-000092,-0.045821400907300004
ACH-000095,-0.181210693818
ACH-000097,-0.171159892425
ACH-000098,-0.163752040164
ACH-000099,0.118239866631
ACH-000108,-0.0981836397198
ACH-000113,-0.196648901319
ACH-000115,-0.0833593457136
ACH-000116,-0.09828853237119999
ACH-000118,-0.0905747044871
ACH-000120,-0.05408440334009999
ACH-000123,-0.08980768644469998
ACH-000127,0.112324532138
ACH-000128,-0.191644172903
ACH-000132,0.040683652755199994
ACH-000133,-0.12195442712200001
ACH-000137,-0.157154123989
ACH-000138,-0.0956878585627
ACH-000142,0.009766659793129998
ACH-000143,-0.24017903423300002
ACH-000146,-0.185423287601
ACH-000148,-0.192429283151
ACH-000150,-0.214108824352
ACH-000152,-0.157400796624
ACH-000153,0.012525973440700002
ACH-000159,-0.0107055492935
ACH-000160,0.0038450466628299996
ACH-000163,-0.140240162879
ACH-000167,-0.09618263149730001
ACH-000168,-0.34447265331200005
ACH-000169,-0.150533791747
ACH-000178,0.0429672221818
ACH-000182,-0.11573846564000001
ACH-000183,-0.08806818455849999
ACH-000188,-0.17287384492199998
ACH-000189,-0.174640041297
ACH-000190,-0.29259221737700003
ACH-000198,-0.12106874265999999
ACH-000204,-0.34811174416999996
