,MASP2 (10747)
ACH-000004,-0.07171821565650001
ACH-000007,-0.24193117780099999
ACH-000009,-0.350124210671
ACH-000011,-0.185978832615
ACH-000012,-0.224625358293
ACH-000013,-0.203109558763
ACH-000014,-0.37652265217799996
ACH-000015,-0.145271763058
ACH-000017,-0.19292020771499999
ACH-000018,-0.431070860203
ACH-000019,-0.149866341182
ACH-000021,-0.0867303878448
ACH-000022,-0.175367850341
ACH-000025,-0.35963779055100004
ACH-000028,-0.09088521814850001
ACH-000030,-0.258332568659
ACH-000035,-0.46694573626999997
ACH-000036,0.00414288194745
ACH-000037,-0.362965444759
ACH-000039,-0.351657390681
ACH-000040,-0.284752155574
ACH-000041,-0.325764576313
ACH-000042,-0.15852022803
ACH-000045,-0.30058742887699996
ACH-000047,-0.24310626283599998
ACH-000052,-0.0674511289336
ACH-000053,-0.170157133662
ACH-000054,-0.19466411919100002
ACH-000055,-0.165141626151
ACH-000060,-0.234522000061
ACH-000067,-0.16916899173099997
ACH-000070,-0.304745043954
ACH-000075,-0.169197075089
ACH-000078,-0.0606257329359
ACH-000082,-0.06351174598960001
ACH-000085,-0.5140017333910001
ACH-000086,-0.24501634524799998
ACH-000087,-0.615636521144
ACH-000092,-0.173869213147
ACH-000095,-0.22286090452399998
ACH-000097,-0.156823785771
ACH-000098,-0.240396618461
ACH-000099,-0.19327559855999998
ACH-000108,-0.35591394415399996
ACH-000113,-0.214060181576
ACH-000115,-0.39391465667
ACH-000116,-0.22300471105
ACH-000118,-0.20212086055999998
ACH-000120,-0.261903501584
ACH-000123,-0.10699966132099999
ACH-000127,-0.192279480256
ACH-000128,-0.7294714335060001
ACH-000132,-0.24011488010899998
ACH-000133,-0.18161439979200003
ACH-000137,-0.08527248289030001
ACH-000138,-0.190643105408
ACH-000142,-0.22940318518800001
ACH-000143,-0.328585507634
ACH-000146,-0.231249551653
ACH-000148,-0.415916178903
ACH-000150,-0.627922726373
ACH-000152,-0.341684323814
ACH-000153,-0.31160957633999997
ACH-000159,-0.268470084803
ACH-000160,-0.34539387711499997
ACH-000163,-0.14090420249299998
ACH-000167,-0.171411432685
ACH-000168,-0.532848933363
ACH-000169,-0.273724834995
ACH-000178,-0.149910466885
ACH-000182,-0.151404516808
ACH-000183,-0.150123947944
ACH-000188,-0.34236986867799996
ACH-000189,-0.346250741322
ACH-000190,-0.29984174398200003
ACH-000198,-0.192086376377
ACH-000204,-0.130998700871
ACH-000206,-0.460836974373
ACH-000207,-0.100900187825
ACH-000211,-0.16918548288600002
ACH-000215,-0.136969823261
ACH-000221,-0.226532567839
ACH-000222,-0.0235877712544
