,PEX11B (8799)
ACH-000004,-0.114400837129
ACH-000007,-0.280358828419
ACH-000009,-0.615207364319
ACH-000011,-0.195591331567
ACH-000012,-0.39844512122299997
ACH-000013,-0.244108352673
ACH-000014,-0.266661775055
ACH-000015,-0.283578501918
ACH-000017,-0.20335666875
ACH-000018,-0.251713391126
ACH-000019,-0.469498924964
ACH-000021,-0.520757299312
ACH-000022,-0.18095614295899998
ACH-000025,-0.5110373701609999
ACH-000028,-0.49854903008199997
ACH-000030,-0.343164194877
ACH-000035,-0.447032756584
ACH-000036,-0.048703814670699994
ACH-000037,-0.21671424508099998
ACH-000039,-0.789117388582
ACH-000040,-0.258215788205
ACH-000041,-0.42265875229999994
ACH-000042,-0.346916782989
ACH-000045,-0.339510110007
ACH-000047,-0.129001750311
ACH-000052,-0.247743331254
ACH-000053,-0.355432706194
ACH-000054,-0.17889922795899998
ACH-000055,-0.03461866723280001
ACH-000060,-0.22798499237300002
ACH-000067,-0.163581656657
ACH-000070,-0.404644385595
ACH-000075,-0.405711592287
ACH-000078,-0.468176842069
ACH-000082,-0.20896388378800002
ACH-000085,-0.11429727897299999
ACH-000086,-0.399341095201
ACH-000087,-0.17037371419300001
ACH-000092,-0.38213941400300006
ACH-000095,-0.250590814746
ACH-000097,-0.328285262468
ACH-000098,-0.36699051621600004
ACH-000099,-0.28661438538199996
ACH-000108,-0.328242674073
ACH-000113,-0.308035725034
ACH-000115,-0.119537823152
ACH-000116,-0.22608509723700002
ACH-000118,-0.571344918051
ACH-000120,-0.189531821121
ACH-000123,-0.279088795326
ACH-000127,-0.307372600471
ACH-000128,-0.334705798107
ACH-000132,-0.281024273442
ACH-000133,-0.518228238222
ACH-000137,-0.35128280796899997
ACH-000138,-0.251401942001
ACH-000142,-0.403790194708
ACH-000143,-0.09374860212960001
ACH-000146,-0.196174565748
ACH-000148,-0.290822477636
ACH-000150,-0.118886399482
ACH-000152,-0.42690737608400003
ACH-000153,-0.693363771855
ACH-000159,-0.397786616655
ACH-000160,-0.492230061455
ACH-000163,-0.153696004443
ACH-000167,-0.17077341658
ACH-000168,-0.19353636264899998
ACH-000169,-0.25481566223900004
ACH-000178,-0.307740251814
ACH-000182,-0.301157252013
ACH-000183,-0.455467523598
ACH-000188,-0.322742507004
ACH-000189,-0.298850888114
ACH-000190,-0.215271497693
ACH-000198,-0.303656470695
ACH-000204,-0.609877301344
ACH-000206,-0.118135892091
ACH-000207,-0.117283556478
ACH-000211,-0.347315299177
ACH-000215,-0.457103456224
ACH-000221,-0.322488537516
ACH-000222,-0.35326510521300003
ACH-000223,-0.592003727877
ACH-000226,-0.18039184961
ACH-000227,-0.131292237882
ACH-000228,-0.281381745948
ACH-000231,-0.409659875769
ACH-000232,-0.561498763767
ACH-000233,-0.308669092024
ACH-000234,-0.268902455513
ACH-000235,-0.32305674470199996
ACH-000237,-0.262297797505
ACH-000238,-0.141294563352
ACH-000243,-0.264881620106
ACH-000244,-0.317212101743
ACH-000246,-0.413138554935
ACH-000248,-0.399047782943
ACH-000250,-0.412160291618
ACH-000251,-0.44534940521099997
ACH-000253,-0.0931243827521
ACH-000255,-0.335395424539
ACH-000256,-0.197923208677
ACH-000257,-0.399306588781
ACH-000258,-0.03689962915
ACH-000259,-0.371125194344
ACH-000260,-0.355540976935
ACH-000261,-0.07256238385710001
ACH-000262,-0.156451336518
ACH-000263,-0.237821290789
ACH-000264,-0.369321062454
ACH-000265,-0.384260310936
ACH-000266,-0.298024009952
ACH-000272,-0.416394516545
ACH-000273,-0.422491501746
ACH-000274,-0.160269031788
ACH-000277,-0.307712276188
ACH-000278,-0.257757296494
ACH-000279,-0.380721955488
ACH-000280,-0.31389776049
ACH-000281,-0.6073577694110001
ACH-000288,-0.281391183274
ACH-000291,-0.179319397799
ACH-000293,-0.131278740246
ACH-000294,-0.351173972449
ACH-000295,-0.19021501008900002
ACH-000296,-0.197219699696
ACH-000302,-0.15992546819599998
ACH-000304,-0.16838537645399998
ACH-000307,-0.35200347450099995
ACH-000308,-0.325966414376
ACH-000310,-0.361512233645
ACH-000311,-0.729963662181
ACH-000312,-0.282978565435
ACH-000315,-0.30525723209399996
ACH-000316,-0.251668485546
ACH-000317,-0.615557626359
ACH-000318,-0.281021277084
ACH-000319,-0.328417125704
ACH-000320,-0.565506948886
ACH-000322,-0.346457703728
ACH-000323,-0.5273265765240001
ACH-000324,-0.290775880065
ACH-000329,-0.220090964909
ACH-000330,-0.09198269681980001
ACH-000331,-0.47213322778399996
ACH-000332,-0.358545645536
ACH-000334,-0.131311876383
ACH-000335,-0.40352275624899997
ACH-000336,-0.221770058413
ACH-000337,-0.498129296703
ACH-000339,-0.19562439705899998
ACH-000341,-0.424802094074
ACH-000348,-0.345610824067
ACH-000350,-0.315241452933
ACH-000352,-0.20555060933400002
ACH-000356,0.0099268947634
ACH-000361,-0.328592895687
ACH-000362,-0.224969898838
ACH-000363,-0.38041993340999997
ACH-000364,-0.617522222099
ACH-000365,-0.41786285662199996
ACH-000366,-0.23299134699700003
ACH-000368,-0.31058099014199997
ACH-000374,-0.2750992648
ACH-000375,-0.418536422979
ACH-000376,-0.328561098833
ACH-000381,-0.35298973381399995
ACH-000383,-0.28067620658500003
ACH-000387,-0.206108431464
ACH-000389,-0.143527455311
ACH-000390,-0.309293526837
ACH-000393,-0.226731397407
ACH-000395,-0.625827725842
ACH-000397,-0.251269611055
ACH-000401,-0.368737789969
ACH-000402,-0.28113411542399996
ACH-000403,-0.397775459665
ACH-000404,-0.34842961750699997
ACH-000406,-0.320097612775
ACH-000407,-0.29351557151700003
ACH-000408,-0.9427217109489999
ACH-000410,-0.27647424078
ACH-000411,-0.27183986575999997
ACH-000414,-0.358382648932
ACH-000415,-0.374949762663
ACH-000416,-0.29299709185199996
ACH-000420,-0.307454888727
ACH-000421,-0.179936990869
ACH-000424,-0.154101240547
ACH-000425,-0.24543458548799998
ACH-000426,-0.532266650243
ACH-000427,-0.5122971772
ACH-000433,-0.5528455980579999
ACH-000436,-0.213785079888
ACH-000444,-0.148315641309
ACH-000445,-0.5748905514639999
ACH-000448,-0.20359326927299998
ACH-000450,-0.493830348574
ACH-000452,-0.33906932012400004
ACH-000454,-0.42005369679
ACH-000458,-0.122103149902
ACH-000459,0.0667897051842
ACH-000460,-0.23037585562100002
ACH-000461,-0.22465441018000004
ACH-000463,-0.38626983259000003
ACH-000464,-0.169749591698
ACH-000466,0.011151946080200002
ACH-000467,-0.24598324451900003
ACH-000468,-0.348946130338
ACH-000469,-0.13935731191
ACH-000470,0.00913508022482
ACH-000471,-0.35213149182
ACH-000472,-0.08907471875530001
ACH-000473,-0.212110247832
ACH-000475,-0.132611303519
ACH-000476,-0.23284332309500003
ACH-000477,-0.181607742145
ACH-000480,-0.16506291519400001
ACH-000481,-0.394187251868
ACH-000483,-0.266357307086
ACH-000484,-0.312926190947
ACH-000485,-0.146505388481
ACH-000486,-0.46186801400899996
ACH-000487,-0.212436017394
ACH-000488,-0.284321949348
ACH-000490,-0.286737906896
ACH-000491,-0.193973290401
ACH-000495,-0.512426053044
ACH-000496,-0.32043939492400003
ACH-000499,-0.5800454092930001
ACH-000500,-0.343860249872
ACH-000502,-0.244356310706
ACH-000503,-0.473429532855
ACH-000505,-0.273121183484
ACH-000507,-0.26355756514
ACH-000510,-0.349115023732
ACH-000511,-0.16327375042199999
ACH-000512,-0.396227293851
ACH-000516,-0.306677403995
ACH-000517,-0.409867382573
ACH-000518,-0.0808548393206
ACH-000520,-0.295663073619
ACH-000521,-0.585504134396
ACH-000522,-0.23524589533799997
ACH-000524,-0.236133101677
ACH-000527,-0.381703811127
ACH-000528,-0.35029642324199994
