,PLEKHM3 (389072)
ACH-000004,-0.339165799649
ACH-000007,-0.320253375279
ACH-000009,-0.21666330969099998
ACH-000011,-0.216627667837
ACH-000012,-0.0643753127967
ACH-000013,-0.03618714776280001
ACH-000014,-0.125309074962
ACH-000015,0.021493915479299998
ACH-000017,0.0043431301043599995
ACH-000018,-0.0466535868253
ACH-000019,0.133468140583
ACH-000021,-0.045259198746
ACH-000022,0.07771030019189999
ACH-000025,-0.12783198274399998
ACH-000028,-0.059455570727199994
ACH-000030,-0.0460543417569
ACH-000035,0.166030974618
ACH-000036,-0.0319073487594
ACH-000037,0.0506755386749
ACH-000039,-0.014269626542799998
ACH-000040,0.21040746904
ACH-000041,-0.258104117734
ACH-000042,-0.16594951319700002
ACH-000045,-0.107804302223
ACH-000047,-0.0137606023178
ACH-000052,0.100579411667
ACH-000053,-0.0547803568686
ACH-000054,0.036803916546300004
ACH-000055,0.317682202634
ACH-000060,-0.00790569083768
ACH-000067,-0.120835591526
ACH-000070,0.00133725146108
ACH-000075,-0.0151099719115
ACH-000078,-0.207296306466
ACH-000082,0.013986693331400001
ACH-000085,0.109899934382
ACH-000086,0.0121170860959
ACH-000087,0.263472943271
ACH-000092,0.07826830339310001
ACH-000095,-0.139081322072
ACH-000097,0.0343550805925
ACH-000098,-0.0767821452301
ACH-000099,-0.158191323967
ACH-000108,-0.272396335245
ACH-000113,-0.117610658631
ACH-000115,-0.0131050857586
ACH-000116,0.07721531399680001
ACH-000118,-0.0945044118386
ACH-000120,-0.111739146612
ACH-000123,-0.07690568963560002
ACH-000127,-0.023971924915400004
ACH-000128,-0.11924342729199999
ACH-000132,0.057461168509900004
ACH-000133,0.102856331504
ACH-000137,-0.100848540119
ACH-000138,-0.275708896257
ACH-000142,0.0897269348737
ACH-000143,-0.16028450852499998
ACH-000146,0.029635591660799997
ACH-000148,-0.140374143368
ACH-000150,0.10542903342599999
ACH-000152,-0.155253918059
ACH-000153,0.20737996337499998
ACH-000159,-0.10331027932
ACH-000160,0.282997266908
ACH-000163,-0.0534530129593
ACH-000167,0.0532631661628
ACH-000168,0.168220135734
ACH-000169,-0.010113684530799999
ACH-000178,-0.0208581509579
ACH-000182,-0.0857387642335
ACH-000183,0.144636552551
ACH-000188,0.059479839451
ACH-000189,-0.009183360867249999
ACH-000190,0.24794688579
ACH-000198,-0.14283902662599998
ACH-000204,-0.153525753114
ACH-000206,-0.230587581442
ACH-000207,0.10861016410499999
ACH-000211,-0.0781835145251
ACH-000215,0.000566317949185
ACH-000221,-0.08395102271610001
ACH-000222,-0.285465542457
ACH-000223,-0.0815470356418
ACH-000226,-0.00046409843991500007
ACH-000227,0.15671881541
ACH-000228,-0.0710545929392
ACH-000231,-0.105899885875
ACH-000232,0.05503613296019999
ACH-000233,0.0467757199546
ACH-000234,-0.201858092373
ACH-000235,-0.06339686081809999
ACH-000237,-0.07985811999489999
ACH-000238,0.156444431494
ACH-000243,-0.07708870935739999
ACH-000244,-0.00699318726047
ACH-000246,-0.0162707162851
ACH-000248,-0.131645180172
ACH-000250,-0.0174778673286
ACH-000251,-0.018501125231
ACH-000253,-0.026325165935499998
ACH-000255,0.021449784912999998
ACH-000256,-0.21345940366399999
ACH-000257,-0.0519186553291
ACH-000258,0.135690702296
ACH-000259,-0.0937816690275
ACH-000260,-0.0786256031647
ACH-000261,-0.0388554444754
ACH-000262,0.37920349618500004
ACH-000263,0.441264939394
ACH-000264,0.043646149482800004
ACH-000265,-0.134742458312
ACH-000266,-0.18250670573600003
ACH-000272,-0.000554165292754
ACH-000273,-0.029113931189000002
ACH-000274,-0.0468396277408
ACH-000277,-0.009609543894600002
ACH-000278,-0.0479942397804
ACH-000279,-0.156764563077
ACH-000280,-0.13993001604699998
